代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14401986.019999999552965
真實報酬,4401986.019999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17037.950999636610504
風險,322605.981518320622854
起點值,0.052813499983630
找到最佳解世代,2003
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),V[25](3),
Stock#,MCD[15](1),V[25](3),
張數,65798,269396,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,9.980000000447035,10.240000000223517,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5026319.200000000186265,5067349.000000000000000,10093668.199999999254942
FS( 3 ),5040136.780000000260770,5094288.600000000558794,10134425.380000000819564
FS( 4 ),5048032.540000000037253,5118534.240000000223517,10166566.780000001192093
FS( 5 ),5001315.960000000894070,5145473.840000000782311,10146789.800000000745058
FS( 6 ),5003289.900000001303852,5167025.520000000484288,10170315.420000001788139
FS( 7 ),5017107.480000000447035,5234374.520000000484288,10251482.000000000000000
FS( 8 ),5044084.660000000149012,5188577.200000000186265,10232661.859999999403954
FS( 9 ),5059218.200000000186265,5220904.719999999739230,10280122.919999999925494
FS( 10 ),5071061.839999999850988,5140085.919999999925494,10211147.759999999776483
FS( 11 ),5091459.219999999739230,5150861.760000000707805,10242320.980000000447035
FS( 12 ),5066455.980000000447035,5096982.560000000521541,10163438.540000000968575
FS( 13 ),5040136.780000000260770,5113146.320000000298023,10153283.100000001490116
FS( 14 ),5158573.180000000633299,5210128.879999999888241,10368702.060000000521541
FS( 15 ),5060534.160000000149012,5237068.480000000447035,10297602.640000000596046
FS( 16 ),5075009.719999999739230,5237068.480000000447035,10312078.199999999254942
FS( 17 ),5062508.100000000558794,5304417.480000000447035,10366925.580000001937151
FS( 18 ),5123700.240000001154840,5312499.360000000335276,10436199.600000001490116
FS( 19 ),5134227.920000000856817,5231680.560000000521541,10365908.480000000447035
FS( 20 ),5152651.360000000335276,5261314.120000000111759,10413965.480000000447035
FS( 21 ),5174364.700000000186265,5331357.080000000074506,10505721.780000001192093
FS( 22 ),5194104.100000000558794,5387930.240000000223517,10582034.339999999850988
FS( 23 ),5202657.839999999850988,5371766.480000000447035,10574424.320000000298023
FS( 24 ),5171732.780000000260770,5301723.520000000484288,10473456.300000000745058
FS( 25 ),5178312.580000001005828,5347520.840000000782311,10525833.420000001788139
FS( 26 ),5218449.360000000335276,5379848.360000000335276,10598297.720000000670552
FS( 27 ),5244768.559999999590218,5412175.879999999888241,10656944.439999999478459
FS( 28 ),5231608.960000000894070,5344826.879999999888241,10576435.839999999850988
FS( 29 ),5307276.660000000149012,5382542.320000000298023,10689818.980000000447035
FS( 30 ),5312540.500000000000000,5382542.320000000298023,10695082.820000000298023
FS( 31 ),5338859.700000000186265,5385236.280000000260770,10724095.980000000447035
FS( 32 ),5325042.120000001043081,5428339.639999999664724,10753381.760000001639128
FS( 33 ),5362546.980000000447035,5387930.240000000223517,10750477.220000000670552
FS( 34 ),5429002.960000000894070,5363684.600000000558794,10792687.560000002384186
FS( 35 ),5417159.320000000298023,5269396.000000000000000,10686555.320000000298023
FS( 36 ),5428344.980000000447035,5180495.320000000298023,10608840.300000000745058
FS( 37 ),5437556.700000000186265,5226292.639999999664724,10663849.339999999850988
FS( 38 ),5442820.540000000037253,5304417.480000000447035,10747238.019999999552965
FS( 39 ),5423739.120000001043081,5339438.959999999962747,10763178.080000001937151
FS( 40 ),5370442.740000001154840,5374460.440000000409782,10744903.180000001564622
