代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11297426.820000000298023
真實報酬,1297426.820000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10449.922072289886273
風險,100308.559532565952395
起點值,0.104177770281879
找到最佳解世代,2116
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,8
DIS[6](1),HD[9](2),KO[14](8),NKE[19](11),TRV[22](12),UNH[23](5),VZ[26](19),WMT[28](15),
Stock#,DIS[6](1),HD[9](2),KO[14](8),NKE[19](11),TRV[22](12),UNH[23](5),VZ[26](19),WMT[28](15),
張數,32628,29663,35642,51652,21190,24276,31462,20719,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,21.319999999832362,1.179999999934807,35.060000000055879,21.600000000093132,1.899999999906868,28.760000000009313,14.739999999990687,22.729999999981374,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1267619.119999999878928,1267797.800000000046566,1242158.760000000009313,1268594.719999999972060,1244914.399999999906868,1268207.000000000000000,1233639.760000000009313,1237154.219999999972060,10030085.779999999329448
FS( 3 ),1288827.319999999832362,1278179.850000000093132,1236456.040000000037253,1267561.679999999934807,1257204.599999999860302,1276703.600000000093132,1225145.020000000018626,1231145.709999999962747,10061223.820000000298023
FS( 4 ),1302204.799999999813735,1281442.780000000027940,1228614.800000000046566,1265495.600000000093132,1257628.399999999906868,1281316.040000000037253,1205953.199999999953434,1222443.729999999981374,10045099.350000001490116
FS( 5 ),1296984.319999999832362,1282332.669999999925494,1228614.800000000046566,1270144.280000000027940,1264832.999999999767169,1279859.479999999981374,1207211.679999999934807,1226173.149999999906868,10056153.380000000819564
FS( 6 ),1293068.959999999962747,1291231.570000000065193,1235743.200000000186265,1271693.840000000083819,1273520.899999999906868,1277431.879999999888241,1213504.080000000074506,1223272.489999999990687,10079466.919999999925494
FS( 7 ),1262724.919999999925494,1289155.159999999916181,1212932.320000000065193,1267561.679999999934807,1269282.899999999906868,1286899.520000000018626,1223886.540000000037253,1230731.329999999841675,10043174.369999999180436
FS( 8 ),1263703.759999999776483,1287078.750000000000000,1204021.820000000065193,1279958.160000000149012,1267163.899999999906868,1283500.879999999888241,1224515.780000000027940,1232803.229999999981374,10042746.280000001192093
FS( 9 ),1252936.519999999785796,1290638.309999999823049,1193685.640000000130385,1269627.760000000009313,1258052.199999999953434,1279373.959999999962747,1224515.780000000027940,1233631.989999999990687,10002462.160000000149012
FS( 10 ),1255546.759999999776483,1297460.800000000046566,1200101.200000000186265,1281507.719999999972060,1264832.999999999767169,1300494.080000000074506,1227661.979999999981374,1240054.880000000121072,10067660.419999999925494
FS( 11 ),1273165.879999999888241,1331276.620000000111759,1204734.659999999916181,1302685.040000000037253,1269071.000000000000000,1309476.199999999953434,1227347.359999999869615,1243369.919999999925494,10161126.679999999701977
FS( 12 ),1286869.639999999664724,1346998.009999999776483,1202239.719999999972060,1311982.399999999906868,1277758.899999999906868,1270149.080000000074506,1227032.739999999990687,1255801.320000000065193,10178831.810000000521541
FS( 13 ),1282628.000000000000000,1320301.309999999823049,1213645.159999999916181,1314048.480000000214204,1305094.000000000000000,1268935.280000000027940,1226088.879999999888241,1264088.919999999925494,10194830.029999999329448
FS( 14 ),1280670.319999999832362,1331276.620000000111759,1221486.400000000139698,1311465.880000000121072,1277547.000000000000000,1272819.439999999944121,1208155.540000000037253,1262017.020000000018626,10165438.219999998807907
FS( 15 ),1280670.319999999832362,1333649.659999999916181,1210080.960000000195578,1319730.200000000186265,1229021.899999999906868,1246115.840000000083819,1188963.719999999972060,1271962.139999999897555,10080194.740000000223517
FS( 16 ),1290785.000000000000000,1342548.559999999823049,1219704.300000000046566,1332643.200000000186265,1253390.399999999906868,1251942.080000000074506,1185817.520000000018626,1273619.659999999916181,10150450.719999998807907
FS( 17 ),1283933.119999999878928,1333353.030000000027940,1212219.479999999981374,1321279.760000000009313,1243854.899999999906868,1222325.360000000102445,1174805.820000000065193,1263260.159999999916181,10055031.629999998956919
FS( 18 ),1280670.319999999832362,1330979.989999999757856,1201883.300000000046566,1318697.160000000149012,1230081.399999999906868,1238590.280000000027940,1170715.760000000009313,1257873.219999999972060,10029491.430000001564622
FS( 19 ),1272187.039999999804422,1328013.689999999944121,1202239.719999999972060,1335225.800000000279397,1231352.799999999813735,1239804.080000000074506,1183300.560000000055879,1270097.429999999934807,10062221.119999999180436
FS( 20 ),1269250.519999999785796,1316741.750000000000000,1203665.400000000139698,1342973.600000000093132,1235378.899999999906868,1257282.800000000046566,1184873.659999999916181,1271340.570000000065193,10081507.199999999254942
FS( 21 ),1283280.559999999823049,1319114.789999999804422,1209011.700000000186265,1339874.480000000214204,1255933.199999999953434,1292968.520000000018626,1189278.339999999850988,1288330.149999999906868,10177791.740000000223517
FS( 22 ),1269576.799999999813735,1318818.159999999916181,1209011.700000000186265,1327994.520000000251457,1258476.000000000000000,1275489.800000000046566,1181727.459999999962747,1283357.589999999850988,10124452.030000001192093
FS( 23 ),1305141.319999999832362,1339878.889999999897555,1213288.739999999990687,1336775.360000000102445,1273944.699999999953434,1245630.320000000065193,1190536.820000000065193,1285222.300000000046566,10190418.450000001117587
FS( 24 ),1320150.199999999953434,1340768.780000000027940,1212575.900000000139698,1336258.840000000083819,1257204.599999999860302,1245144.800000000046566,1199975.419999999925494,1282114.449999999953434,10194192.989999998360872
FS( 25 ),1337116.759999999776483,1348481.159999999916181,1221842.820000000065193,1346072.719999999972060,1265892.500000000000000,1263109.040000000037253,1193053.780000000027940,1278177.839999999850988,10253746.619999999180436
FS( 26 ),1346578.879999999888241,1339878.889999999897555,1217922.200000000186265,1367766.560000000055879,1268223.399999999906868,1265779.399999999906868,1193053.780000000027940,1276727.510000000009313,10275930.619999999180436
FS( 27 ),1355062.159999999916181,1342845.189999999944121,1211506.640000000130385,1365700.480000000214204,1269071.000000000000000,1288113.320000000065193,1193053.780000000027940,1283771.969999999972060,10309124.540000000968575
FS( 28 ),1352451.919999999925494,1344624.969999999972060,1210793.800000000046566,1361051.800000000279397,1258264.099999999860302,1294425.080000000074506,1185817.520000000018626,1282528.829999999841675,10289958.019999999552965
FS( 29 ),1363545.439999999711290,1362422.770000000018626,1219704.300000000046566,1358985.719999999972060,1250000.000000000000000,1307291.360000000102445,1199660.800000000046566,1280249.739999999990687,10341860.130000000819564
FS( 30 ),1357346.119999999878928,1366278.959999999962747,1227901.960000000195578,1377063.920000000158325,1253602.299999999813735,1322099.719999999972060,1196829.219999999972060,1289158.909999999916181,10390281.109999999403954
FS( 31 ),1345926.319999999832362,1355896.909999999916181,1218991.460000000195578,1376547.399999999906868,1256357.000000000000000,1325983.879999999888241,1190222.199999999953434,1279628.169999999925494,10349553.339999999850988
FS( 32 ),1355388.439999999711290,1362422.770000000018626,1227189.120000000111759,1370865.679999999934807,1259535.499999999767169,1330110.800000000046566,1197143.839999999850988,1285429.489999999990687,10388085.639999998733401
FS( 33 ),1362240.319999999832362,1385559.909999999916181,1230753.320000000065193,1377580.440000000176951,1268223.399999999906868,1327440.439999999944121,1210043.260000000009313,1294545.849999999860302,10456386.939999999478459
FS( 34 ),1356367.279999999795109,1391789.139999999897555,1226476.280000000027940,1355370.080000000074506,1255933.199999999953434,1342977.080000000074506,1210987.120000000111759,1244613.060000000055879,10384513.240000000223517
FS( 35 ),1346578.879999999888241,1381407.089999999850988,1234317.520000000251457,1365183.959999999962747,1248940.499999999767169,1339578.439999999944121,1202177.760000000009313,1214156.130000000121072,10332340.280000001192093
FS( 36 ),1353430.759999999776483,1392679.030000000027940,1232891.840000000083819,1370865.679999999934807,1249364.299999999813735,1333752.199999999953434,1199660.800000000046566,1212912.989999999990687,10345557.599999999627471
FS( 37 ),1347884.000000000000000,1393568.919999999925494,1229684.060000000055879,1372415.240000000223517,1241735.899999999906868,1350988.159999999916181,1199975.419999999925494,1218092.739999999990687,10354344.440000001341105
FS( 38 ),1358651.239999999757856,1392085.770000000018626,1226832.700000000186265,1383778.679999999934807,1241735.899999999906868,1352930.239999999990687,1199660.800000000046566,1211255.469999999972060,10366930.800000000745058
FS( 39 ),1368113.359999999869615,1400984.669999999925494,1226832.700000000186265,1387394.320000000065193,1237497.899999999906868,1355600.600000000093132,1200290.040000000037253,1220993.399999999906868,10397706.990000000223517
FS( 40 ),1370071.039999999804422,1411070.089999999850988,1245010.120000000111759,1393592.560000000055879,1228386.199999999953434,1353415.760000000009313,1199031.560000000055879,1224101.250000000000000,10424678.580000000074506
FS( 41 ),1383122.239999999757856,1407807.159999999916181,1240376.659999999916181,1401856.880000000121072,1237921.699999999953434,1359242.000000000000000,1209099.399999999906868,1218714.310000000055879,10458140.349999999627471
FS( 42 ),1382143.399999999906868,1406324.009999999776483,1232891.840000000083819,1404439.480000000214204,1229233.799999999813735,1355600.600000000093132,1216650.280000000027940,1222650.919999999925494,10449934.330000000074506
FS( 43 ),1393236.919999999925494,1405730.750000000000000,1233961.099999999860302,1410637.719999999972060,1239616.899999999906868,1336179.800000000046566,1227032.739999999990687,1230731.329999999841675,10477127.259999997913837
FS( 44 ),1370397.319999999832362,1376067.750000000000000,1225407.020000000251457,1386361.280000000027940,1207620.000000000000000,1322099.719999999972060,1217279.520000000018626,1221822.159999999916181,10327054.769999999552965
FS( 45 ),1362240.319999999832362,1405730.750000000000000,1226119.860000000102445,1389460.399999999906868,1205077.199999999953434,1320400.399999999906868,1222942.679999999934807,1240262.070000000065193,10372233.679999999701977
FS( 46 ),1371049.879999999888241,1418485.839999999850988,1234673.940000000176951,1393592.560000000055879,1209950.899999999906868,1350017.120000000111759,1233954.379999999888241,1238397.360000000102445,10450121.980000000447035
FS( 47 ),1378228.039999999804422,1426791.479999999981374,1238950.979999999981374,1420451.600000000093132,1220757.799999999813735,1354144.040000000037253,1230178.939999999944121,1244820.250000000000000,10514323.129999998956919
FS( 48 ),1381490.839999999850988,1441326.350000000093132,1250356.419999999925494,1413220.320000000065193,1220757.799999999813735,1335694.280000000027940,1237100.580000000074506,1257251.649999999906868,10537198.240000000223517
FS( 49 ),1435979.599999999860302,1457641.000000000000000,1252138.520000000251457,1430265.480000000214204,1237709.799999999813735,1343219.840000000083819,1242134.500000000000000,1263881.729999999981374,10662970.470000000670552
FS( 50 ),1418686.759999999776483,1467429.789999999804422,1251425.679999999934807,1424583.760000000009313,1249152.399999999906868,1354144.040000000037253,1241819.879999999888241,1265539.250000000000000,10672781.559999998658895
FS( 51 ),1418360.479999999748543,1459420.780000000027940,1253564.200000000186265,1429748.959999999962747,1251907.099999999860302,1352444.719999999972060,1244022.219999999972060,1268647.099999999860302,10678115.559999998658895
FS( 52 ),1409224.639999999664724,1454971.329999999841675,1250356.419999999925494,1436463.719999999972060,1254449.899999999906868,1349531.600000000093132,1244966.080000000074506,1260566.689999999944121,10660530.379999998956919
FS( 53 ),1417381.639999999664724,1448445.469999999972060,1254633.460000000195578,1447827.160000000149012,1252754.699999999953434,1362640.640000000130385,1247483.040000000037253,1258494.790000000037253,10689660.899999998509884
FS( 54 ),1410856.039999999804422,1464760.120000000111759,1258197.659999999916181,1443178.480000000214204,1253602.299999999813735,1329868.040000000037253,1246853.800000000046566,1255594.130000000121072,10662910.570000002160668
FS( 55 ),1411834.879999999888241,1476921.949999999953434,1267464.580000000074506,1426133.320000000065193,1239828.799999999813735,1310204.479999999981374,1251573.100000000093132,1254765.370000000111759,10638726.480000000447035
FS( 56 ),1412487.439999999711290,1473659.020000000018626,1272810.880000000121072,1433364.600000000093132,1228386.199999999953434,1308019.640000000130385,1247797.659999999916181,1256630.079999999841675,10633155.519999999552965
