代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11181284.500000000000000
真實報酬,1181284.500000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11031.615834115695179
風險,134846.540653466334334
起點值,0.081808667694822
找到最佳解世代,2724
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),PG[21](3),UNH[23](8),
Stock#,AAPL[0](2),PG[21](3),UNH[23](8),
張數,35597,41167,25233,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,29.919999999925494,41.010000000242144,53.700000000186265,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3388152.380000000353903,3338684.709999999962747,3342416.880000000353903,10069254.970000000670552
FS( 3 ),3352911.349999999627471,3359268.209999999962747,3331566.690000000409782,10043747.250000000000000
FS( 4 ),3319094.199999999720603,3346918.110000000335276,3338631.930000000167638,10004645.240000000223517
FS( 5 ),3300583.759999999776483,3381086.720000000204891,3331819.020000000018626,10013490.500000000000000
FS( 6 ),3303075.550000000279397,3380675.050000000279397,3347715.810000000055879,10031467.410000000149012
FS( 7 ),3325501.660000000149012,3395495.170000000391155,3370425.510000000242144,10091423.339999999850988
FS( 8 ),3293108.390000000130385,3381910.060000000521541,3297754.470000000204891,9972773.920000001788139
FS( 9 ),3215862.899999999906868,3392613.479999999981374,3273783.120000000577420,9882260.500000000000000
FS( 10 ),3222270.359999999869615,3344036.420000000391155,3255110.700000000186265,9821418.480000000447035
FS( 11 ),3341876.279999999795109,3360503.220000000204891,3296492.819999999832362,9998873.320000000298023
FS( 12 ),3327993.449999999720603,3318924.550000000279397,3269241.180000000167638,9916160.179999999701977
FS( 13 ),3366082.240000000223517,3287225.959999999962747,3293212.529999999795109,9946521.730000000447035
FS( 14 ),3353267.319999999832362,3301222.740000000223517,3280343.700000000186265,9934834.760000001639128
FS( 15 ),3389576.259999999776483,3294224.350000000093132,3304062.720000000204891,9987864.330000000074506
FS( 16 ),3432648.630000000353903,3301634.410000000149012,3290941.560000000055879,10025225.600000001490116
FS( 17 ),3484976.220000000204891,3333333.000000000000000,3345697.170000000391155,10164007.390000000596046
FS( 18 ),3546203.060000000055879,3354328.170000000391155,3366640.560000000055879,10267172.790000000968575
FS( 19 ),3574324.689999999944121,3343624.750000000000000,3355538.040000000037253,10273488.480000000447035
FS( 20 ),3572188.869999999646097,3352269.820000000298023,3381275.700000000186265,10305735.390000000596046
FS( 21 ),3554746.339999999850988,3336214.690000000409782,3372948.810000000055879,10263910.839999999850988
FS( 22 ),3504910.539999999571592,3367089.940000000409782,3394649.190000000409782,10266650.670000001788139
FS( 23 ),3478568.759999999776483,3373676.660000000149012,3432751.020000000018626,10284997.439999999478459
FS( 24 ),3485688.160000000149012,3395083.500000000000000,3452937.420000000391155,10333710.080000000074506
FS( 25 ),3510962.029999999795109,3407433.600000000093132,3485992.650000000372529,10404389.280000001192093
FS( 26 ),3525200.830000000074506,3388908.450000000186265,3455460.720000000204891,10369571.000000000000000
FS( 27 ),3521997.099999999627471,3402493.560000000521541,3542766.900000000372529,10467258.560000000521541
FS( 28 ),3547270.970000000204891,3423900.400000000372529,3549832.140000000130385,10521004.510000001639128
FS( 29 ),3518081.429999999701977,3425135.410000000149012,3513496.620000000577420,10456714.460000000894070
FS( 30 ),3465041.899999999906868,3399200.200000000186265,3484478.670000000391155,10348721.769999999552965
FS( 31 ),3469313.539999999571592,3431310.459999999962747,3478927.410000000149012,10379552.410000000149012
FS( 32 ),3457922.500000000000000,3414843.660000000149012,3463535.279999999795109,10336302.439999999478459
FS( 33 ),3472517.270000000018626,3433780.479999999981374,3498861.479999999981374,10405160.230000000447035
FS( 34 ),3393491.929999999701977,3422253.720000000204891,3474385.470000000204891,10290132.120000001043081
FS( 35 ),3385304.619999999646097,3418548.690000000409782,3495328.860000000335276,10299183.170000001788139
FS( 36 ),3414138.189999999944121,3433780.479999999981374,3487001.970000000204891,10334921.640000000596046
FS( 37 ),3401323.270000000018626,3440367.200000000186265,3479684.400000000372529,10321375.870000001043081
FS( 38 ),3420901.619999999646097,3466714.080000000074506,3512234.970000000204891,10399851.669999999925494
FS( 39 ),3324789.720000000204891,3386438.430000000633299,3464292.270000000018626,10175521.419999999925494
FS( 40 ),3276377.800000000279397,3344036.420000000391155,3459750.330000000540167,10080165.550000000745058
FS( 41 ),3331553.149999999906868,3394671.830000000074506,3500123.130000000353903,10226349.110000001266599
FS( 42 ),3360386.720000000204891,3454363.979999999981374,3545794.860000000335276,10360546.560000000521541
FS( 43 ),3403103.119999999646097,3485650.900000000372529,3562953.299999999813735,10451708.320000000298023
FS( 44 ),3413426.250000000000000,3490179.270000000484288,3554374.080000000540167,10457980.600000001490116
FS( 45 ),3381388.949999999720603,3517349.490000000223517,3572037.180000000167638,10470776.619999999180436
FS( 46 ),3400611.330000000074506,3500471.020000000484288,3592728.240000000223517,10493811.589999999850988
FS( 47 ),3415206.099999999627471,3492237.620000000111759,3552860.100000000558794,10460304.820000000298023
FS( 48 ),3441547.880000000353903,3530934.600000000093132,3564719.610000000335276,10537203.089999999850988
FS( 49 ),3452226.979999999981374,3530111.260000000242144,3540748.260000000242144,10523087.500000000000000
FS( 50 ),3467889.660000000149012,3530111.260000000242144,3529141.080000000540167,10527143.000000000000000
FS( 51 ),3448311.310000000055879,3535874.640000000130385,3570018.540000000037253,10554205.490000000223517
FS( 52 ),3516657.550000000279397,3535051.300000000279397,3553869.420000000391155,10605579.270000001415610
FS( 53 ),3516301.580000000074506,3540814.680000000633299,3566233.590000000316650,10623350.850000001490116
FS( 54 ),3553678.429999999701977,3537521.320000000298023,3551598.450000000186265,10642799.199999999254942
FS( 55 ),3555102.310000000055879,3547401.400000000372529,3598027.170000000391155,10700531.880000000819564
FS( 56 ),3558306.039999999571592,3512409.450000000186265,3608877.360000000335276,10679593.850000001490116
FS( 57 ),3539439.630000000353903,3509939.430000000633299,3605092.410000000149012,10654472.470000000670552
FS( 58 ),3512029.939999999944121,3528876.250000000000000,3625783.470000000204891,10666690.660000000149012
FS( 59 ),3465041.899999999906868,3532169.610000000335276,3576326.790000000037253,10573539.300000000745058
FS( 60 ),3441191.910000000149012,3510351.100000000093132,3575569.799999999813735,10527113.809999998658895
FS( 61 ),3664741.069999999832362,3477005.830000000074506,3575065.140000000130385,10716813.040000000968575
FS( 62 ),3714220.899999999906868,3491414.280000000260770,3602316.779999999795109,10807952.959999999031425
FS( 63 ),3709593.289999999571592,3523524.540000000502914,3613419.299999999813735,10846538.129999998956919
FS( 64 ),3775091.770000000018626,3557281.479999999981374,3621241.529999999795109,10953615.779999999329448
FS( 65 ),3719204.479999999981374,3571689.930000000633299,3612662.310000000055879,10903557.720000000670552
FS( 66 ),3765836.550000000279397,3539168.000000000000000,3605344.740000000223517,10910350.290000000968575
FS( 67 ),3768684.310000000055879,3542461.360000000335276,3601055.130000000353903,10912201.800000000745058
FS( 68 ),3825995.479999999981374,3531346.270000000484288,3608120.370000000577420,10965463.120000001043081
FS( 69 ),3857676.810000000055879,3530522.930000000633299,3586419.990000000223517,10974620.730000000447035
FS( 70 ),3873339.490000000223517,3539991.339999999850988,3578597.760000000242144,10991929.589999999850988
FS( 71 ),3844505.919999999925494,3553164.780000000260770,3587933.970000000204891,10985605.669999999925494
FS( 72 ),3842014.130000000353903,3570454.920000000391155,3599036.490000000223517,11011506.540000000968575
FS( 73 ),3850913.380000000353903,3583216.690000000409782,3605344.740000000223517,11039475.810000000521541
FS( 74 ),3897189.479999999981374,3582393.350000000093132,3573551.160000000149012,11053134.990000000223517
FS( 75 ),3893629.779999999795109,3564279.870000000111759,3559925.340000000316650,11017835.990000000223517
FS( 76 ),3887934.259999999776483,3579923.330000000074506,3575822.130000000353903,11043680.720000000670552
FS( 77 ),3882950.679999999701977,3599683.490000000223517,3587429.310000000055879,11070064.480000000447035
FS( 78 ),3892917.839999999850988,3594331.780000000260770,3584149.020000000018626,11071399.640000000596046
FS( 79 ),3862660.390000000130385,3575394.959999999962747,3585410.670000000391155,11023467.019999999552965
FS( 80 ),3874763.369999999646097,3598036.810000000521541,3583392.029999999795109,11056193.209999999031425
FS( 81 ),3845573.830000000074506,3594331.780000000260770,3529393.410000000149012,10969300.019999999552965
FS( 82 ),3829199.209999999497086,3618620.310000000521541,3464544.600000000558794,10912365.120000001043081
