代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10806020.980000000447035
真實報酬,806020.980000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,41882.309781291187392
風險,70993.748217205677065
起點值,0.589943633531675
找到最佳解世代,1792
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MSFT[18](1),VZ[26](2),
Stock#,MSFT[18](1),VZ[26](2),
張數,233644,182815,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,18.400000000372529,9.750000000000000,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5000000.000000000000000,5054844.500000000000000,10054844.500000000000000
FS( 3 ),5077102.520000000484288,5056672.650000000372529,10133775.170000001788139
FS( 4 ),5100466.919999999925494,5054844.500000000000000,10155311.419999999925494
FS( 5 ),5172896.560000000521541,5000000.000000000000000,10172896.560000000521541
FS( 6 ),5151868.600000000558794,5003656.299999999813735,10155524.900000000372529
FS( 7 ),5158877.919999999925494,5029250.400000000372529,10188128.320000000298023
FS( 8 ),5268690.600000000558794,5047531.899999999441206,10316222.500000000000000
FS( 9 ),5334110.919999999925494,5084094.899999999441206,10418205.820000000298023
FS( 10 ),5450932.919999999925494,5113345.299999999813735,10564278.219999998807907
FS( 11 ),5471960.880000000819564,5082266.750000000000000,10554227.630000000819564
FS( 12 ),5478970.200000000186265,5049360.049999999813735,10528330.250000000000000
FS( 13 ),5532708.320000000298023,5089579.349999999627471,10622287.669999999925494
FS( 14 ),5490652.400000000372529,5142595.700000000186265,10633248.100000001490116
FS( 15 ),5623829.480000000447035,5069469.700000000186265,10693299.179999999701977
FS( 16 ),5439250.720000000670552,5131626.799999999813735,10570877.519999999552965
FS( 17 ),5453269.360000000335276,5215721.700000000186265,10668991.060000000521541
FS( 18 ),5483643.080000000074506,5265081.750000000000000,10748724.830000000074506
FS( 19 ),5558409.160000000149012,5314441.799999999813735,10872850.960000000894070
FS( 20 ),5455605.800000000745058,5296160.299999999813735,10751766.100000001490116
FS( 21 ),5574764.240000000223517,5360145.549999999813735,10934909.789999999105930
FS( 22 ),5553736.280000000260770,5252284.700000000186265,10806020.980000000447035
