代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10764304.710000000894070
真實報酬,764304.710000000894070

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,36499.981316822762892
風險,76642.692531782813603
起點值,0.476235634619526
找到最佳解世代,2067
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,4
AAPL[0](12),DD[7](4),INTC[11](2),XOM[29](1),
Stock#,AAPL[0](12),DD[7](4),INTC[11](2),XOM[29](1),
張數,31746,43905,105485,26732,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,2.500000000000000,49.300000000279397,5.500000000000000,23.360000000335276,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2568253.900000000372529,2420971.000000000465661,2484177.250000000000000,2523256.840000000316650,9996658.990000000223517
FS( 3 ),2562222.159999999683350,2431508.200000000186265,2504219.399999999906868,2530741.800000000279397,10028691.560000000521541
FS( 4 ),2575555.479999999981374,2413946.200000000186265,2559071.600000000093132,2516306.520000000018626,10064879.799999998882413
FS( 5 ),2539682.500000000000000,2455216.900000000372529,2618143.200000000186265,2556939.160000000614673,10169981.760000001639128
FS( 6 ),2568888.819999999832362,2550929.800000000279397,2629746.549999999813735,2562018.240000000223517,10311583.410000000149012
FS( 7 ),2564761.840000000316650,2612396.800000000279397,2618143.200000000186265,2558543.080000000074506,10353844.920000001788139
FS( 8 ),2545714.239999999757856,2566735.600000000093132,2575949.200000000186265,2519781.680000000633299,10208180.720000000670552
FS( 9 ),2542222.180000000167638,2548734.550000000279397,2581223.449999999720603,2549186.880000000353903,10221367.060000000521541
FS( 10 ),2514285.700000000186265,2596151.950000000186265,2562236.149999999906868,2547850.280000000260770,10220524.080000001937151
FS( 11 ),2528253.939999999944121,2600981.500000000465661,2579113.750000000000000,2598908.400000000372529,10307257.589999999850988
FS( 12 ),2516825.379999999888241,2638739.800000000279397,2601265.600000000093132,2586344.360000000335276,10343175.140000000596046
FS( 13 ),2497777.780000000260770,2720403.100000000093132,2652953.250000000000000,2660926.640000000596046,10532060.770000001415610
FS( 14 ),2469206.379999999888241,2744989.900000000372529,2651898.399999999906868,2657986.120000000577420,10524080.800000000745058
FS( 15 ),2489841.280000000260770,2737526.050000000279397,2643459.600000000093132,2637937.120000000577420,10508764.050000000745058
FS( 16 ),2585396.739999999757856,2743672.750000000465661,2670885.700000000186265,2633392.680000000633299,10633347.870000001043081
FS( 17 ),2574603.099999999627471,2777479.600000000093132,2682489.049999999813735,2652372.400000000372529,10686944.149999998509884
FS( 18 ),2557460.260000000242144,2804700.700000000186265,2710970.000000000000000,2697282.160000000614673,10770413.120000001043081
FS( 19 ),2539999.959999999962747,2788455.850000000093132,2700421.500000000000000,2713588.680000000633299,10742465.990000002086163
FS( 20 ),2514920.620000000111759,2788455.850000000093132,2726792.750000000000000,2681510.280000000260770,10711679.500000000000000
FS( 21 ),2544444.400000000372529,2776162.450000000186265,2738396.100000000093132,2705301.760000000242144,10764304.710000000894070
