代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10930651.570000000298023
真實報酬,930651.570000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,40665.548417396566947
風險,108101.424034720519558
起點值,0.376179581171247
找到最佳解世代,1844
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,2
MCD[15](2),NKE[19](1),
Stock#,MCD[15](2),NKE[19](1),
張數,53493,92047,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,9.290000000037253,6.959999999962747,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5137477.010000000707805,5094808.410000000149012,10232285.420000001788139
FS( 3 ),5135872.220000000670552,5102172.169999999925494,10238044.390000000596046
FS( 4 ),5073820.339999999850988,5048784.910000000149012,10122605.250000000000000
FS( 5 ),5177061.830000000074506,5143593.320000000298023,10320655.150000000372529
FS( 6 ),5104846.280000000260770,5056148.669999999925494,10160994.949999999254942
FS( 7 ),5095217.540000000037253,5080080.889999999664724,10175298.429999999701977
FS( 8 ),5210762.419999999925494,5146354.729999999515712,10357117.149999998509884
FS( 9 ),5187225.500000000000000,5150036.610000000335276,10337262.109999999403954
FS( 10 ),5252486.959999999962747,5239322.200000000186265,10491809.160000000149012
FS( 11 ),5279233.459999999962747,5319403.089999999850988,10598636.550000000745058
FS( 12 ),5233764.410000000149012,5305596.040000000037253,10539360.449999999254942
FS( 13 ),5191504.939999999478459,5295470.870000000111759,10486975.809999998658895
FS( 14 ),5236973.990000000223517,5364506.120000000111759,10601480.109999999403954
FS( 15 ),5199528.890000000596046,5337812.490000000223517,10537341.380000000819564
FS( 16 ),5209157.629999999888241,5312959.799999999813735,10522117.429999999701977
FS( 17 ),5204343.260000000707805,5283504.759999999776483,10487848.019999999552965
FS( 18 ),5220391.160000000149012,5752944.459999999962747,10973335.620000001043081
FS( 19 ),5133197.569999999366701,5621317.250000000000000,10754514.820000000298023
FS( 20 ),5214506.930000000633299,5508099.440000000409782,10722606.370000001043081
FS( 21 ),5270674.580000000074506,5659976.990000000223517,10930651.570000000298023
