代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10690040.039999999105930
真實報酬,690040.039999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,31066.204353096160048
風險,33848.049288503054413
起點值,0.917813729479773
找到最佳解世代,1922
找到最佳解實驗#,2
找到最佳解次數,7

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,70846,
分配資金,10000000.000000000000000,
剩餘資金,87.099999999627471,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10005667.679999999701977,10005667.679999999701977
FS( 3 ),10104143.619999999180436,10104143.619999999180436
FS( 4 ),10162945.799999998882413,10162945.799999998882413
FS( 5 ),10199077.259999999776483,10199077.259999999776483
FS( 6 ),10218914.140000000596046,10218914.140000000596046
FS( 7 ),10227415.660000000149012,10227415.660000000149012
FS( 8 ),10238751.019999999552965,10238751.019999999552965
FS( 9 ),10216788.759999999776483,10216788.759999999776483
FS( 10 ),10298261.660000000149012,10298261.660000000149012
FS( 11 ),10363439.980000000447035,10363439.980000000447035
FS( 12 ),10434994.439999999478459,10434994.439999999478459
FS( 13 ),10372649.959999999031425,10372649.959999999031425
FS( 14 ),10415157.559999998658895,10415157.559999998658895
FS( 15 ),10495922.000000000000000,10495922.000000000000000
FS( 16 ),10498755.839999999850988,10498755.839999999850988
FS( 17 ),10472542.819999998435378,10472542.819999998435378
FS( 18 ),10591564.099999999627471,10591564.099999999627471
FS( 19 ),10611400.980000000447035,10611400.980000000447035
FS( 20 ),10617068.660000000149012,10617068.660000000149012
FS( 21 ),10622027.880000000819564,10622027.880000000819564
FS( 22 ),10690040.039999999105930,10690040.039999999105930
