代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10358721.759999999776483
真實報酬,358721.759999999776483

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19270.312425101154076
風險,31152.025303142578196
起點值,0.618589393067718
找到最佳解世代,2431
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AXP[1](2),JNJ[12](1),VZ[26](7),
Stock#,AXP[1](2),JNJ[12](1),VZ[26](7),
張數,55639,44935,74805,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,0.510000000242144,54.699999999720603,22.199999999720603,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3305513.500000000000000,3330187.549999999813735,3330340.799999999813735,9966042.849999999627471
FS( 3 ),3375062.250000000000000,3354901.799999999348074,3333333.000000000000000,10063298.049999998882413
FS( 4 ),3369498.350000000558794,3387704.349999999627471,3347545.949999999720603,10104749.650000000372529
FS( 5 ),3457407.970000000204891,3372875.799999999813735,3325852.500000000000000,10156137.269999999552965
FS( 6 ),3438490.709999999962747,3391748.500000000000000,3317623.949999999720603,10147864.160000000149012
FS( 7 ),3448505.729999999981374,3388603.049999999348074,3315379.799999999813735,10152489.579999998211861
FS( 8 ),3460746.310000000521541,3406127.699999999720603,3324356.399999999441206,10191231.410000000149012
FS( 9 ),3455182.410000000149012,3399836.799999999348074,3330340.799999999813735,10185361.009999997913837
FS( 10 ),3468535.770000000484288,3406577.049999999813735,3316127.849999999627471,10191241.669999999925494
FS( 11 ),3432370.419999999925494,3422304.299999999348074,3321364.199999999720603,10176039.919999998062849
FS( 12 ),3465197.430000000167638,3458252.299999999348074,3328844.699999999720603,10252295.429999999701977
FS( 13 ),3444611.000000000000000,3444322.450000000186265,3360262.799999999813735,10249197.250000000000000
FS( 14 ),3424024.570000000298023,3454208.149999999906868,3375223.799999999348074,10253457.519999999552965
FS( 15 ),3481332.740000000223517,3426348.449999999720603,3396169.199999999720603,10303851.389999998733401
FS( 16 ),3450731.290000000502914,3395792.649999999441206,3420106.799999999813735,10266631.739999998360872
FS( 17 ),3445167.390000000130385,3403880.949999999720603,3450028.799999999348074,10299078.139999998733401
FS( 18 ),3477438.010000000242144,3429493.899999999441206,3467233.949999999720603,10374166.859999999403954
FS( 19 ),3457964.360000000335276,3420057.549999999813735,3480698.849999999627471,10358721.759999999776483
