代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11344327.890000000596046
真實報酬,1344327.890000000596046

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,22703.330999953126593
風險,39359.675073335798515
起點值,0.576817033109440
找到最佳解世代,2350
找到最佳解實驗#,1
找到最佳解次數,35

stock[index](rank)
投資組合檔數,12
AAPL[0](10),CAT[3](2),CSCO[4](11),CVX[5](25),DIS[6](18),HD[9](16),KO[14](21),MSFT[18](7),NKE[19](3),TRV[22](12),V[25](9),WMT[28](1),
Stock#,AAPL[0](10),CAT[3](2),CSCO[4](11),CVX[5](25),DIS[6](18),HD[9](16),KO[14](21),MSFT[18](7),NKE[19](3),TRV[22](12),V[25](9),WMT[28](1),
張數,5417,6681,24691,7096,8345,5080,18601,11169,16065,6757,7903,10622,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,144.229999999981374,78.680000000051223,11.750000000000000,49.719999999972060,1.300000000046566,111.399999999906868,8.200000000069849,13.910000000032596,41.450000000069849,59.760000000009313,40.680000000051223,37.099999999976717,
FS( 1 ),833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,10000000.000000000000000
FS( 2 ),836962.389999999897555,838610.990000000107102,835802.100000000093132,836100.439999999944121,841093.850000000093132,839174.999999999883585,840587.390000000013970,829423.850000000093132,826907.000000000000000,835900.660000000032596,834518.450000000069849,841511.939999999944121,10036598.059999998658895
FS( 3 ),831545.389999999897555,846828.619999999995343,825678.789999999920838,834397.399999999906868,839091.050000000046566,839784.599999999860302,846353.700000000069849,834226.520000000018626,836706.650000000023283,837252.060000000055879,832305.610000000102445,840131.079999999958090,10044305.470000000670552
FS( 4 ),841891.859999999869615,844557.080000000074506,829382.440000000060536,841493.399999999906868,835419.250000000000000,844000.999999999883585,846725.720000000088476,848522.839999999967404,838313.150000000023283,840900.839999999967404,839655.400000000023283,843530.119999999995343,10094397.099999999627471
FS( 5 ),841404.330000000074506,848098.010000000125729,833333.000000000000000,830494.599999999976717,835085.449999999953434,842629.399999999906868,846167.690000000060536,848857.910000000032596,842168.750000000116415,845157.750000000000000,843527.870000000111759,839175.099999999976717,10096103.860000001266599
FS( 6 ),844329.510000000009313,847763.959999999962747,833579.909999999916181,835319.879999999888241,830912.949999999953434,841918.199999999953434,844679.609999999986030,852096.920000000158325,827710.250000000116415,844346.910000000032596,845740.710000000079162,855426.760000000009313,10103829.570000000298023
FS( 7 ),844654.530000000027940,856516.070000000065193,828394.799999999930151,843054.519999999902211,830996.400000000023283,839124.199999999837019,853236.070000000065193,852096.920000000158325,827870.900000000139698,851036.339999999967404,848111.610000000102445,893665.959999999962747,10168762.320000000298023
FS( 8 ),848175.580000000074506,859255.280000000027940,829382.440000000060536,846815.399999999906868,822401.050000000046566,839581.399999999906868,857514.300000000046566,853548.890000000013970,819838.400000000139698,848806.530000000027940,857042.000000000000000,910661.160000000032596,10193026.429999999701977
FS( 9 ),845196.229999999981374,868541.870000000111759,821234.409999999916181,845467.160000000032596,808882.150000000139698,836228.599999999976717,857700.310000000055879,861367.190000000060536,816625.400000000023283,851103.910000000032596,854434.010000000009313,914591.299999999930151,10181376.540000000968575
FS( 10 ),850559.060000000055879,873352.190000000060536,826419.520000000018626,845609.079999999958090,812637.400000000023283,835618.999999999883585,859002.380000000121072,865499.719999999972060,819035.150000000023283,855968.950000000069849,858780.660000000032596,920114.739999999990687,10222601.849999999627471
FS( 11 ),866214.189999999944121,878429.750000000000000,828147.890000000013970,852492.199999999953434,818896.150000000023283,834348.999999999883585,867186.820000000065193,867286.760000000125729,825300.500000000000000,870496.500000000000000,855935.580000000074506,910767.379999999888241,10275506.720000002533197
FS( 12 ),869410.219999999972060,872216.420000000041910,829629.350000000093132,853130.839999999967404,820815.500000000000000,829929.399999999906868,865326.720000000088476,866616.620000000111759,835421.450000000069849,869347.810000000055879,849929.300000000046566,913316.660000000032596,10275094.290000000968575
FS( 13 ),865564.149999999906868,877227.170000000041910,828394.799999999930151,838442.119999999995343,819897.550000000046566,830437.399999999906868,863094.600000000093132,866840.000000000000000,840240.950000000069849,878604.900000000023283,851984.080000000074506,915865.939999999944121,10276597.659999998286366
FS( 14 ),845087.889999999897555,878964.230000000097789,833333.000000000000000,838796.920000000041910,826239.750000000116415,829370.599999999976717,866628.790000000153668,870190.699999999953434,846506.300000000046566,899889.449999999953434,845819.739999999990687,917777.900000000023283,10298609.269999999552965
FS( 15 ),846550.479999999981374,877694.840000000200234,845678.500000000000000,841919.160000000032596,829494.300000000046566,830335.799999999930151,862722.580000000074506,880242.800000000046566,852450.350000000093132,900903.000000000000000,850008.330000000074506,928824.779999999911524,10346828.919999999925494
FS( 16 ),846117.119999999878928,879832.760000000125729,848147.600000000093132,843977.000000000000000,823652.800000000046566,836990.599999999976717,861606.520000000018626,880466.180000000051223,862089.349999999976717,908538.409999999916181,849850.270000000018626,941677.400000000023283,10382950.009999999776483
FS( 17 ),851154.929999999934807,923660.120000000111759,853826.529999999911524,846105.800000000046566,820231.350000000093132,843543.799999999930151,859002.380000000121072,880801.250000000000000,858233.750000000116415,900024.589999999967404,856804.910000000032596,934560.660000000032596,10427954.070000000298023
FS( 18 ),847417.199999999953434,914306.720000000088476,846913.049999999930151,840499.959999999962747,816142.300000000046566,843746.999999999883585,856584.250000000000000,878232.380000000004657,882652.550000000046566,890497.219999999972060,865340.150000000023283,939871.660000000032596,10422208.439999999478459
FS( 19 ),852834.199999999953434,914974.820000000065193,846172.320000000065193,840499.959999999962747,822484.500000000116415,851773.399999999906868,859932.430000000051223,879684.350000000093132,912694.100000000093132,891578.339999999967404,867790.080000000074506,941358.739999999990687,10481781.239999998360872
FS( 20 ),883386.080000000074506,920787.290000000037253,850122.880000000004657,805729.560000000055879,820398.250000000116415,850198.599999999976717,856956.270000000018626,936087.800000000046566,899038.850000000093132,885632.180000000051223,867078.810000000055879,936578.839999999967404,10511999.410000000149012
FS( 21 ),903266.469999999972060,911968.370000000111759,840493.390000000013970,811761.160000000032596,818145.100000000093132,839886.199999999953434,853050.060000000055879,936981.320000000065193,887954.000000000116415,896173.100000000093132,869686.800000000046566,923620.000000000000000,10492989.970000000670552
FS( 22 ),915833.909999999916181,907358.480000000097789,843209.399999999906868,822405.160000000032596,816225.750000000116415,842273.799999999930151,855282.180000000051223,929051.330000000074506,883455.800000000046566,895024.409999999916181,869212.620000000111759,927443.920000000041910,10506780.759999999776483
FS( 23 ),904187.359999999869615,910632.170000000041910,854814.169999999925494,822476.119999999995343,826406.650000000023283,840241.799999999930151,851934.000000000000000,929051.330000000074506,884741.000000000116415,901916.550000000046566,877826.890000000013970,934135.779999999911524,10538367.820000000298023
FS( 24 ),910796.100000000093132,911834.750000000000000,844690.859999999986030,818431.399999999906868,820732.050000000046566,826678.199999999953434,853422.080000000074506,938768.359999999986030,885544.250000000000000,910160.089999999967404,877115.620000000111759,943270.699999999953434,10541448.460000000894070
FS( 25 ),934576.729999999981374,912903.709999999962747,851110.520000000018626,816018.759999999892898,823152.100000000093132,835212.599999999860302,855096.170000000041910,939773.570000000065193,895022.600000000093132,900903.000000000000000,880118.760000000009313,952618.060000000055879,10596510.580000000074506
FS( 26 ),944056.479999999981374,920119.190000000060536,849629.059999999939464,830565.560000000055879,839842.100000000093132,834348.999999999883585,845795.670000000041910,943459.339999999967404,900324.050000000046566,901713.839999999967404,884544.440000000060536,942208.500000000000000,10636611.230000000447035
FS( 27 ),947090.000000000000000,927468.290000000037253,849382.149999999906868,831984.759999999892898,847936.750000000000000,831504.199999999837019,854538.140000000013970,941225.540000000037253,886026.200000000069849,903605.800000000046566,885887.950000000069849,944864.000000000000000,10651517.779999999329448
FS( 28 ),954836.310000000055879,917313.170000000041910,851851.250000000000000,827940.040000000037253,844348.400000000139698,833485.399999999906868,859002.380000000121072,944464.550000000046566,895825.850000000093132,902254.400000000023283,888891.090000000083819,958778.820000000065193,10678995.660000000149012
FS( 29 ),952886.189999999944121,904285.220000000088476,840740.299999999930151,831984.759999999892898,856865.900000000139698,829523.000000000000000,859932.430000000051223,939215.120000000111759,901769.900000000139698,909078.969999999972060,886283.100000000093132,959203.699999999953434,10671772.589999999850988
FS( 30 ),946331.619999999878928,911901.559999999939464,839258.840000000083819,831559.000000000000000,874390.400000000023283,833790.199999999953434,865698.740000000107102,936757.940000000060536,901127.300000000162981,915903.539999999920838,884228.320000000065193,965789.339999999967404,10706740.800000000745058
