代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11692298.839999999850988
真實報酬,1692298.839999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,27426.262034120729368
風險,106552.457121706946054
起點值,0.257396805057191
找到最佳解世代,3175
找到最佳解實驗#,1
找到最佳解次數,30

stock[index](rank)
投資組合檔數,3
CAT[3](2),DIS[6](10),XOM[29](1),
Stock#,CAT[3](2),DIS[6](10),XOM[29](1),
張數,42050,92515,49788,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,29.500000000000000,17.549999999813735,26.399999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3353517.000000000000000,3340734.199999999720603,3377644.320000000298023,10071896.519999999552965
FS( 3 ),3358983.500000000000000,3357386.899999999906868,3384116.759999999776483,10100488.160000000149012
FS( 4 ),3497748.500000000465661,3425848.000000000000000,3454317.839999999850988,10377915.339999999850988
FS( 5 ),3512886.500000000465661,3441575.550000000279397,3485186.399999999906868,10439649.450000001117587
FS( 6 ),3495225.500000000000000,3428623.450000000186265,3501118.559999999590218,10424968.509999999776483
FS( 7 ),3444345.000000000000000,3410120.449999999720603,3516552.839999999850988,10371019.289999999105930
FS( 8 ),3467472.499999999534339,3422147.399999999906868,3541446.839999999850988,10431067.739999998360872
FS( 9 ),3466631.500000000000000,3324081.500000000000000,3576298.439999999944121,10367012.439999999478459
FS( 10 ),3407761.500000000465661,3492458.799999999813735,3534476.519999999552965,10434697.820000000298023
FS( 11 ),3440560.499999999534339,3446201.299999999813735,3509084.640000000130385,10395847.439999999478459
FS( 12 ),3379588.000000000000000,3415671.350000000093132,3432411.119999999646097,10227671.469999998807907
FS( 13 ),3413228.000000000000000,3443425.849999999627471,3435896.280000000260770,10292551.129999998956919
FS( 14 ),3494805.000000000000000,3476731.249999999534339,3500620.680000000167638,10472157.929999999701977
FS( 15 ),3530968.000000000000000,3423997.699999999720603,3512071.920000000391155,10467038.619999999180436
FS( 16 ),3532229.500000000000000,3418446.800000000279397,3494646.119999999646097,10445323.419999999925494
FS( 17 ),3474621.000000000000000,3341659.349999999627471,3434402.640000000130385,10250683.990000000223517
FS( 18 ),3561244.000000000000000,3411045.599999999627471,3479211.839999999850988,10451502.439999999478459
FS( 19 ),3537696.000000000000000,3395318.050000000279397,3446849.640000000130385,10379864.690000001341105
FS( 20 ),3518353.000000000000000,3369413.850000000093132,3457803.000000000000000,10345570.849999999627471
FS( 21 ),3557459.499999999534339,3377740.199999999720603,3463279.680000000167638,10398480.379999998956919
FS( 22 ),3677302.000000000000000,3434174.349999999627471,3551404.439999999944121,10662881.789999999105930
FS( 23 ),3726500.500000000000000,3454527.649999999906868,3558872.640000000130385,10739901.790000000968575
FS( 24 ),3758458.500000000000000,3477656.399999999906868,3544434.119999999646097,10780550.019999999552965
FS( 25 ),3750889.500000000000000,3474880.950000000186265,3550408.680000000167638,10776180.130000000819564
FS( 26 ),3799246.999999999534339,3453602.499999999534339,3557876.879999999422580,10810727.379999998956919
FS( 27 ),3768550.500000000000000,3420297.099999999627471,3577294.199999999720603,10766142.799999998882413
FS( 28 ),3770653.000000000000000,3399018.649999999906868,3584762.399999999906868,10754435.050000000745058
FS( 29 ),3782006.500000000000000,3391617.449999999720603,3593724.240000000223517,10767349.189999999478459
FS( 30 ),3853071.000000000000000,3435099.500000000000000,3602686.080000000074506,10890857.580000000074506
FS( 31 ),3872414.000000000000000,3445276.149999999906868,3593724.240000000223517,10911415.390000000596046
FS( 32 ),3915725.500000000000000,3418446.800000000279397,3577294.199999999720603,10911467.500000000000000
FS( 33 ),3919089.500000000000000,3423997.699999999720603,3595715.759999999776483,10938803.959999999031425
FS( 34 ),3893439.000000000000000,3427698.299999999348074,3593226.359999999869615,10914364.659999998286366
FS( 35 ),3923294.500000000000000,3428623.450000000186265,3595715.759999999776483,10947634.710000000894070
FS( 36 ),3979221.000000000000000,3453602.499999999534339,3620609.759999999776483,11053434.259999999776483
FS( 37 ),3976697.999999999534339,3510961.800000000279397,3624592.799999999813735,11112253.599999999627471
FS( 38 ),3971652.000000000000000,3487833.050000000279397,3644508.000000000000000,11103994.050000000745058
FS( 39 ),3955672.999999999534339,3467479.749999999534339,3635048.280000000260770,11058202.029999999329448
FS( 40 ),3939694.000000000000000,3456377.949999999720603,3655461.359999999869615,11051534.309999998658895
FS( 41 ),3943478.500000000000000,3478581.549999999813735,3652971.959999999962747,11075033.009999999776483
FS( 42 ),3947263.000000000000000,3467479.749999999534339,3652474.080000000074506,11067217.830000000074506
FS( 43 ),3938432.500000000000000,3470255.199999999720603,3640524.959999999962747,11049213.660000000149012
FS( 44 ),3959037.000000000465661,3498934.849999999627471,3711721.799999999813735,11169694.649999998509884
FS( 45 ),3940534.999999999534339,3607177.399999999906868,3729147.600000000093132,11276861.000000000000000
FS( 46 ),3974595.500000000000000,3696916.949999999720603,3719190.000000000000000,11390703.449999999254942
FS( 47 ),3933386.500000000465661,3668237.299999999813735,3743088.240000000223517,11344713.040000000968575
FS( 48 ),3941376.000000000000000,3649734.300000000279397,3763501.320000000298023,11354612.620000001043081
FS( 49 ),3927079.000000000000000,3654360.049999999813735,3740598.839999999850988,11322038.890000000596046
FS( 50 ),3950627.000000000000000,3645108.549999999813735,3768480.119999999646097,11364216.669999999925494
FS( 51 ),3931284.000000000000000,3623830.100000000093132,3812791.439999999944121,11367906.539999999105930
FS( 52 ),3958616.500000000000000,3632156.449999999720603,3819263.879999999422580,11410037.829999998211861
FS( 53 ),3953150.000000000000000,3634931.899999999906868,3875524.320000000298023,11463607.220000000670552
FS( 54 ),4046501.000000000000000,3644183.399999999906868,3918839.879999999422580,11609525.279999999329448
FS( 55 ),4017486.500000000465661,3616428.899999999906868,3895439.519999999552965,11529355.919999999925494
FS( 56 ),3936330.000000000000000,3623830.100000000093132,3871043.399999999906868,11431204.500000000000000
FS( 57 ),3900167.000000000000000,3676563.649999999906868,3932282.640000000130385,11509014.290000000968575
FS( 58 ),3976697.999999999534339,3695066.649999999441206,3912865.320000000298023,11584630.969999998807907
FS( 59 ),3969129.000000000000000,3687665.449999999720603,3917346.240000000223517,11574141.689999999478459
FS( 60 ),4026317.000000000000000,3648809.149999999441206,3966138.479999999515712,11641265.629999998956919
FS( 61 ),4063321.000000000000000,3650659.449999999720603,3977091.839999999850988,11691073.289999999105930
FS( 62 ),4023373.500000000465661,3594225.299999999813735,3932780.519999999552965,11550380.320000000298023
FS( 63 ),4079300.000000000000000,3596075.599999999627471,4016922.240000000223517,11692298.839999999850988
