代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11423560.899999998509884
真實報酬,1423560.899999998509884

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,29257.045573568870168
風險,257041.156010461796541
起點值,0.113822416719827
找到最佳解世代,2512
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
UNH[23](1),
Stock#,UNH[23](1),
張數,159235,
分配資金,10000000.000000000000000,
剩餘資金,42.000000000000000,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9929936.599999999627471,9929936.599999999627471
FS( 3 ),9832803.250000000000000,9832803.250000000000000
FS( 4 ),9859873.200000001117587,9859873.200000001117587
FS( 5 ),9963375.949999999254942,9963375.949999999254942
FS( 6 ),10140126.800000000745058,10140126.800000000745058
FS( 7 ),10179935.550000000745058,10179935.550000000745058
FS( 8 ),10164012.049999998882413,10164012.049999998882413
FS( 9 ),10214967.250000000000000,10214967.250000000000000
FS( 10 ),10159235.000000000000000,10159235.000000000000000
FS( 11 ),10249998.950000001117587,10249998.950000001117587
FS( 12 ),10458596.800000000745058,10458596.800000000745058
FS( 13 ),10391718.100000001490116,10391718.100000001490116
FS( 14 ),10159235.000000000000000,10159235.000000000000000
FS( 15 ),10175158.500000000000000,10175158.500000000000000
FS( 16 ),10294584.750000000000000,10294584.750000000000000
FS( 17 ),10148088.549999998882413,10148088.549999998882413
FS( 18 ),10315285.300000000745058,10315285.300000000745058
FS( 19 ),10523883.150000000372529,10523883.150000000372529
FS( 20 ),10426749.800000000745058,10426749.800000000745058
FS( 21 ),10450635.049999998882413,10450635.049999998882413
FS( 22 ),10393310.449999999254942,10393310.449999999254942
FS( 23 ),10436303.900000000372529,10436303.900000000372529
FS( 24 ),10536621.950000001117587,10536621.950000001117587
FS( 25 ),10757958.599999999627471,10757958.599999999627471
FS( 26 ),10823244.949999999254942,10823244.949999999254942
FS( 27 ),10778659.150000000372529,10778659.150000000372529
FS( 28 ),10885346.599999999627471,10885346.599999999627471
FS( 29 ),10828022.000000000000000,10828022.000000000000000
FS( 30 ),10767512.700000001117587,10767512.700000001117587
FS( 31 ),10654455.849999999627471,10654455.849999999627471
FS( 32 ),10546176.050000000745058,10546176.050000000745058
FS( 33 ),11234071.250000000000000,11234071.250000000000000
FS( 34 ),11377382.750000000000000,11377382.750000000000000
FS( 35 ),11493624.300000000745058,11493624.300000000745058
FS( 36 ),11574834.150000000372529,11574834.150000000372529
FS( 37 ),11549356.550000000745058,11549356.550000000745058
FS( 38 ),11563687.700000001117587,11563687.700000001117587
FS( 39 ),11498401.349999999627471,11498401.349999999627471
FS( 40 ),11590757.650000000372529,11590757.650000000372529
FS( 41 ),11507955.449999999254942,11507955.449999999254942
FS( 42 ),11600311.750000000000000,11600311.750000000000000
FS( 43 ),11649674.599999999627471,11649674.599999999627471
FS( 44 ),11506363.100000001490116,11506363.100000001490116
FS( 45 ),11678336.900000000372529,11678336.900000000372529
FS( 46 ),11662413.399999998509884,11662413.399999998509884
FS( 47 ),11611458.200000001117587,11611458.200000001117587
FS( 48 ),11652859.300000000745058,11652859.300000000745058
FS( 49 ),11613050.550000000745058,11613050.550000000745058
FS( 50 ),11527063.650000000372529,11527063.650000000372529
FS( 51 ),11679929.250000000000000,11679929.250000000000000
FS( 52 ),11542987.149999998509884,11542987.149999998509884
FS( 53 ),11369421.000000000000000,11369421.000000000000000
FS( 54 ),11374198.050000000745058,11374198.050000000745058
FS( 55 ),11418783.849999999627471,11418783.849999999627471
FS( 56 ),11538210.099999999627471,11538210.099999999627471
FS( 57 ),11441076.750000000000000,11441076.750000000000000
FS( 58 ),11460184.949999999254942,11460184.949999999254942
FS( 59 ),11550948.900000000372529,11550948.900000000372529
FS( 60 ),11525471.299999998882413,11525471.299999998882413
FS( 61 ),11388529.199999999254942,11388529.199999999254942
FS( 62 ),11391713.900000000372529,11391713.900000000372529
FS( 63 ),11535025.400000000372529,11535025.400000000372529
FS( 64 ),11423560.899999998509884,11423560.899999998509884
