代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13825089.409999998286366
真實報酬,3825089.409999998286366

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16857.373001130003104
風險,215537.846746947849169
起點值,0.078210733082628
找到最佳解世代,1706
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),HD[9](8),INTC[11](3),KO[14](12),TRV[22](2),UNH[23](4),
Stock#,AAPL[0](1),HD[9](8),INTC[11](3),KO[14](12),TRV[22](2),UNH[23](4),
張數,23261,22195,69589,44802,20765,23560,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,15.349999999860302,43.449999999953434,9.449999999953434,31.599999999860302,67.099999999860302,31.600000000093132,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1690624.830000000074506,1664002.599999999860302,1657619.429999999934807,1679210.559999999823049,1668534.849999999627471,1661247.200000000186265,10021243.469999998807907
FS( 3 ),1703418.379999999888241,1670439.150000000139698,1636742.729999999981374,1685034.819999999832362,1670403.699999999720603,1668550.800000000046566,10034593.580000000074506
FS( 4 ),1703185.769999999785796,1690414.649999999906868,1669449.559999999823049,1703851.659999999916181,1675594.949999999720603,1669728.800000000279397,10112229.390000000596046
FS( 5 ),1726911.989999999757856,1696851.199999999953434,1684759.139999999897555,1700267.500000000000000,1679540.299999999813735,1681273.200000000186265,10169607.329999998211861
FS( 6 ),1757849.119999999646097,1695963.399999999906868,1690326.260000000009313,1728044.739999999757856,1710064.849999999627471,1643106.000000000000000,10225358.369999999180436
FS( 7 ),1781110.119999999646097,1702399.949999999953434,1702852.279999999795109,1731180.879999999888241,1727922.749999999767169,1663838.800000000279397,10309308.779999999329448
FS( 8 ),1780877.510000000009313,1715273.050000000046566,1708419.399999999906868,1725356.619999999878928,1708196.000000000000000,1654886.000000000000000,10293012.580000000074506
FS( 9 ),1809255.929999999934807,1722153.500000000000000,1718857.750000000000000,1731628.899999999906868,1721070.299999999813735,1677739.199999999953434,10380709.579999998211861
FS( 10 ),1807627.659999999683350,1729699.800000000046566,1723033.090000000083819,1744173.459999999962747,1744742.399999999674037,1732162.800000000046566,10481443.210000000894070
FS( 11 ),1814373.349999999860302,1721709.599999999860302,1723033.090000000083819,1678762.539999999804422,1752010.149999999906868,1739466.400000000139698,10429359.130000000819564
FS( 12 ),1785762.319999999832362,1696851.199999999953434,1704939.949999999953434,1662185.799999999813735,1744534.750000000000000,1732869.600000000093132,10327147.619999999180436
FS( 13 ),1765060.029999999795109,1719712.050000000046566,1721641.309999999823049,1671146.199999999720603,1740381.750000000000000,1731220.400000000139698,10349165.740000000223517
FS( 14 ),1745520.790000000037253,1725482.749999999767169,1699372.830000000074506,1665769.959999999962747,1739966.449999999953434,1738995.200000000186265,10315111.980000000447035
FS( 15 ),1752964.309999999823049,1728368.100000000093132,1713986.519999999785796,1680106.599999999860302,1732698.699999999720603,1790827.200000000186265,10398955.429999999701977
FS( 16 ),1734820.729999999748543,1797394.550000000046566,1713290.630000000121072,1692203.139999999897555,1730622.199999999953434,1774570.800000000046566,10442906.050000000745058
FS( 17 ),1719235.859999999869615,1813374.949999999953434,1725816.649999999906868,1696683.339999999850988,1732491.050000000046566,1792005.200000000186265,10479611.050000000745058
FS( 18 ),1753429.529999999795109,1819367.599999999860302,1723033.090000000083819,1705643.739999999757856,1741212.349999999627471,1791062.800000000046566,10533753.109999999403954
FS( 19 ),1748777.330000000074506,1820699.300000000046566,1723033.090000000083819,1711468.000000000000000,1741004.699999999953434,1820512.800000000046566,10565499.220000000670552
FS( 20 ),1753662.139999999897555,1820033.449999999953434,1704939.949999999953434,1707883.839999999850988,1727299.800000000046566,1816507.599999999860302,10530330.779999999329448
FS( 21 ),1765292.639999999897555,1839343.100000000093132,1712594.739999999990687,1716396.219999999972060,1746611.249999999767169,1840774.399999999906868,10621016.349999999627471
FS( 22 ),1769014.399999999906868,1840230.899999999906868,1704939.949999999953434,1718188.299999999813735,1752010.149999999906868,1837476.000000000000000,10621863.699999999254942
FS( 23 ),1763664.369999999646097,1829133.399999999906868,1713986.519999999785796,1723564.539999999804422,1752633.100000000093132,1829230.000000000000000,10612215.929999999701977
FS( 24 ),1762733.929999999934807,1832240.699999999953434,1714682.409999999916181,1727148.699999999720603,1742873.550000000046566,1823575.600000000325963,10603258.890000000596046
FS( 25 ),1764362.199999999720603,1824028.550000000046566,1728600.209999999962747,1731628.899999999906868,1739758.799999999813735,1834884.399999999906868,10623267.060000000521541
FS( 26 ),1781342.729999999748543,1804275.000000000000000,1720945.419999999925494,1738349.199999999720603,1735605.799999999813735,1832528.400000000139698,10613050.549999998882413
FS( 27 ),1783203.609999999869615,1788072.649999999906868,1723033.090000000083819,1723564.539999999804422,1732491.050000000046566,1828287.599999999860302,10578656.539999999105930
FS( 28 ),1763431.760000000009313,1749009.449999999953434,1709811.179999999934807,1701163.539999999804422,1715048.449999999953434,1814387.200000000186265,10452855.579999998211861
FS( 29 ),1743659.909999999683350,1761882.549999999813735,1704939.949999999953434,1710123.939999999944121,1716501.999999999767169,1783523.600000000093132,10420635.949999999254942
FS( 30 ),1750405.599999999860302,1766321.549999999813735,1718857.750000000000000,1714604.139999999897555,1734775.199999999953434,1808497.200000000186265,10493465.439999997615814
FS( 31 ),1765757.859999999869615,1771648.349999999860302,1727208.429999999934807,1720428.399999999906868,1743288.849999999860302,1837711.600000000093132,10566047.489999998360872
FS( 32 ),1765292.639999999897555,1770094.699999999953434,1741126.229999999981374,1708779.879999999888241,1727715.099999999860302,1883889.199999999953434,10596901.750000000000000
FS( 33 ),1756918.679999999934807,1777641.000000000000000,1769657.719999999972060,1722668.500000000000000,1728338.050000000046566,1920878.400000000139698,10676106.349999999627471
FS( 34 ),1770642.669999999925494,1784965.350000000093132,1751564.580000000074506,1722220.479999999748543,1739758.799999999813735,1916402.000000000232831,10685557.879999998956919
FS( 35 ),1791810.179999999934807,1768097.149999999906868,1748085.130000000121072,1720428.399999999906868,1741419.999999999767169,1914988.400000000139698,10684833.259999999776483
FS( 36 ),1811116.809999999823049,1763880.099999999860302,1771745.389999999897555,1730284.839999999850988,1744950.049999999813735,1910747.599999999860302,10732728.789999999105930
FS( 37 ),1793671.059999999823049,1750563.100000000093132,1766178.269999999785796,1729836.819999999832362,1732491.050000000046566,1921114.000000000232831,10693858.300000000745058
FS( 38 ),1785994.929999999934807,1746346.050000000046566,1761307.039999999804422,1739245.239999999757856,1733736.949999999720603,1908862.800000000046566,10675497.009999999776483
FS( 39 ),1783901.439999999711290,1747233.849999999860302,1782879.630000000121072,1745069.500000000000000,1744119.449999999720603,1922998.800000000279397,10726206.669999999925494
FS( 40 ),1783668.830000000074506,1756333.799999999813735,1796101.539999999804422,1732076.919999999692664,1767168.599999999627471,1931716.000000000000000,10767069.689999999478459
FS( 41 ),1799951.529999999795109,1761882.549999999813735,1808627.559999999823049,1720876.419999999692664,1752425.449999999953434,1928182.000000000232831,10771949.509999999776483
FS( 42 ),1802975.459999999962747,1774533.699999999953434,1801668.659999999916181,1717292.259999999776483,1757824.350000000093132,1922763.200000000186265,10777061.629999998956919
FS( 43 ),1790414.519999999785796,1762326.450000000186265,1837854.939999999944121,1705643.739999999757856,1764676.800000000046566,1937841.600000000093132,10798762.050000000745058
FS( 44 ),1767153.519999999785796,1747233.849999999860302,1820457.689999999944121,1712364.039999999804422,1769245.099999999860302,1920878.400000000139698,10737336.599999999627471
FS( 45 ),1739472.929999999934807,1711943.799999999813735,1843422.059999999823049,1730284.839999999850988,1765092.099999999860302,1910276.400000000139698,10700496.129999998956919
FS( 46 ),1739472.929999999934807,1711499.899999999906868,1872649.439999999944121,1742829.399999999906868,1759485.550000000046566,1900381.199999999953434,10726322.419999999925494
FS( 47 ),1762268.709999999962747,1725926.650000000139698,1877520.669999999925494,1746861.579999999841675,1782119.399999999674037,1917580.000000000000000,10812281.009999999776483
FS( 48 ),1739472.929999999934807,1704175.550000000046566,1839246.719999999972060,1742381.379999999888241,1764884.449999999720603,1884596.000000000000000,10674761.029999999329448
FS( 49 ),1726679.379999999888241,1680204.949999999953434,1821849.469999999972060,1730732.859999999869615,1771321.599999999860302,1860093.600000000093132,10590885.859999999403954
FS( 50 ),1733657.679999999934807,1686197.599999999860302,1848293.289999999804422,1735213.059999999823049,1775474.599999999860302,1865512.400000000139698,10644352.629999998956919
FS( 51 ),1721096.739999999757856,1684422.000000000000000,1862906.979999999981374,1800175.959999999962747,1783572.949999999953434,1873287.200000000186265,10725465.829999998211861
FS( 52 ),1724585.889999999897555,1699736.549999999813735,1874041.219999999972060,1818544.780000000027940,1802053.799999999813735,1842188.000000000000000,10761154.239999998360872
FS( 53 ),1744357.739999999757856,1711056.000000000000000,1881696.010000000009313,1824369.039999999804422,1799977.300000000046566,1785408.400000000139698,10746868.490000000223517
FS( 54 ),1765060.029999999795109,1730365.649999999906868,1875433.000000000000000,1825713.099999999860302,1794163.100000000093132,1765853.600000000093132,10756592.479999998584390
FS( 55 ),1766920.909999999683350,1768319.100000000093132,1867778.209999999962747,1823921.019999999785796,1804337.949999999953434,1784937.200000000186265,10816218.390000000596046
FS( 56 ),1743659.909999999683350,1742794.849999999860302,1861515.199999999953434,1824817.059999999823049,1830086.549999999813735,1774806.400000000139698,10777683.970000000670552
FS( 57 ),1886715.059999999823049,1770538.599999999860302,1861515.199999999953434,1823473.000000000000000,1839638.449999999953434,1804492.000000000232831,10986376.309999998658895
FS( 58 ),1900671.659999999683350,1761882.549999999813735,1827416.590000000083819,1837361.619999999878928,1833824.250000000000000,1782581.199999999953434,10943741.869999999180436
FS( 59 ),1974176.419999999925494,1779416.600000000093132,1832287.819999999832362,1838257.659999999916181,1861441.699999999953434,1784466.000000000000000,11070050.199999999254942
FS( 60 ),1968361.169999999925494,1764989.849999999860302,1842726.169999999925494,1817648.739999999757856,1887605.600000000093132,1771743.600000000093132,11053079.129999998956919
FS( 61 ),1960917.649999999906868,1764767.900000000139698,1857339.860000000102445,1827505.179999999934807,1880960.799999999813735,1767974.000000000232831,11059469.390000000596046
FS( 62 ),1965569.849999999860302,1760772.799999999813735,1840638.500000000000000,1827057.159999999916181,1886152.049999999813735,1765853.600000000093132,11046047.959999999031425
