代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12658020.769999999552965
真實報酬,2658020.769999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12414.920348146615652
風險,264432.063457649375778
起點值,0.046949375903255
找到最佳解世代,2175
找到最佳解實驗#,1
找到最佳解次數,26

stock[index](rank)
投資組合檔數,7
AAPL[0](7),CSCO[4](5),INTC[11](17),MRK[17](8),MSFT[18](1),NKE[19](4),UNH[23](3),
Stock#,AAPL[0](7),CSCO[4](5),INTC[11](17),MRK[17](8),MSFT[18](1),NKE[19](4),UNH[23](3),
張數,8559,41264,30583,25814,17174,25941,6817,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,159.490000000223517,11.320000000065193,39.070000000065193,24.239999999990687,37.679999999934807,0.129999999888241,204.989999999990687,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1439012.980000000447035,1411652.760000000009313,1440498.370000000111759,1429345.419999999925494,1443512.379999999888241,1429868.049999999813735,1439273.689999999944121,10033166.650000000372529
FS( 3 ),1476586.990000000223517,1422381.399999999906868,1417255.290000000270084,1447157.080000000074506,1445058.040000000037253,1445173.239999999990687,1451339.780000000027940,10104954.820000000298023
FS( 4 ),1491565.240000000223517,1419905.559999999823049,1428265.170000000158325,1442510.560000000055879,1450725.459999999962747,1453733.769999999785796,1446227.030000000027940,10132935.789999999105930
FS( 5 ),1496358.280000000260770,1419492.919999999925494,1430711.810000000055879,1435024.500000000000000,1447290.659999999916181,1430646.279999999795109,1450180.889999999897555,10109708.339999999850988
FS( 6 ),1508597.650000000372529,1423619.320000000065193,1428265.170000000158325,1460580.359999999869615,1452271.119999999878928,1446470.289999999804422,1437024.080000000074506,10156830.990000000223517
FS( 7 ),1505516.410000000149012,1405050.520000000018626,1416031.969999999972060,1451029.179999999934807,1444199.340000000083819,1456068.459999999962747,1442409.510000000009313,10120308.389999998733401
FS( 8 ),1495160.020000000018626,1402574.680000000167638,1394012.209999999962747,1432184.959999999962747,1440421.060000000055879,1455030.820000000065193,1439069.179999999934807,10058455.929999999701977
FS( 9 ),1489168.720000000204891,1400924.120000000111759,1399211.320000000065193,1422375.640000000130385,1441451.500000000000000,1450361.439999999711290,1449908.209999999962747,10053403.949999999254942
FS( 10 ),1466658.550000000279397,1404637.880000000121072,1402575.449999999953434,1419536.100000000093132,1443512.379999999888241,1452177.309999999823049,1443432.060000000055879,10032532.730000000447035
FS( 11 ),1447315.210000000428408,1407526.360000000102445,1390342.250000000000000,1414631.439999999944121,1425136.199999999953434,1469038.959999999962747,1430820.610000000102445,9984814.029999999329448
FS( 12 ),1464604.390000000130385,1480563.640000000130385,1396153.020000000018626,1424182.620000000111759,1428914.479999999981374,1484603.559999999823049,1439478.199999999953434,10118502.910000000149012
FS( 13 ),1456473.340000000316650,1481388.919999999925494,1364958.360000000102445,1424957.040000000037253,1415175.280000000027940,1535447.919999999925494,1431093.290000000037253,10109497.149999998509884
FS( 14 ),1455018.310000000055879,1506147.320000000065193,1364652.530000000027940,1396561.640000000130385,1417407.899999999906868,1537004.379999999888241,1433479.239999999990687,10110274.320000002160668
FS( 15 ),1482064.750000000000000,1512336.919999999925494,1374439.090000000083819,1400950.020000000018626,1437844.959999999962747,1540636.119999999878928,1449499.189999999944121,10197774.049999998882413
FS( 16 ),1497642.130000000353903,1504084.120000000111759,1365570.020000000018626,1403531.419999999925494,1427368.819999999832362,1532335.000000000000000,1440091.729999999981374,10170626.240000000223517
FS( 17 ),1497727.720000000204891,1505734.680000000167638,1368628.320000000065193,1403015.140000000130385,1429944.919999999925494,1538820.250000000000000,1448885.659999999916181,10192759.690000001341105
FS( 18 ),1490195.800000000279397,1521415.000000000000000,1360676.740000000223517,1408177.939999999944121,1440421.060000000055879,1546861.959999999962747,1448135.790000000037253,10215887.289999999105930
FS( 19 ),1481465.620000000111759,1556902.040000000037253,1368016.659999999916181,1417987.260000000009313,1457766.799999999813735,1545564.909999999916181,1473631.369999999878928,10301337.659999998286366
FS( 20 ),1450738.810000000055879,1546586.040000000037253,1344161.920000000158325,1429087.280000000027940,1431318.840000000083819,1565798.889999999897555,1519577.949999999953434,10287272.730000000447035
FS( 21 ),1471023.640000000130385,1539158.520000000018626,1371380.790000000270084,1426764.020000000018626,1445573.260000000009313,1567355.349999999860302,1555639.879999999888241,10376898.460000000894070
FS( 22 ),1464176.440000000409782,1551537.720000000204891,1366487.510000000009313,1442252.419999999925494,1447118.919999999925494,1553347.209999999962747,1546164.250000000000000,10371087.470000000670552
FS( 23 ),1453477.690000000409782,1556489.399999999906868,1360676.740000000223517,1451287.320000000065193,1392505.599999999860302,1559054.229999999981374,1509625.129999999888241,10283119.109999999403954
FS( 24 ),1452108.250000000000000,1539571.160000000149012,1328564.590000000083819,1439671.020000000018626,1401264.340000000083819,1567355.349999999860302,1500558.520000000018626,10229096.229999998584390
FS( 25 ),1446716.080000000074506,1543697.559999999823049,1328870.420000000158325,1403015.140000000130385,1421701.399999999906868,1549196.649999999906868,1499535.969999999972060,10192736.220000000670552
FS( 26 ),1449369.370000000111759,1543284.919999999925494,1317554.709999999962747,1413857.020000000018626,1416720.939999999944121,1572024.729999999981374,1500967.540000000037253,10213782.230000000447035
FS( 27 ),1449797.320000000298023,1551950.360000000102445,1325812.120000000111759,1434508.219999999972060,1445401.519999999785796,1590183.429999999701977,1526599.459999999962747,10324255.429999999701977
FS( 28 ),1478042.020000000018626,1566392.760000000009313,1335292.849999999860302,1454385.000000000000000,1463777.699999999953434,1606007.439999999711290,1518828.080000000074506,10422728.849999999627471
FS( 29 ),1469739.790000000037253,1564329.559999999823049,1325200.459999999962747,1473229.219999999972060,1469788.599999999860302,1612752.099999999860302,1516919.320000000065193,10431962.049999998882413
