代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,17253540.789999999105930
真實報酬,7253540.789999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,31576.309351128951675
風險,437785.622667041490786
起點值,0.072127332914138
找到最佳解世代,2450
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,2
UNH[23](1),WBA[27](4),
Stock#,UNH[23](1),WBA[27](4),
張數,179533,188253,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,5.950000000186265,0.320000000298023,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5080789.850000000558794,4962349.400000000372529,10043139.250000000000000
FS( 3 ),5186714.320000000298023,5011295.180000000633299,10198009.500000000000000
FS( 4 ),5242369.549999999813735,5111069.270000000484288,10353438.820000000298023
FS( 5 ),5328545.390000000596046,5293674.680000000633299,10622220.070000000298023
FS( 6 ),5380609.959999999962747,5346385.520000000484288,10726995.480000000447035
FS( 7 ),5393177.270000000484288,5297439.740000000223517,10690617.010000001639128
FS( 8 ),5411130.570000000298023,5480045.150000000372529,10891175.720000000670552
FS( 9 ),5443446.509999999776483,5576054.180000000633299,11019500.690000001341105
FS( 10 ),5543984.990000000223517,5594879.480000000447035,11138864.470000000670552
FS( 11 ),5447037.169999999925494,5498870.450000000186265,10945907.620000001043081
FS( 12 ),5533213.009999999776483,5502635.510000000707805,11035848.519999999552965
FS( 13 ),5535008.339999999850988,5557228.879999999888241,11092237.219999998807907
FS( 14 ),5511669.049999999813735,5432981.900000000372529,10944650.949999999254942
FS( 15 ),5565528.950000000186265,5536521.050000000745058,11102050.000000000000000
FS( 16 ),5551166.310000000521541,5673945.740000000223517,11225112.050000000745058
FS( 17 ),5649909.459999999962747,5624999.959999999962747,11274909.419999999925494
FS( 18 ),5526031.690000000409782,5476280.089999999850988,11002311.780000001192093
FS( 19 ),5445241.839999999850988,5444277.080000001005828,10889518.920000001788139
FS( 20 ),5464990.470000000670552,5331325.280000000260770,10796315.750000000000000
FS( 21 ),5466785.799999999813735,5374623.470000000670552,10841409.269999999552965
FS( 22 ),5644523.470000000670552,5483810.209999999962747,11128333.679999999701977
FS( 23 ),5820465.810000000521541,5425451.780000000260770,11245917.589999999850988
FS( 24 ),5908436.979999999515712,5365210.820000000298023,11273647.800000000745058
FS( 25 ),5999998.810000000521541,5306852.390000000596046,11306851.200000001117587
FS( 26 ),6005384.800000000745058,5271084.320000000298023,11276469.120000001043081
FS( 27 ),6012566.120000000111759,5336972.870000000111759,11349538.990000000223517
FS( 28 ),5983840.839999999850988,5312499.980000000447035,11296340.820000000298023
FS( 29 ),5743266.620000000111759,5220256.010000000707805,10963522.630000000819564
FS( 30 ),5768401.240000000223517,5276731.910000000149012,11045133.150000000372529
FS( 31 ),5750447.940000000409782,5303087.330000001005828,11053535.270000001415610
FS( 32 ),5727108.650000000372529,5306852.390000000596046,11033961.040000000968575
FS( 33 ),5807898.500000000000000,5312499.980000000447035,11120398.480000000447035
FS( 34 ),5842009.770000000484288,5310617.450000000186265,11152627.220000000670552
FS( 35 ),5707360.020000000484288,5301204.800000000745058,11008564.820000000298023
FS( 36 ),5675044.080000000074506,5355798.169999999925494,11030842.250000000000000
FS( 37 ),5655295.450000000186265,5361445.760000000707805,11016741.210000000894070
FS( 38 ),5572710.270000000484288,5261671.669999999925494,10834381.940000001341105
FS( 39 ),5737880.629999999888241,5176957.820000000298023,10914838.449999999254942
FS( 40 ),5718132.000000000000000,5109186.740000000223517,10827318.740000000223517
FS( 41 ),5811489.160000000149012,5143072.280000000260770,10954561.440000001341105
FS( 42 ),5728903.980000000447035,5118599.390000000596046,10847503.370000001043081
FS( 43 ),5694792.709999999962747,5060240.959999999962747,10755033.669999999925494
FS( 44 ),5850986.420000000856817,5212725.890000000596046,11063712.310000002384186
FS( 45 ),5899460.330000000074506,5327560.220000000670552,11227020.550000000745058
FS( 46 ),6087969.979999999515712,5327560.220000000670552,11415530.199999999254942
FS( 47 ),6064630.690000000409782,5363328.290000000037253,11427958.980000000447035
FS( 48 ),6077198.000000000000000,5397213.830000001005828,11474411.830000001937151
FS( 49 ),6107718.610000000335276,5406626.480000000447035,11514345.089999999850988
FS( 50 ),6192099.120000000111759,5451807.200000000186265,11643906.320000000298023
FS( 51 ),6233391.709999999962747,5470632.500000000000000,11704024.210000000894070
FS( 52 ),6213643.080000000074506,5500752.980000000447035,11714396.060000000521541
FS( 53 ),6152601.860000000335276,5498870.450000000186265,11651472.310000000521541
FS( 54 ),6147215.870000000111759,5481927.680000000633299,11629143.550000000745058
FS( 55 ),6127467.240000000223517,5498870.450000000186265,11626337.690000001341105
FS( 56 ),6271093.640000000596046,5504518.040000000037253,11775611.679999999701977
FS( 57 ),6330339.530000000260770,5594879.480000000447035,11925219.010000001639128
FS( 58 ),6405743.390000000596046,5608057.190000000409782,12013800.580000001937151
FS( 59 ),6362655.469999999739230,5555346.350000000558794,11918001.820000000298023
FS( 60 ),6414720.040000000037253,5715361.400000000372529,12130081.440000001341105
FS( 61 ),6346497.500000000000000,5713478.870000000111759,12059976.370000001043081
FS( 62 ),6290842.270000000484288,6364834.250000000931323,12655676.520000001415610
FS( 63 ),6319567.550000000745058,6330948.710000000894070,12650516.260000001639128
FS( 64 ),6303409.580000000074506,6306475.820000000298023,12609885.400000000372529
FS( 65 ),6360860.140000000596046,6340361.360000000335276,12701221.500000000000000
FS( 66 ),6201075.770000000484288,6233057.150000000372529,12434132.920000001788139
FS( 67 ),6296228.259999999776483,6396837.259999999776483,12693065.519999999552965
FS( 68 ),6113104.599999999627471,6406249.910000000149012,12519354.509999999776483
FS( 69 ),6165169.170000000856817,6376129.429999999701977,12541298.600000001490116
FS( 70 ),6166964.500000000000000,6396837.259999999776483,12563801.759999999776483
FS( 71 ),6220824.400000000372529,6353539.070000000298023,12574363.470000000670552
FS( 72 ),6287251.610000000335276,6408132.440000000409782,12695384.050000000745058
FS( 73 ),6341111.509999999776483,6551204.719999999739230,12892316.230000000447035
FS( 74 ),6423696.690000000409782,6492846.290000000968575,12916542.980000000447035
FS( 75 ),6459603.290000000037253,6509789.059999999590218,12969392.349999999627471
FS( 76 ),6508077.200000000186265,6477786.049999999813735,12985863.250000000000000
