代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10339475.559999998658895
真實報酬,339475.559999998658895

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17285.857100573877688
風險,43643.106336273558554
起點值,0.396073023936128
找到最佳解世代,2231
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
GS[8](4),JNJ[12](1),KO[14](9),MCD[15](7),MSFT[18](5),NKE[19](8),PFE[20](6),PG[21](2),
Stock#,GS[8](4),JNJ[12](1),KO[14](9),MCD[15](7),MSFT[18](5),NKE[19](8),PFE[20](6),PG[21](2),
張數,6953,12093,30019,13469,27722,31533,42720,15063,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,59.189999999944121,67.520000000018626,8.840000000083819,76.800000000046566,15.020000000018626,31.879999999888241,12.800000000046566,72.260000000009313,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1248817.989999999990687,1254837.200000000186265,1254202.660000000149012,1254579.459999999962747,1246396.140000000130385,1242747.409999999683350,1255980.800000000046566,1248794.960000000195578,10006356.620000002905726
FS( 3 ),1252155.429999999934807,1255804.640000000130385,1256904.370000000111759,1252828.490000000223517,1254712.739999999990687,1260090.559999999823049,1254699.200000000186265,1260845.360000000102445,10048040.789999999105930
FS( 4 ),1249860.939999999944121,1262818.580000000074506,1256003.800000000279397,1253636.629999999888241,1272732.040000000037253,1293515.540000000037253,1266660.800000000046566,1261899.770000000018626,10117128.099999999627471
FS( 5 ),1252364.020000000018626,1258344.169999999925494,1254202.660000000149012,1245959.300000000046566,1288256.360000000102445,1299191.479999999981374,1255980.800000000046566,1255121.419999999925494,10109420.210000000894070
FS( 6 ),1233521.389999999897555,1255320.919999999925494,1259005.699999999953434,1226968.010000000009313,1296295.739999999990687,1290362.239999999990687,1248718.400000000139698,1250150.629999999888241,10060343.030000001192093
FS( 7 ),1250695.300000000046566,1269711.589999999850988,1265910.070000000065193,1252693.800000000046566,1298513.500000000000000,1300452.800000000046566,1257689.600000000093132,1259941.580000000074506,10155608.240000000223517
FS( 8 ),1258552.189999999944121,1264390.669999999925494,1259305.890000000130385,1252155.040000000037253,1302949.020000000018626,1290046.909999999683350,1265806.399999999906868,1257682.129999999888241,10150888.250000000000000
FS( 9 ),1273640.199999999953434,1264753.459999999962747,1244596.580000000074506,1257273.260000000009313,1294632.420000000158325,1290362.239999999990687,1257262.400000000139698,1254217.640000000130385,10136738.200000001117587
FS( 10 ),1279272.129999999888241,1266446.479999999981374,1245797.340000000083819,1259024.229999999981374,1281880.300000000046566,1286893.609999999869615,1278195.200000000186265,1263406.070000000065193,10160915.359999999403954
FS( 11 ),1279689.309999999823049,1280474.359999999869615,1250000.000000000000000,1262795.550000000046566,1296295.739999999990687,1280271.679999999934807,1283748.800000000046566,1266569.300000000046566,10199844.740000000223517
FS( 12 ),1285112.649999999906868,1284223.189999999944121,1249099.430000000167638,1259832.370000000111759,1289642.460000000195578,1285316.959999999729916,1296564.800000000046566,1267774.339999999850988,10217566.200000001117587
FS( 13 ),1306458.359999999869615,1298251.070000000065193,1254502.850000000093132,1259158.920000000158325,1294077.979999999981374,1292569.550000000046566,1306390.399999999906868,1268226.229999999981374,10279635.359999999403954
FS( 14 ),1294707.789999999804422,1305990.589999999850988,1262307.790000000037253,1271011.640000000130385,1317364.460000000195578,1290046.909999999683350,1298700.800000000046566,1272443.869999999878928,10312573.849999999627471
FS( 15 ),1288380.559999999823049,1304660.359999999869615,1267411.020000000018626,1265219.970000000204891,1304612.340000000083819,1272388.429999999934807,1289302.400000000139698,1277565.290000000037253,10269540.370000001043081
FS( 16 ),1286989.959999999962747,1299581.300000000046566,1257504.750000000000000,1259562.990000000223517,1290751.340000000083819,1263243.859999999869615,1283748.800000000046566,1271991.979999999981374,10213374.980000000447035
FS( 17 ),1305902.119999999878928,1313851.040000000037253,1268911.970000000204891,1279631.800000000046566,1305166.780000000027940,1274595.739999999990687,1294856.000000000000000,1284042.379999999888241,10326957.830000001937151
FS( 18 ),1280036.959999999962747,1295227.820000000065193,1254202.660000000149012,1268317.840000000083819,1276335.899999999906868,1257567.919999999925494,1280758.400000000139698,1270335.050000000046566,10182782.550000000745058
FS( 19 ),1287198.550000000046566,1295227.820000000065193,1266810.640000000130385,1275591.100000000093132,1286593.040000000037253,1411133.629999999888241,1269651.199999999953434,1274100.800000000046566,10366306.780000001192093
FS( 20 ),1278229.179999999934807,1288455.739999999990687,1268311.590000000083819,1296063.979999999981374,1287424.699999999953434,1405142.359999999869615,1271787.199999999953434,1271991.979999999981374,10367406.730000000447035
FS( 21 ),1276421.399999999906868,1289060.390000000130385,1280619.379999999888241,1277072.690000000176951,1285206.939999999944121,1406403.679999999934807,1263243.199999999953434,1261447.879999999888241,10339475.559999998658895
