代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11325357.919999998062849
真實報酬,1325357.919999998062849

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,25529.796878983874194
風險,104114.373643504470238
起點值,0.245209148223855
找到最佳解世代,2667
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
GS[8](3),HD[9](1),PFE[20](9),TRV[22](4),UNH[23](5),
Stock#,GS[8](3),HD[9](1),PFE[20](9),TRV[22](4),UNH[23](5),
張數,19982,38699,83542,31570,39054,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,1.619999999878928,35.679999999934807,4.519999999785796,40.500000000000000,44.659999999916181,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1954441.040000000037253,1988777.290000000037253,1998329.159999999916181,1984846.399999999906868,1995704.060000000055879,9922097.950000001117587
FS( 3 ),2017783.979999999981374,2023606.389999999897555,2028404.279999999795109,2011365.199999999953434,2015621.599999999860302,10096781.450000001117587
FS( 4 ),2038565.259999999776483,2012383.679999999934807,2026733.439999999944121,2005366.900000000139698,1991798.659999999916181,10074847.939999999478459
FS( 5 ),2062943.299999999813735,2027863.279999999795109,1983291.599999999627471,2000631.399999999906868,2051941.819999999832362,10126671.400000000372529
FS( 6 ),2048156.619999999878928,2042955.889999999897555,1990810.379999999655411,2014522.200000000186265,2059362.079999999841675,10155807.169999999925494
FS( 7 ),2070136.819999999832362,2056887.529999999795109,1994152.059999999823049,2017047.800000000046566,2031633.739999999990687,10169857.949999999254942
FS( 8 ),2058547.259999999776483,2053404.620000000111759,2000000.000000000000000,2019889.099999999860302,2026947.259999999776483,10158788.239999998360872
FS( 9 ),2070336.639999999897555,2044116.859999999869615,1981620.759999999776483,2011996.599999999860302,2026947.259999999776483,10135018.119999999180436
FS( 10 ),2063342.939999999944121,2117257.969999999739230,2003341.679999999934807,2005998.300000000046566,2029681.039999999804422,10219621.929999999701977
FS( 11 ),2060745.279999999795109,2128480.679999999701977,2008354.199999999720603,2012628.000000000000000,2062876.939999999944121,10273085.099999999627471
FS( 12 ),2067938.799999999813735,2179176.370000000111759,2006683.359999999636784,2021467.600000000093132,2085137.719999999972060,10360403.849999999627471
FS( 13 ),2070136.819999999832362,2195429.950000000186265,1987468.699999999720603,2056194.599999999860302,2074983.679999999934807,10384213.749999998137355
FS( 14 ),2103706.580000000074506,2189238.110000000335276,1997493.739999999757856,2072295.300000000046566,2077717.459999999962747,10440451.189999999478459
