代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11120923.050000000745058
真實報酬,1120923.050000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18533.395886646983854
風險,58962.630062669457402
起點值,0.314324443583138
找到最佳解世代,3195
找到最佳解實驗#,6
找到最佳解次數,5

stock[index](rank)
投資組合檔數,4
CSCO[4](4),JNJ[12](2),MCD[15](1),TRV[22](3),
Stock#,CSCO[4](4),JNJ[12](2),MCD[15](1),TRV[22](3),
張數,115901,27304,26505,30055,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,15.430000000167638,45.759999999776483,48.400000000372529,25.099999999627471,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2528975.250000000000000,2548601.119999999646097,2517493.300000000279397,2527951.149999999441206,10123020.820000000298023
FS( 3 ),2534770.300000000279397,2528123.119999999646097,2518553.500000000465661,2535765.449999999720603,10117212.369999999180436
FS( 4 ),2528975.250000000000000,2536314.319999999832362,2533396.300000000279397,2536667.099999999627471,10135352.970000000670552
FS( 5 ),2518544.160000000149012,2548055.039999999571592,2531275.900000000372529,2522541.250000000000000,10120416.349999999627471
FS( 6 ),2513908.120000000111759,2551604.560000000055879,2523324.400000000372529,2518032.999999999534339,10106870.080000000074506
FS( 7 ),2504636.040000000037253,2552696.719999999739230,2618212.300000000279397,2512021.999999999534339,10187567.060000000521541
FS( 8 ),2528975.250000000000000,2555700.159999999683350,2616356.950000000186265,2507513.750000000000000,10208546.109999999403954
FS( 9 ),2494204.950000000186265,2539317.759999999776483,2580840.250000000465661,2482267.549999999813735,10096630.510000001639128
FS( 10 ),2474501.780000000260770,2534130.000000000000000,2586406.300000000279397,2484371.399999999441206,10079409.480000000447035
FS( 11 ),2493045.940000000409782,2564710.479999999981374,2586936.400000000372529,2510819.799999999813735,10155512.620000001043081
FS( 12 ),2506954.060000000055879,2564983.519999999552965,2579249.950000000651926,2523142.349999999627471,10174329.880000000819564
FS( 13 ),2506954.060000000055879,2555427.119999999646097,2547178.900000000372529,2500601.099999999627471,10110161.179999999701977
FS( 14 ),2530134.259999999776483,2569898.239999999757856,2560431.400000000372529,2501502.749999999534339,10161966.650000000372529
FS( 15 ),2508113.070000000298023,2619318.479999999981374,2530480.750000000465661,2518032.999999999534339,10175945.300000000745058
