代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10923443.289999999105930
真實報酬,923443.289999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13489.067234826241474
風險,52832.337314171272737
起點值,0.255318388709788
找到最佳解世代,1953
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,7
AAPL[0](14),CAT[3](2),HD[9](3),MCD[15](7),PFE[20](4),V[25](1),VZ[26](24),
Stock#,AAPL[0](14),CAT[3](2),HD[9](3),MCD[15](7),PFE[20](4),V[25](1),VZ[26](24),
張數,9520,12631,9533,9274,43185,14162,29220,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,95.000000000000000,4.900000000139698,50.949999999953434,4.040000000037253,11.200000000186265,50.059999999823049,5.199999999953434,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1496067.799999999813735,1428444.690000000176951,1434767.449999999953434,1452219.699999999953434,1421661.400000000372529,1434377.419999999925494,1408701.399999999906868,10076242.860000001266599
FS( 3 ),1481121.399999999906868,1434381.260000000242144,1437532.019999999785796,1434877.320000000065193,1443685.750000000232831,1424605.639999999897555,1420389.399999999906868,10076595.790000000968575
FS( 4 ),1488927.799999999813735,1444359.750000000000000,1456216.699999999953434,1426530.719999999972060,1452754.600000000325963,1428854.239999999757856,1429155.399999999906868,10126802.210000000894070
FS( 5 ),1511966.199999999953434,1448906.910000000149012,1461936.500000000000000,1437195.820000000065193,1438503.550000000279397,1437351.439999999711290,1427694.399999999906868,10163557.820000000298023
FS( 6 ),1524056.600000000093132,1445117.610000000102445,1461936.500000000000000,1436732.119999999878928,1437208.000000000232831,1434377.419999999925494,1420097.199999999953434,10159528.449999999254942
FS( 7 ),1533386.199999999953434,1444233.440000000176951,1480144.529999999795109,1436732.119999999878928,1444549.450000000419095,1429987.199999999720603,1408993.599999999860302,10178029.539999999105930
FS( 8 ),1478741.399999999906868,1429202.550000000279397,1466988.989999999990687,1452497.920000000158325,1443253.900000000372529,1409027.439999999711290,1403149.600000000093132,10082864.800000000745058
FS( 9 ),1499304.599999999860302,1425413.250000000000000,1476521.989999999990687,1458804.240000000223517,1435912.450000000186265,1417524.639999999897555,1404318.399999999906868,10117802.570000000298023
FS( 10 ),1521867.000000000000000,1436275.910000000149012,1470611.529999999795109,1458433.280000000027940,1438503.550000000279397,1442733.000000000000000,1425356.800000000046566,10193784.070000000298023
FS( 11 ),1538527.000000000000000,1435518.050000000279397,1431621.559999999823049,1461771.920000000158325,1441526.500000000232831,1453496.119999999646097,1416590.799999999813735,10179054.949999999254942
FS( 12 ),1532339.000000000000000,1441454.620000000111759,1451450.199999999953434,1473642.640000000130385,1440662.800000000046566,1463267.899999999674037,1414545.399999999906868,10217365.560000000521541
FS( 13 ),1502922.200000000186265,1429076.240000000223517,1426855.059999999823049,1464275.899999999906868,1422956.950000000419095,1446839.979999999748543,1399351.000000000000000,10092280.330000000074506
FS( 14 ),1499495.000000000000000,1438928.420000000158325,1406073.120000000111759,1463070.280000000027940,1410865.150000000372529,1451796.679999999934807,1393507.000000000000000,10063738.650000000372529
FS( 15 ),1496734.200000000186265,1434886.500000000000000,1422374.549999999813735,1468634.680000000167638,1414751.800000000046566,1461851.699999999720603,1406656.000000000000000,10105892.429999999701977
FS( 16 ),1521200.600000000093132,1462927.320000000065193,1429142.979999999981374,1480505.399999999906868,1431593.950000000186265,1473889.399999999674037,1412792.199999999953434,10212054.849999999627471
FS( 17 ),1523104.599999999860302,1449412.150000000139698,1421421.250000000000000,1472807.979999999981374,1435480.600000000325963,1461285.219999999972060,1410746.800000000046566,10174261.600000001490116
FS( 18 ),1516345.400000000139698,1449791.080000000074506,1413318.199999999953434,1469098.380000000121072,1435048.750000000000000,1461851.699999999720603,1411623.399999999906868,10157079.910000000149012
FS( 19 ),1521962.200000000186265,1456990.750000000000000,1426664.399999999906868,1472900.719999999972060,1441958.350000000325963,1463692.759999999776483,1422434.800000000046566,10206606.980000000447035
FS( 20 ),1537289.399999999906868,1453454.070000000065193,1443251.819999999832362,1480783.619999999878928,1445413.150000000139698,1469782.419999999925494,1420389.399999999906868,10250366.880000000819564
FS( 21 ),1550998.199999999953434,1465327.210000000195578,1428475.669999999925494,1478094.159999999916181,1446708.700000000186265,1469640.799999999813735,1417467.399999999906868,10256715.140000000596046
FS( 22 ),1555187.000000000000000,1484778.950000000186265,1430000.949999999953434,1479485.260000000009313,1444549.450000000419095,1469074.319999999832362,1406071.599999999860302,10269150.529999999329448
FS( 23 ),1561375.000000000000000,1484021.090000000083819,1428761.659999999916181,1483565.820000000065193,1464846.400000000372529,1466100.299999999813735,1401688.599999999860302,10290361.869999999180436
FS( 24 ),1561851.000000000000000,1493999.580000000074506,1437436.689999999944121,1482081.979999999981374,1466573.800000000279397,1471481.859999999869615,1400227.600000000093132,10313655.509999999776483
FS( 25 ),1543096.600000000093132,1494252.200000000186265,1457932.640000000130385,1475497.439999999944121,1459664.199999999953434,1458877.679999999934807,1383864.399999999906868,10273188.160000002011657
FS( 26 ),1541478.199999999953434,1477579.280000000260770,1492537.429999999934807,1467336.320000000065193,1467869.350000000325963,1461285.219999999972060,1370715.399999999906868,10278804.200000001117587
FS( 27 ),1535290.199999999953434,1487557.770000000018626,1505597.640000000130385,1482916.640000000130385,1467869.350000000325963,1480828.779999999795109,1349969.199999999953434,10310032.580000000074506
FS( 28 ),1510252.599999999860302,1488189.320000000065193,1522089.729999999981374,1481154.580000000074506,1472619.700000000186265,1478987.719999999972060,1347339.399999999906868,10300636.050000000745058
FS( 29 ),1537575.000000000000000,1501451.870000000111759,1509792.159999999916181,1498033.260000000009313,1482120.400000000139698,1503346.359999999869615,1352891.199999999953434,10385213.250000000000000
FS( 30 ),1531482.200000000186265,1527598.040000000037253,1524472.979999999981374,1449808.460000000195578,1527464.650000000139698,1504196.079999999841675,1367209.000000000000000,10432234.410000000149012
FS( 31 ),1519963.000000000000000,1511051.430000000167638,1525521.610000000102445,1456022.040000000037253,1514077.300000000279397,1498814.519999999785796,1380650.199999999953434,10406103.099999999627471
FS( 32 ),1506920.600000000093132,1521787.780000000260770,1519420.489999999990687,1456022.040000000037253,1543011.250000000000000,1502355.019999999785796,1378604.800000000046566,10428124.980000000447035
FS( 33 ),1522152.599999999860302,1533029.370000000111759,1510078.149999999906868,1455280.119999999878928,1527032.800000000046566,1491308.659999999683350,1398474.399999999906868,10437359.099999999627471
FS( 34 ),1510633.399999999906868,1564101.630000000121072,1504453.679999999934807,1453054.360000000102445,1535237.949999999953434,1484652.519999999785796,1405195.000000000000000,10457331.540000000968575
FS( 35 ),1511204.599999999860302,1575595.840000000083819,1503023.729999999981374,1460009.860000000102445,1530919.450000000419095,1492866.479999999748543,1441720.000000000000000,10515342.960000000894070
FS( 36 ),1485881.399999999906868,1576985.250000000000000,1512747.390000000130385,1482731.159999999916181,1554239.350000000325963,1492866.479999999748543,1445810.799999999813735,10551264.830000001937151
FS( 37 ),1460367.799999999813735,1576227.390000000130385,1517609.219999999972060,1474848.260000000009313,1553375.650000000139698,1491450.279999999795109,1430032.000000000000000,10503913.599999999627471
FS( 38 ),1446087.799999999813735,1571680.230000000214204,1525044.959999999962747,1473735.380000000121072,1552943.800000000279397,1494990.779999999795109,1458083.199999999953434,10522569.149999998509884
