代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12752161.940000001341105
真實報酬,2752161.940000001341105

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13810.656026505130285
風險,268171.285333329404239
起點值,0.051499384094531
找到最佳解世代,1824
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](4),JPM[13](14),NKE[19](3),UNH[23](2),
Stock#,HD[9](4),JPM[13](14),NKE[19](3),UNH[23](2),
張數,27427,41897,63067,28938,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,28.949999999720603,6.009999999776483,24.120000000111759,46.180000000167638,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2441031.949999999720603,2501256.909999999683350,2485494.589999999850988,2511575.200000000186265,9939358.649999998509884
FS( 3 ),2466539.060000000055879,2501675.879999999888241,2520181.439999999944121,2519388.460000000428408,10007784.839999999850988
FS( 4 ),2512616.419999999925494,2510055.279999999795109,2587032.460000000428408,2539355.680000000167638,10149059.839999999850988
FS( 5 ),2490949.089999999385327,2509217.339999999850988,2598384.520000000484288,2543985.760000000242144,10142536.710000000894070
FS( 6 ),2439112.060000000055879,2474442.830000000074506,2580725.760000000242144,2562795.460000000428408,10057076.110000001266599
FS( 7 ),2447888.699999999720603,2481146.349999999627471,2600907.200000000186265,2524886.680000000167638,10054828.929999999701977
FS( 8 ),2447065.889999999664724,2503770.729999999515712,2580095.089999999850988,2519967.220000000204891,10050898.929999999701977
FS( 9 ),2436643.629999999888241,2515082.919999999925494,2580725.760000000242144,2493923.020000000484288,10026375.330000001937151
FS( 10 ),2451454.209999999497086,2511312.189999999478459,2573788.390000000130385,2489582.320000000298023,10026137.109999999403954
FS( 11 ),2475864.239999999757856,2513407.040000000037253,2560544.320000000298023,2522282.260000000242144,10072097.859999999403954
FS( 12 ),2501919.889999999664724,2526814.080000000074506,2570635.040000000037253,2517362.799999999813735,10116731.809999998658895
FS( 13 ),2525781.379999999888241,2569130.049999999813735,2585140.450000000186265,2535883.120000000111759,10215935.000000000000000
FS( 14 ),2532638.129999999888241,2560331.679999999701977,2580095.089999999850988,2540802.580000000074506,10213867.480000000447035
FS( 15 ),2520295.979999999515712,2551952.279999999795109,2544777.570000000298023,2539934.439999999944121,10156960.269999999552965
FS( 16 ),2509325.179999999701977,2553209.189999999478459,2526488.140000000130385,2505787.600000000093132,10094810.109999999403954
FS( 17 ),2551288.489999999757856,2582118.120000000111759,2549192.260000000242144,2552667.160000000149012,10235266.029999999329448
FS( 18 ),2520570.250000000000000,2520110.559999999590218,2515136.080000000074506,2493923.020000000484288,10049739.910000000149012
FS( 19 ),2546351.629999999888241,2537288.330000000074506,2822272.370000000111759,2506076.979999999981374,10411989.310000000521541
FS( 20 ),2547448.709999999497086,2527652.019999999552965,2810289.640000000130385,2503472.560000000521541,10388862.929999999701977
FS( 21 ),2516181.929999999701977,2523881.290000000037253,2812812.320000000298023,2495948.680000000167638,10348824.220000000670552
FS( 22 ),2496434.489999999757856,2504189.699999999720603,2765512.070000000298023,2456303.620000000111759,10222439.879999998956919
FS( 23 ),2529895.429999999701977,2465225.489999999757856,2815965.669999999925494,2456882.380000000353903,10267968.970000000670552
FS( 24 ),2565550.529999999795109,2526395.109999999869615,2847499.169999999925494,2489292.939999999944121,10428737.750000000000000
FS( 25 ),2557870.969999999739230,2521367.469999999739230,2813442.990000000223517,2462380.600000000093132,10355062.029999999329448
FS( 26 ),2536203.639999999664724,2483241.199999999720603,2777494.800000000279397,2436336.399999999906868,10233276.040000000968575
FS( 27 ),2580635.379999999888241,2530584.809999999590218,2801460.260000000242144,2506655.740000000223517,10419336.189999999478459
FS( 28 ),2552659.839999999385327,2475280.769999999552965,2751006.660000000149012,2458039.899999999906868,10236987.169999999925494
FS( 29 ),2538397.799999999813735,2451818.449999999720603,2749745.320000000298023,2471062.000000000000000,10211023.570000000298023
FS( 30 ),2484915.149999999441206,2436735.529999999795109,2692985.020000000484288,2429391.280000000260770,10044026.980000000447035
FS( 31 ),2471201.649999999441206,2429613.040000000037253,2683524.969999999739230,2396691.339999999850988,9981031.000000000000000
FS( 32 ),2409490.899999999441206,2326546.419999999925494,2686047.650000000372529,2377592.260000000242144,9799677.230000000447035
FS( 33 ),2437740.709999999497086,2307692.769999999552965,2744699.960000000428408,2471062.000000000000000,9961195.439999999478459
FS( 34 ),2475041.429999999701977,2354617.409999999683350,2749114.650000000372529,2551799.020000000484288,10130572.510000001639128
FS( 35 ),2519198.899999999441206,2372633.120000000111759,2803352.270000000484288,2562216.700000000186265,10257400.990000000223517
FS( 36 ),2583652.349999999627471,2427099.219999999739230,2858220.560000000055879,2631957.280000000260770,10500929.410000000149012
FS( 37 ),2560065.129999999888241,2406988.659999999683350,2833624.430000000167638,2597810.439999999944121,10398488.659999998286366
FS( 38 ),2600108.549999999813735,2432545.830000000074506,2850021.850000000093132,2623565.260000000242144,10506241.490000000223517
FS( 39 ),2605319.679999999701977,2461035.790000000037253,2866419.270000000484288,2651924.500000000000000,10584699.240000000223517
FS( 40 ),2618484.639999999664724,2456846.089999999850988,2889754.060000000055879,2666104.120000000111759,10631188.910000000149012
