代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12230399.289999999105930
真實報酬,2230399.289999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10191.444955440363628
風險,163868.700846439198358
起點值,0.062192748845862
找到最佳解世代,2123
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
JNJ[12](1),MCD[15](9),MRK[17](19),PG[21](2),WMT[28](18),
Stock#,JNJ[12](1),MCD[15](9),MRK[17](19),PG[21](2),WMT[28](18),
張數,21717,21397,38073,29027,31338,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,81.469999999972060,22.409999999916181,25.310000000055879,39.699999999720603,8.840000000083819,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2027363.419999999925494,2054990.290000000037253,2017132.849999999860302,2026414.569999999832362,2019429.560000000055879,10145330.689999999478459
FS( 3 ),2011944.350000000093132,2054348.380000000121072,2004568.760000000009313,2029897.809999999823049,2032591.520000000018626,10133350.820000000298023
FS( 4 ),1983060.739999999990687,2029527.859999999869615,1964211.380000000121072,1995936.219999999972060,2002193.660000000149012,9974929.859999999403954
FS( 5 ),2040176.449999999953434,2070824.069999999832362,2006091.679999999934807,2031349.159999999916181,2080225.280000000027940,10228666.639999998733401
FS( 6 ),2002823.209999999962747,2041938.120000000111759,1977156.199999999953434,1987808.659999999916181,2040739.400000000139698,10050465.589999999850988
FS( 7 ),2013681.709999999962747,2038086.659999999916181,2007233.870000000111759,1983164.339999999618158,2009401.400000000139698,10051567.980000000447035
FS( 8 ),2018242.280000000027940,2084304.179999999934807,1983247.880000000121072,1986067.039999999804422,2026010.540000000270084,10097871.919999999925494
FS( 9 ),2026711.909999999916181,2074889.500000000000000,1992766.130000000121072,1975617.319999999832362,2014415.480000000214204,10084400.339999999850988
FS( 10 ),2050166.270000000018626,2100993.839999999850988,2038834.459999999962747,2015964.849999999860302,2015668.999999999767169,10221628.419999999925494
FS( 11 ),2054726.839999999850988,2111692.339999999850988,2051017.820000000065193,2034832.399999999441206,2027264.060000000055879,10279533.459999999031425
FS( 12 ),2059721.750000000000000,2093504.889999999897555,2054444.390000000130385,2038896.179999999469146,2020369.699999999953434,10266936.909999998286366
FS( 13 ),2028232.100000000093132,2076601.259999999776483,1984770.800000000046566,2030188.079999999608845,1984957.760000000242144,10104750.000000000000000
FS( 14 ),2022585.679999999934807,2094788.709999999962747,1940986.849999999860302,2050797.250000000000000,1996866.199999999953434,10106024.689999999478459
FS( 15 ),2024974.549999999813735,2079810.810000000055879,1931849.330000000074506,2037444.829999999608845,1992792.260000000242144,10066871.779999999329448
FS( 16 ),2019545.299999999813735,2083662.269999999785796,1942890.500000000000000,2039476.719999999972060,1996866.199999999953434,10082440.989999998360872
FS( 17 ),2008469.630000000121072,2081736.540000000037253,1926138.380000000121072,2071406.419999999692664,2000313.380000000121072,10088064.349999999627471
FS( 18 ),1976328.469999999972060,2088155.639999999897555,1888446.110000000102445,2109431.789999999571592,1998746.480000000214204,10061108.490000000223517
FS( 19 ),1984363.760000000009313,2053278.529999999795109,1843519.970000000204891,2083307.489999999525025,1994985.919999999925494,9959455.669999998062849
FS( 20 ),2020631.150000000139698,2085801.969999999972060,1852276.760000000009313,2098111.259999999776483,1998746.480000000214204,10055567.619999999180436
