代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11529953.230000000447035
真實報酬,1529953.230000000447035

夏普值報酬,0.144295323000000
夏普值風險,0.052120841010868
夏普值,2.768476490429478

二次趨勢線,43.588163309671984 x^2 + 9177.204997220156656 x + 10000000.000000000000000
二次加權預期報酬,16645.310310943954391
風險,121020.155989404011052
二次加權趨勢值,0.137541636555165
一次趨勢線,13377.950634784183421 x + 10000000.000000000000000
一次預期報酬,13377.950634784183421
一次風險,145415.434687861619750
一次趨勢值,0.091998147676004
找到最佳解世代,1943
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](13),KO[14](1),MCD[15](2),
Stock#,JNJ[12](13),KO[14](1),MCD[15](2),
張數,56727,129954,50231,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,54.479999999981374,12.900000000372529,3.839999999850988,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3388358.189999999944121,3406107.240000000689179,3404158.709999999497086,10198625.140000000596046
FS( 3 ),3390627.270000000018626,3428199.420000000391155,3408177.189999999478459,10227004.879999998956919
FS( 4 ),3290787.750000000000000,3332033.460000000428408,3350411.540000000037253,9973233.750000000000000
FS( 5 ),3290220.479999999981374,3300844.500000000000000,3352923.089999999850988,9943989.070000000298023
FS( 6 ),3326525.760000000242144,3350227.020000000484288,3434799.619999999646097,10111553.400000000372529
FS( 7 ),3299864.070000000298023,3337231.620000000111759,3428771.899999999906868,10065868.589999999850988
FS( 8 ),3318583.979999999981374,3408706.320000000298023,3484528.310000000055879,10211819.610000001266599
FS( 9 ),3316314.899999999906868,3356724.720000000204891,3493067.580000000074506,10166108.199999999254942
FS( 10 ),3314045.820000000298023,3347627.940000000409782,3481012.139999999664724,10142686.900000000372529
FS( 11 ),3354889.260000000242144,3390512.760000000242144,3536266.240000000223517,10281669.260000001639128
FS( 12 ),3360561.959999999962747,3404807.700000000186265,3530740.830000000074506,10296111.490000000223517
FS( 13 ),3357158.339999999850988,3402208.620000000111759,3518685.389999999664724,10278053.349999999627471
FS( 14 ),3357158.339999999850988,3399609.540000000502914,3510146.119999999646097,10266915.000000000000000
FS( 15 ),3354321.990000000223517,3410005.860000000335276,3512155.359999999869615,10276484.210000000894070
FS( 16 ),3356023.799999999813735,3408706.320000000298023,3447859.679999999701977,10212590.800000000745058
FS( 17 ),3360561.959999999962747,3394411.380000000353903,3447357.369999999646097,10202331.709999999031425
FS( 18 ),3380983.680000000167638,3365821.500000000000000,3402149.470000000204891,10148955.650000000372529
FS( 19 ),3329929.380000000353903,3265756.920000000391155,3386577.859999999869615,9982265.160000000149012
FS( 20 ),3372474.630000000353903,3319038.060000000055879,3382057.069999999832362,10073570.759999999776483
FS( 21 ),3360561.959999999962747,3270955.080000000540167,3338356.099999999627471,9969874.140000000596046
FS( 22 ),3350351.100000000093132,3256660.140000000130385,3308719.810000000055879,9915732.050000000745058
FS( 23 ),3350918.370000000111759,3251461.980000000447035,3350913.849999999627471,9953295.199999999254942
FS( 24 ),3351485.639999999664724,3252761.520000000484288,3322282.179999999701977,9926530.339999999850988
FS( 25 ),3351485.639999999664724,3277452.780000000260770,3320775.250000000000000,9949714.669999999925494
FS( 26 ),3438277.949999999720603,3345028.860000000335276,3381052.450000000186265,10164360.260000001639128
FS( 27 ),3481957.740000000223517,3406107.240000000689179,3466947.459999999497086,10355013.439999999478459
FS( 28 ),3434307.060000000055879,3404807.700000000186265,3476993.659999999683350,10316109.419999999925494
FS( 29 ),3415587.149999999906868,3408706.320000000298023,3513159.979999999515712,10337454.449999999254942
FS( 30 ),3432037.979999999981374,3425600.340000000316650,3558367.879999999888241,10416007.199999999254942
FS( 31 ),3438845.219999999739230,3432098.040000000502914,3561381.740000000223517,10432326.000000000000000
FS( 32 ),3418423.500000000000000,3434697.120000000111759,3582981.069999999832362,10436102.689999999478459
FS( 33 ),3371907.359999999869615,3403508.160000000614673,3513159.979999999515712,10288576.500000000000000
FS( 34 ),3379281.870000000111759,3397010.460000000428408,3511653.049999999813735,10287946.379999998956919
FS( 35 ),3323122.139999999664724,3459388.380000000353903,3559874.810000000055879,10342386.330000000074506
FS( 36 ),3240300.719999999739230,3513969.060000000055879,3521699.250000000000000,10275970.029999999329448
FS( 37 ),3234628.020000000018626,3525664.920000000391155,3586497.240000000223517,10346791.179999999701977
FS( 38 ),3269231.490000000223517,3558153.420000000391155,3511150.740000000223517,10338536.650000000372529
FS( 39 ),3275471.459999999962747,3569849.280000000260770,3559874.810000000055879,10405196.550000000745058
FS( 40 ),3295893.180000000167638,3577646.520000000484288,3536266.240000000223517,10409806.940000001341105
FS( 41 ),3280576.889999999664724,3565950.660000000614673,3504620.709999999497086,10351149.259999999776483
FS( 42 ),3280576.889999999664724,3573747.900000000372529,3485030.619999999646097,10339356.410000000149012
FS( 43 ),3295325.910000000149012,3581545.140000000130385,3502611.470000000204891,10379483.520000001415610
FS( 44 ),3331063.919999999925494,3666015.240000000689179,3528731.589999999850988,10525811.750000000000000
FS( 45 ),3366801.930000000167638,3663416.160000000614673,3538777.790000000037253,10568996.880000000819564
FS( 46 ),3388925.459999999962747,3675112.020000000484288,3550833.229999999515712,10614871.710000000894070
FS( 47 ),3390060.000000000000000,3663416.160000000614673,3538777.790000000037253,10592254.949999999254942
FS( 48 ),3401405.399999999906868,3688107.420000000391155,3603575.779999999795109,10693089.599999999627471
FS( 49 ),3406510.829999999608845,3711499.140000000130385,3662848.359999999869615,10780859.330000000074506
FS( 50 ),3371340.089999999850988,3702402.360000000335276,3658829.879999999888241,10732573.330000000074506
FS( 51 ),3318583.979999999981374,3641323.980000000447035,3595036.509999999310821,10554945.470000000670552
FS( 52 ),3319718.520000000018626,3619231.800000000745058,3619649.700000000186265,10558601.019999999552965
FS( 53 ),3298729.529999999795109,3621830.880000000353903,3611110.429999999701977,10531671.839999999850988
FS( 54 ),3290787.750000000000000,3630927.660000000614673,3606087.330000000074506,10527803.740000000223517
