代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13425748.419999999925494
真實報酬,3425748.419999999925494

夏普值報酬,0.333874842000000
夏普值風險,0.088360761891041
夏普值,3.778541909945349

二次趨勢線,-127.079506700129542 x^2 + 45359.412846777348022 x + 10000000.000000000000000
二次加權預期報酬,23586.457365488480718
風險,209522.852922154765110
二次加權趨勢值,0.112572242294981
一次趨勢線,33112.310815848111815 x + 10000000.000000000000000
一次預期報酬,33112.310815848111815
一次風險,314876.540823866322171
一次趨勢值,0.105159662670362
找到最佳解世代,2478
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](2),UNH[23](1),
Stock#,BA[2](2),UNH[23](1),
張數,64699,93423,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,61.280000000260770,1.040000000037253,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4987707.190000000409782,4981315.400000000372529,9969022.589999999850988
FS( 3 ),5089284.620000000111759,4998131.540000000037253,10087416.160000000149012
FS( 4 ),5116458.200000000186265,5008408.070000000298023,10124866.269999999552965
FS( 5 ),5243915.230000000447035,5026158.439999999478459,10270073.669999999925494
FS( 6 ),5255561.050000000745058,5027092.669999999925494,10282653.720000000670552
FS( 7 ),5366196.339999999850988,5064461.870000000111759,10430658.210000000894070
FS( 8 ),5445129.120000000111759,5122384.129999999888241,10567513.250000000000000
FS( 9 ),5483301.530000000260770,5089686.080000000074506,10572987.609999999403954
FS( 10 ),5474890.660000000149012,5113041.830000000074506,10587932.490000000223517
FS( 11 ),5591995.850000000558794,5113041.830000000074506,10705037.679999999701977
FS( 12 ),5511122.100000000558794,5138266.040000000037253,10649388.140000000596046
FS( 13 ),5532472.770000000484288,5154147.950000000186265,10686620.720000000670552
FS( 14 ),5523414.910000000149012,5127055.280000000260770,10650470.190000001341105
