代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11099157.060000000521541
真實報酬,1099157.060000000521541

夏普值報酬,0.101215706000000
夏普值風險,0.035219860925452
夏普值,2.873824692670947

二次趨勢線,2889.416067315703003 x^2 + -6042.285121725533827 x + 10000000.000000000000000
二次加權預期報酬,76787.642141324613476
風險,79259.199694680210087
二次加權趨勢值,0.968816773789334
一次趨勢線,40524.350567804322054 x + 10000000.000000000000000
一次預期報酬,40524.350567804322054
一次風險,170320.091142626246437
一次趨勢值,0.237930535945223
找到最佳解世代,1969
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
GS[8](9),WBA[27](1),WMT[28](15),
Stock#,GS[8](9),WBA[27](1),WMT[28](15),
張數,34318,111632,48065,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,25.660000000149012,1.479999999981374,25.250000000465661,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3383780.459999999962747,3305425.000000000000000,3400624.000000000465661,10089830.460000000894070
FS( 3 ),3291808.220000000204891,3334449.320000000298023,3416485.450000000186265,10042743.990000002086163
FS( 4 ),3276365.120000000111759,3306541.320000000298023,3429943.650000000372529,10012851.089999999850988
FS( 5 ),3242047.120000000111759,3315471.879999999888241,3449169.650000000838190,10006689.650000000372529
FS( 6 ),3234497.160000000149012,3340030.920000000391155,3465992.400000000372529,10040521.480000000447035
FS( 7 ),3264697.000000000000000,3342263.560000000055879,3473202.150000000838190,10080163.710000000894070
FS( 8 ),3226604.020000000018626,3360124.680000000167638,3475605.400000000372529,10062335.100000001490116
FS( 9 ),3343628.400000000372529,3413708.039999999571592,3517421.950000000651926,10274759.390000000596046
FS( 10 ),3352207.900000000372529,3404777.479999999981374,3507808.950000000651926,10264795.330000001937151
FS( 11 ),3362503.300000000279397,3427103.879999999888241,3513576.750000000000000,10303184.929999999701977
FS( 12 ),3312055.840000000316650,3457244.520000000018626,3501560.500000000000000,10270861.859999999403954
FS( 13 ),3260235.660000000149012,3864701.319999999832362,3438114.700000000651926,10563052.680000001564622
FS( 14 ),3231408.540000000037253,3862468.680000000167638,3472721.500000000465661,10566599.720000000670552
FS( 15 ),3197090.540000000037253,3786558.920000000391155,3453495.500000000000000,10437145.960000000894070
FS( 16 ),3242047.120000000111759,3807769.000000000000000,3467434.350000000558794,10517251.470000000670552
FS( 17 ),3293180.939999999944121,3868050.279999999795109,3464550.450000000186265,10625782.669999999925494
FS( 18 ),3365248.740000000223517,3903772.520000000018626,3540973.800000000745058,10809996.060000000521541
FS( 19 ),3488107.180000000167638,3987496.520000000018626,3581829.050000000279397,11057433.750000000000000
FS( 20 ),3462025.500000000000000,4048894.120000000111759,3603938.950000000651926,11114859.570000000298023
FS( 21 ),3462711.860000000335276,4058941.000000000000000,3577503.200000000651926,11099157.060000000521541
