代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10430431.550000000745058
真實報酬,430431.550000000745058

夏普值報酬,0.034343155000000
夏普值風險,0.020540714482183
夏普值,1.671955229687294

二次趨勢線,2463.694034053765336 x^2 + -28974.950763042794279 x + 10000000.000000000000000
二次加權預期報酬,44935.870258570168517
風險,61398.207060430184356
二次加權趨勢值,0.731875935959217
一次趨勢線,12579.355277997361554 x + 10000000.000000000000000
一次預期報酬,12579.355277997361554
一次風險,153541.702410620433511
一次趨勢值,0.081927939318766
找到最佳解世代,2426
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),INTC[11](13),NKE[19](2),V[25](7),
Stock#,AAPL[0](1),INTC[11](13),NKE[19](2),V[25](7),
張數,88841,127161,152905,120540,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,14.259999999776483,14.739999999757856,3.250000000000000,0.400000000372529,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2490227.489999999757856,2507629.659999999683350,2498470.950000000186265,2478302.800000000279397,9974630.900000000372529
FS( 3 ),2493781.129999999888241,2526703.810000000055879,2472477.100000000093132,2412005.800000000745058,9904967.839999999850988
FS( 4 ),2453802.679999999701977,2601728.799999999813735,2458715.649999999906868,2419238.200000000186265,9933485.329999998211861
FS( 5 ),2397832.849999999627471,2590284.310000000055879,2467889.950000000186265,2408389.600000000558794,9864396.710000000894070
FS( 6 ),2409382.179999999701977,2541963.129999999422580,2428134.649999999906868,2410800.400000000372529,9790280.359999999403954
FS( 7 ),2510660.919999999925494,2544506.350000000093132,2368501.700000000186265,2463838.000000000465661,9887506.970000000670552
FS( 8 ),2492892.719999999739230,2562308.889999999664724,2397553.649999999906868,2480713.600000000093132,9933468.859999999403954
FS( 9 ),2470682.469999999739230,2530518.639999999664724,2441896.100000000093132,2451784.000000000465661,9894881.209999999031425
FS( 10 ),2500000.000000000000000,2540691.520000000018626,2452599.449999999720603,2554243.000000000465661,10047533.969999998807907
FS( 11 ),2464463.599999999627471,2517802.540000000037253,2460244.700000000186265,2596432.000000000465661,10038942.839999999850988
FS( 12 ),2475124.519999999552965,2464394.919999999459833,2448012.300000000279397,2622950.800000000745058,10010482.540000000968575
FS( 13 ),2435146.069999999832362,2424975.009999999776483,2417431.300000000279397,2622950.800000000745058,9900503.180000001564622
FS( 14 ),2480454.979999999981374,2496185.169999999459833,2463302.799999999813735,2680810.000000000000000,10120752.949999999254942
FS( 15 ),2515991.379999999888241,2554679.229999999515712,2480122.349999999627471,2637415.600000000093132,10188208.559999998658895
FS( 16 ),2542643.679999999701977,2548321.179999999701977,2487767.600000000093132,2601253.600000000093132,10179986.059999998658895
FS( 17 ),2564853.929999999701977,2555950.839999999850988,2501529.049999999813735,2596432.000000000465661,10218765.820000000298023
FS( 18 ),2652806.519999999552965,2585197.869999999646097,2493883.799999999813735,2600048.200000000186265,10331936.389999998733401
FS( 19 ),2685677.689999999944121,2581383.040000000037253,2504587.149999999906868,2614513.000000000465661,10386160.880000000819564
FS( 20 ),2653694.929999999701977,2594099.139999999664724,2530581.000000000000000,2653085.800000000745058,10431460.870000001043081
FS( 21 ),2685677.689999999944121,2618259.729999999515712,2529051.949999999720603,2656702.000000000465661,10489691.369999999180436
FS( 22 ),2674128.359999999869615,2594099.139999999664724,2525993.850000000093132,2636210.200000000651926,10430431.550000000745058
