代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10402303.839999999850988
真實報酬,402303.839999999850988

夏普值報酬,0.031530384000000
夏普值風險,0.018077504408332
夏普值,1.744177917913663

二次趨勢線,3123.819480872388340 x^2 + -51775.002163678735087 x + 10000000.000000000000000
二次加權預期報酬,41939.582262492920563
風險,56699.539639456335863
二次加權趨勢值,0.739681177822259
一次趨勢線,913.419747035541036 x + 10000000.000000000000000
一次預期報酬,913.419747035541036
一次風險,187230.742550177092198
一次趨勢值,0.004878577815771
找到最佳解世代,1935
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
IBM[10](2),MSFT[18](1),VZ[26](3),
Stock#,IBM[10](2),MSFT[18](1),VZ[26](3),
張數,20012,136444,91903,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,134.279999999795109,6.080000000074506,11.189999999944121,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3323927.359999999869615,3304679.759999999776483,3324142.700000000186265,9952750.820000000298023
FS( 3 ),3303114.879999999888241,3262382.120000000111759,3274515.080000000074506,9840013.080000000074506
FS( 4 ),3297111.279999999795109,3276026.520000000484288,3235915.819999999832362,9809054.620000001043081
FS( 5 ),3275898.559999999590218,3282848.719999999739230,3251539.330000000074506,9810287.609999999403954
FS( 6 ),3288906.359999999869615,3266475.440000000409782,3299328.889999999664724,9854711.690000001341105
FS( 7 ),3298912.359999999869615,3269204.320000000298023,3278191.200000000186265,9846308.879999998956919
FS( 8 ),3265692.439999999944121,3235093.320000000298023,3234077.759999999776483,9734864.519999999552965
FS( 9 ),3265492.319999999366701,3280119.839999999850988,3274515.080000000074506,9820128.239999998360872
FS( 10 ),3284503.719999999739230,3304679.759999999776483,3269919.929999999701977,9859104.410000000149012
FS( 11 ),3248682.240000000223517,3239186.639999999664724,3227644.549999999813735,9715514.429999999701977
FS( 12 ),3255486.319999999366701,3274662.080000000074506,3238672.910000000149012,9768822.309999998658895
FS( 13 ),3290907.559999999590218,3310137.520000000484288,3263486.719999999739230,9864532.800000000745058
FS( 14 ),3302514.520000000018626,3338790.759999999776483,3276353.139999999664724,9917659.419999998062849
FS( 15 ),3326528.919999999925494,3378359.520000000484288,3307600.160000000149012,10012489.600000001490116
FS( 16 ),3315722.439999999944121,3363350.679999999701977,3303005.009999999776483,9982079.129999998956919
FS( 17 ),3324527.719999999739230,3360621.799999999813735,3313114.339999999850988,9998264.859999999403954
FS( 18 ),3303515.119999999646097,3315595.280000000260770,3308519.189999999944121,9927630.589999999850988
FS( 19 ),3354545.719999999739230,3438394.879999999888241,3345280.389999999664724,10138221.989999998360872
FS( 20 ),3402374.399999999441206,3520261.280000000260770,3360903.899999999906868,10283540.580000000074506
FS( 21 ),3412980.759999999776483,3495701.360000000335276,3374689.349999999627471,10283372.469999998807907
FS( 22 ),3433192.879999999888241,3547550.080000000074506,3421559.879999999888241,10402303.839999999850988
