代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10850367.350000001490116
真實報酬,850367.350000001490116

夏普值報酬,0.076336735000000
夏普值風險,0.059827046852136
夏普值,1.275956929458138

二次趨勢線,1024.055511193811299 x^2 + -41860.652672170181177 x + 10000000.000000000000000
二次加權預期報酬,46208.121290497598238
風險,232837.436074246710632
二次加權趨勢值,0.198456580134145
一次趨勢線,7675.055776274618438 x + 10000000.000000000000000
一次預期報酬,7675.055776274618438
一次風險,531743.436166092520580
一次趨勢值,0.014433757436880
找到最佳解世代,1764
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),DD[7](2),
Stock#,AAPL[0](1),DD[7](2),
張數,77651,102249,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,52.110000000335276,23.900000000372529,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4984469.799999999813735,5040899.599999999627471,10025369.399999998509884
FS( 3 ),4937879.200000000186265,4900818.470000000670552,9838697.670000001788139
FS( 4 ),4864110.750000000000000,4934560.640000000596046,9798671.390000000596046
FS( 5 ),4901383.230000000447035,5002044.980000000447035,9903428.210000000894070
FS( 6 ),4868769.810000000521541,4998977.510000000707805,9867747.320000000298023
FS( 7 ),4854016.120000000111759,4950920.480000000447035,9804936.600000001490116
FS( 8 ),4794224.850000000558794,4920245.780000000260770,9714470.630000000819564
FS( 9 ),4836156.390000000596046,5044989.560000000521541,9881145.950000001117587
FS( 10 ),4770929.549999999813735,4951942.970000000670552,9722872.519999999552965
FS( 11 ),4791895.320000000298023,4971370.280000000260770,9763265.600000001490116
FS( 12 ),4789565.790000000037253,5040899.599999999627471,9830465.390000000596046
FS( 13 ),4692502.040000000037253,4965235.340000000782311,9657737.380000000819564
FS( 14 ),4624169.160000000149012,4833334.130000000819564,9457503.290000000968575
FS( 15 ),4586896.680000000633299,4751534.930000000633299,9338431.610000001266599
FS( 16 ),4465761.120000000111759,4710635.330000000074506,9176396.449999999254942
FS( 17 ),4466537.630000000819564,4732107.620000000111759,9198645.250000000000000
FS( 18 ),4416064.480000000447035,4689163.040000000037253,9105227.519999999552965
FS( 19 ),4367920.860000000335276,4710635.330000000074506,9078556.190000001341105
FS( 20 ),4398981.259999999776483,4684050.590000000782311,9083031.850000001490116
FS( 21 ),4539529.570000000298023,4732107.620000000111759,9271637.190000001341105
FS( 22 ),4642028.890000000596046,4723927.700000001117587,9365956.590000001713634
FS( 23 ),4667653.720000000670552,4721882.720000000670552,9389536.440000001341105
FS( 24 ),4630381.240000000223517,4759714.849999999627471,9390096.089999999850988
FS( 25 ),4603979.900000000372529,4817996.780000000260770,9421976.679999999701977
FS( 26 ),4685513.450000000186265,4953987.950000001117587,9639501.400000002235174
FS( 27 ),4666877.210000000894070,4920245.780000000260770,9587122.990000002086163
FS( 28 ),4739869.150000000372529,4979550.200000001117587,9719419.350000001490116
FS( 29 ),4731327.540000000037253,4968302.810000000521541,9699630.350000001490116
FS( 30 ),4741422.170000000856817,5009202.410000000149012,9750624.580000001937151
FS( 31 ),4772482.570000000298023,4946830.520000000484288,9719313.089999999850988
FS( 32 ),4773259.080000000074506,5057259.440000000409782,9830518.519999999552965
FS( 33 ),4789565.790000000037253,5035787.150000000372529,9825352.940000001341105
FS( 34 ),4714244.320000000298023,5048057.030000000260770,9762301.350000001490116
FS( 35 ),4728998.009999999776483,5036809.640000000596046,9765807.650000000372529
FS( 36 ),4648240.970000000670552,5030674.700000001117587,9678915.670000001788139
FS( 37 ),4886629.540000000037253,5005112.450000001117587,9891741.990000002086163
FS( 38 ),4864110.750000000000000,5095091.570000000298023,9959202.320000000298023
FS( 39 ),4892065.110000000335276,5053169.480000000447035,9945234.589999999850988
FS( 40 ),4967386.580000000074506,5096114.060000000521541,10063500.640000000596046
FS( 41 ),5028730.870000001043081,5105316.470000000670552,10134047.340000001713634
FS( 42 ),5020189.260000000707805,5102249.000000000000000,10122438.260000001639128
FS( 43 ),5066003.349999999627471,5154395.990000000223517,10220399.339999999850988
FS( 44 ),5131230.190000000409782,5274027.320000000298023,10405257.510000001639128
FS( 45 ),5207328.170000000856817,5311859.450000001117587,10519187.620000001043081
FS( 46 ),5160737.570000000298023,5250510.050000000745058,10411247.620000001043081
FS( 47 ),5158408.040000000968575,5284252.220000000670552,10442660.260000001639128
FS( 48 ),5114146.970000000670552,5374231.340000000782311,10488378.310000002384186
FS( 49 ),5041155.030000000260770,5538852.230000000447035,10580007.260000001639128
FS( 50 ),5184809.379999999888241,5457053.030000000260770,10641862.410000000149012
FS( 51 ),5430963.049999999813735,5515334.959999999962747,10946298.009999999776483
FS( 52 ),5529579.820000000298023,5496930.140000000596046,11026509.960000000894070
FS( 53 ),5523367.740000000223517,5410018.490000000223517,10933386.230000000447035
FS( 54 ),5572287.870000001043081,5371163.870000000111759,10943451.740000002086163
FS( 55 ),5632079.140000000596046,5333331.740000000223517,10965410.880000000819564
FS( 56 ),5558310.690000000409782,5380366.280000000260770,10938676.970000000670552
FS( 57 ),5573064.379999999888241,5407973.510000000707805,10981037.890000000596046
FS( 58 ),5579276.459999999962747,5415130.940000000409782,10994407.400000000372529
FS( 59 ),5557534.179999999701977,5641101.230000000447035,11198635.410000000149012
FS( 60 ),5579276.459999999962747,5627808.860000000335276,11207085.320000000298023
FS( 61 ),5420091.910000000149012,5469322.910000000149012,10889414.820000000298023
FS( 62 ),5445716.740000000223517,5452963.070000000298023,10898679.810000000521541
FS( 63 ),5454258.349999999627471,5463187.970000000670552,10917446.320000000298023
FS( 64 ),5404561.709999999962747,5445805.640000000596046,10850367.350000001490116
