代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10657133.699999999254942
真實報酬,657133.699999999254942

夏普值報酬,0.057013370000000
夏普值風險,0.032360380419976
夏普值,1.761826321572074

二次趨勢線,339.836624939155456 x^2 + -6388.508130374815664 x + 10000000.000000000000000
二次加權預期報酬,22384.326114473678899
風險,115077.935917300303117
二次加權趨勢值,0.194514490862610
一次趨勢線,9795.207677751228402 x + 10000000.000000000000000
一次預期報酬,9795.207677751228402
一次風險,192064.391623709409032
一次趨勢值,0.050999602763129
找到最佳解世代,2780
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
GS[8](2),IBM[10](5),JPM[13](1),
Stock#,GS[8](2),IBM[10](5),JPM[13](1),
張數,17380,20771,53963,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,22.800000000279397,2.920000000391155,38.489999999757856,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3324295.400000000372529,3344757.050000000279397,3344125.599999999627471,10013179.050000000745058
FS( 3 ),3296487.399999999906868,3311315.740000000223517,3352759.679999999701977,9960563.820000000298023
FS( 4 ),3303613.200000000651926,3347872.700000000651926,3345744.489999999757856,9997231.390000000596046
FS( 5 ),3248518.600000000093132,3292206.420000000391155,3285845.559999999590218,9826571.580000000074506
FS( 6 ),3266246.200000000186265,3339356.590000000782311,3318762.989999999757856,9924366.780000001192093
FS( 7 ),3175522.600000000558794,3277874.430000000633299,3235659.969999999739230,9689058.000000000000000
FS( 8 ),3201071.200000000186265,3256895.720000000670552,3250769.609999999869615,9708737.530000001192093
FS( 9 ),3301353.800000000279397,3281405.500000000000000,3311747.799999999813735,9894508.100000001490116
FS( 10 ),3290752.000000000465661,3204552.800000000279397,3291781.489999999757856,9787087.290000000968575
FS( 11 ),3335244.800000000279397,3262711.600000000558794,3337650.040000000037253,9935607.440000001341105
FS( 12 ),3312129.400000000372529,3260219.080000000540167,3324698.919999999925494,9897048.400000000372529
FS( 13 ),3342544.400000000372529,3319416.430000000633299,3332253.739999999757856,9994215.570000000298023
FS( 14 ),3301701.400000000372529,3319416.430000000633299,3302574.089999999850988,9923692.920000001788139
FS( 15 ),3356622.200000000186265,3383183.400000000372529,3332253.739999999757856,10072060.339999999850988
FS( 16 ),3336287.600000000558794,3419532.650000000372529,3299336.309999999590218,10055157.560000000521541
FS( 17 ),3324469.200000000186265,3385675.920000000391155,3262641.469999999739230,9972787.589999999850988
FS( 18 ),3256165.800000000279397,3306746.120000000111759,3216772.919999999925494,9779685.839999999850988
FS( 19 ),3254254.000000000465661,3335617.810000000521541,3212995.509999999776483,9802868.320000000298023
FS( 20 ),3268505.600000000093132,3331671.320000000298023,3213535.139999999664724,9813713.059999998658895
FS( 21 ),3319950.400000000372529,3378821.490000000223517,3289622.969999999739230,9988395.859999999403954
FS( 22 ),3266941.400000000372529,3333748.420000000391155,3269117.029999999795109,9869807.849999999627471
FS( 23 ),3340980.200000000186265,3306330.700000000651926,3235120.339999999850988,9882432.240000000223517
FS( 24 ),3329161.800000000279397,3332709.870000000111759,3265879.250000000000000,9927751.919999999925494
FS( 25 ),3337851.800000000279397,3365735.760000000242144,3263181.099999999627471,9966769.660000000149012
FS( 26 ),3343761.000000000000000,3366358.890000000130385,3283687.040000000037253,9993807.929999999701977
