代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10721117.050000000745058
真實報酬,721117.050000000745058

夏普值報酬,0.063411705000000
夏普值風險,0.037237976715033
夏普值,1.702877293394942

二次趨勢線,467.740343551200112 x^2 + -11637.555225499585504 x + 10000000.000000000000000
二次加權預期報酬,26717.152945698817348
風險,166082.386020058329450
二次加權趨勢值,0.160866866053286
一次趨勢線,9935.542083166730663 x + 10000000.000000000000000
一次預期報酬,9935.542083166730663
一次風險,258851.735975076706382
一次趨勢值,0.038383138694204
找到最佳解世代,1986
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
VZ[26](1),WMT[28](2),XOM[29](4),
Stock#,VZ[26](1),WMT[28](2),XOM[29](4),
張數,73131,56506,40705,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,22.020000000018626,44.060000000055879,0.549999999813735,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3285066.540000000037253,3297169.160000000149012,3238083.299999999813735,9820320.000000000000000
FS( 3 ),3258739.380000000353903,3336158.299999999813735,3191679.599999999627471,9786578.279999999329448
FS( 4 ),3342840.030000000260770,3371192.020000000018626,3209996.849999999627471,9924029.900000000372529
FS( 5 ),3368435.880000000353903,3418657.060000000055879,3126144.549999999813735,9913238.490000000223517
FS( 6 ),3342108.720000000204891,3368366.720000000204891,3037814.699999999720603,9748291.140000000596046
FS( 7 ),3317244.180000000167638,3341243.840000000316650,3078519.699999999720603,9737008.720000000670552
FS( 8 ),3314318.939999999944121,3365541.420000000391155,3080961.999999999534339,9760823.359999999403954
FS( 9 ),3277753.439999999944121,3354240.220000000204891,3026010.250000000000000,9658004.910000000149012
FS( 10 ),3323825.970000000204891,3412441.399999999906868,3094801.699999999720603,9831070.070000000298023
FS( 11 ),3331139.069999999832362,3370061.899999999906868,3233198.700000000186265,9934400.669999999925494
FS( 12 ),3401344.830000000074506,3407355.859999999869615,3221801.299999999813735,10030502.989999998360872
FS( 13 ),3371361.120000000111759,3332767.939999999944121,3173362.349999999627471,9877492.410000000149012
FS( 14 ),3331870.380000000353903,3325422.160000000149012,3145682.949999999720603,9802976.490000000223517
FS( 15 ),3356734.919999999925494,3364976.359999999869615,3144868.850000000093132,9866581.129999998956919
FS( 16 ),3388912.560000000055879,3420917.299999999813735,3160743.799999999813735,9970574.660000000149012
FS( 17 ),3433522.470000000204891,3451995.600000000093132,3264134.499999999534339,10149653.570000000298023
FS( 18 ),3415971.030000000260770,3437304.040000000037253,3229128.199999999720603,10082404.269999999552965
FS( 19 ),3418896.270000000018626,3432783.560000000055879,3205112.249999999534339,10056793.080000000074506
FS( 20 ),3452536.530000000260770,3481378.720000000204891,3222208.349999999627471,10156124.599999999627471
FS( 21 ),3420358.890000000130385,3485334.140000000130385,3179468.099999999627471,10085162.129999998956919
FS( 22 ),3380136.839999999850988,3463861.859999999869615,3172955.299999999813735,10016955.000000000000000
FS( 23 ),3354540.989999999757856,3472902.820000000298023,3153009.849999999627471,9980454.660000000149012
FS( 24 ),3400613.520000000018626,3555401.580000000074506,3179875.149999999906868,10135891.250000000000000
FS( 25 ),3328945.140000000130385,3591000.359999999869615,3153416.899999999906868,10073363.400000000372529
FS( 26 ),3310662.390000000130385,3674629.240000000223517,3102942.700000000186265,10088235.330000001937151
FS( 27 ),3278484.750000000000000,3590435.299999999813735,3040256.999999999534339,9909178.049999998882413
FS( 28 ),3297498.810000000055879,3628859.379999999888241,2999551.999999999534339,9925911.189999999478459
FS( 29 ),3285797.850000000093132,3594955.779999999795109,3061016.549999999813735,9941771.179999999701977
FS( 30 ),3228755.669999999925494,3498895.580000000074506,3079333.799999999813735,9806986.050000000745058
FS( 31 ),3281409.989999999757856,3563312.420000000391155,3220580.149999999906868,10065303.560000000521541
FS( 32 ),3249232.350000000093132,3499460.640000000130385,3157894.449999999720603,9906588.439999999478459
FS( 33 ),3281409.989999999757856,3535059.420000000391155,3109862.549999999813735,9926332.960000000894070
FS( 34 ),3248501.040000000037253,3437869.100000000093132,2978792.450000000186265,9665163.589999999850988
FS( 35 ),3354540.989999999757856,3496635.340000000316650,3016241.049999999813735,9867418.379999998956919
FS( 36 ),3440104.259999999776483,3542405.199999999720603,3116782.399999999441206,10099292.859999999403954
FS( 37 ),3439372.950000000186265,3585349.760000000242144,3011356.450000000186265,10036080.160000000149012
FS( 38 ),3528592.770000000018626,3616428.060000000055879,3122074.049999999813735,10267095.879999998956919
FS( 39 ),3585634.950000000186265,3613602.760000000242144,3064680.000000000000000,10263918.710000000894070
FS( 40 ),3584172.330000000074506,3628859.379999999888241,3133878.499999999534339,10346911.209999999031425
FS( 41 ),3654378.089999999850988,3749782.220000000204891,3168884.799999999813735,10573046.109999999403954
FS( 42 ),3712151.580000000074506,3814199.060000000055879,3105385.000000000000000,10631736.640000000596046
FS( 43 ),3649990.229999999981374,3778035.220000000204891,3036186.500000000000000,10464212.949999999254942
FS( 44 ),3701913.239999999757856,3744696.679999999701977,3194528.950000000186265,10641139.870000001043081
FS( 45 ),3688018.350000000093132,3753172.580000000074506,3249480.699999999720603,10690672.629999998956919
FS( 46 ),3727509.089999999850988,3785946.060000000055879,3259656.949999999720603,10773113.099999999627471
FS( 47 ),3710688.959999999962747,3780295.460000000428408,3303618.349999999627471,10794603.769999999552965
FS( 48 ),3667541.669999999925494,3718703.920000000391155,3259656.949999999720603,10645903.539999999105930
FS( 49 ),3655109.399999999906868,3717573.800000000279397,3229942.299999999813735,10602626.500000000000000
FS( 50 ),3611962.109999999869615,3691015.979999999515712,3240118.549999999813735,10543097.640000000596046
FS( 51 ),3664616.430000000167638,3739611.140000000596046,3298326.699999999720603,10702555.269999999552965
FS( 52 ),3674123.459999999962747,3723789.460000000428408,3306060.649999999906868,10703974.570000000298023
FS( 53 ),3679973.939999999944121,3735655.720000000204891,3337810.549999999813735,10753441.210000000894070
FS( 54 ),3725315.159999999683350,3623208.780000000260770,3356127.799999999813735,10704652.739999998360872
FS( 55 ),3719464.680000000167638,3653722.020000000018626,3358163.049999999813735,10731350.750000000000000
FS( 56 ),3734822.189999999944121,3708532.839999999850988,3353685.500000000000000,10797041.529999999329448
FS( 57 ),3702644.550000000279397,3756562.940000000409782,3306467.700000000186265,10765676.190000001341105
FS( 58 ),3716539.439999999944121,3792726.780000000260770,3318272.149999999441206,10827539.370000001043081
FS( 59 ),3737747.430000000167638,3844712.300000000279397,3338217.600000000093132,10920678.330000000074506
FS( 60 ),3731165.640000000130385,3758258.120000000577420,3327634.299999999813735,10817059.060000000521541
FS( 61 ),3709957.649999999906868,3748652.100000000093132,3262506.299999999813735,10721117.050000000745058
