代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11641875.799999997019768
真實報酬,1641875.799999997019768

夏普值報酬,0.155487580000000
夏普值風險,0.049466678166767
夏普值,3.143279188382190

二次趨勢線,394.550110781976059 x^2 + 3878.348390345865482 x + 10000000.000000000000000
二次加權預期報酬,36757.524288843866088
風險,61137.311706035790849
二次加權趨勢值,0.601228991971117
一次趨勢線,22371.701182918583072 x + 10000000.000000000000000
一次預期報酬,22371.701182918583072
一次風險,183447.299308035639115
一次趨勢值,0.121951651876614
找到最佳解世代,2223
找到最佳解實驗#,9
找到最佳解次數,3

stock[index](rank)
投資組合檔數,5
CAT[3](7),MSFT[18](4),TRV[22](19),UTX[24](5),WMT[28](18),
Stock#,CAT[3](7),MSFT[18](4),TRV[22](19),UTX[24](5),WMT[28](18),
張數,14674,24044,14984,16650,22742,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,80.540000000037253,20.079999999841675,85.520000000018626,2.000000000000000,68.520000000018626,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2002641.320000000065193,2020918.279999999795109,2018280.479999999981374,2022311.000000000000000,2019558.119999999878928,10083709.199999999254942
FS( 3 ),2004989.159999999916181,2023082.239999999757856,1997752.399999999906868,2015817.500000000000000,2039571.080000000074506,10081212.379999998956919
FS( 4 ),2020837.080000000074506,2031016.759999999776483,1999550.479999999981374,2004495.500000000000000,2017283.920000000158325,10073183.740000000223517
FS( 5 ),2036978.479999999981374,2026207.959999999729916,2003746.000000000000000,2010489.500000000000000,2022969.420000000158325,10100391.359999999403954
FS( 6 ),2014674.000000000000000,2033180.719999999972060,2000749.200000000186265,2002664.000000000000000,2052761.440000000176951,10104029.359999999403954
FS( 7 ),1986059.700000000186265,2021880.040000000037253,2015883.040000000037253,1970862.500000000000000,2053671.119999999878928,10048356.400000000372529
FS( 8 ),2002788.059999999823049,2016590.359999999869615,2031016.879999999888241,1966533.500000000000000,2067771.160000000149012,10084699.960000000894070
FS( 9 ),2003521.760000000009313,2018033.000000000000000,1997752.399999999906868,1949217.500000000000000,2069363.099999999860302,10037887.759999999776483
FS( 10 ),2018342.500000000000000,2020918.279999999795109,2005843.760000000242144,1978022.000000000000000,2071637.300000000046566,10094763.839999999850988
FS( 11 ),1967863.939999999944121,1995191.199999999953434,2003596.160000000149012,1957542.500000000000000,2042982.379999999888241,9967176.179999999701977
FS( 12 ),2001027.180000000167638,2000480.879999999888241,1960142.560000000055879,1962870.500000000000000,2265626.560000000055879,10190147.679999999701977
FS( 13 ),1997652.159999999916181,1981245.679999999934807,1946806.799999999813735,1940226.500000000000000,2216731.259999999776483,10082662.399999998509884
FS( 14 ),2009097.879999999888241,1984371.399999999906868,1944559.200000000186265,1937729.000000000000000,2216958.680000000167638,10092716.160000000149012
FS( 15 ),2019222.939999999944121,2012983.759999999776483,1957445.439999999944121,1948718.000000000000000,2195126.359999999869615,10133496.500000000000000
FS( 16 ),2025239.279999999795109,1998316.919999999925494,1948155.359999999869615,1943556.500000000000000,2192624.739999999757856,10107892.799999998882413
FS( 17 ),2016141.399999999906868,2001923.520000000018626,1945458.240000000223517,1946553.500000000000000,2197400.560000000055879,10107477.220000000670552
FS( 18 ),2013206.600000000093132,2016590.359999999869615,1955197.839999999850988,1950050.000000000000000,2197400.560000000055879,10132445.359999999403954
FS( 19 ),2039619.800000000279397,2040874.799999999813735,1993107.359999999869615,1959873.500000000000000,2200811.859999999869615,10234287.320000000298023
FS( 20 ),2025972.979999999981374,2003847.040000000037253,2015883.040000000037253,1967366.000000000000000,2218778.040000000037253,10231847.100000001490116
FS( 21 ),2071315.640000000130385,2023803.559999999823049,2031466.399999999906868,2022144.500000000000000,2211273.180000000167638,10360003.279999999329448
FS( 22 ),2076745.020000000251457,2025967.520000000018626,2041056.160000000149012,2000000.000000000000000,2214002.219999999739230,10357770.919999999925494
FS( 23 ),2076451.540000000037253,1949507.599999999860302,2043303.760000000242144,1998668.000000000000000,2206269.939999999944121,10274200.839999999850988
FS( 24 ),2056494.899999999906868,1961770.040000000037253,2027720.399999999906868,2002830.500000000000000,2224918.379999999888241,10273734.219999998807907
FS( 25 ),2059429.700000000186265,1990382.399999999906868,2028319.760000000242144,2017982.000000000000000,2212410.280000000260770,10308524.140000000596046
FS( 26 ),2096848.399999999906868,1983409.639999999664724,2011088.160000000149012,2037962.000000000000000,2201039.280000000260770,10330347.480000000447035
FS( 27 ),2111082.180000000167638,2023563.119999999646097,2004195.520000000018626,2044788.500000000000000,2195808.620000000111759,10379437.940000001341105
FS( 28 ),2109761.520000000018626,2049290.199999999953434,1995354.959999999962747,2052947.000000000000000,2204450.580000000074506,10411804.259999999776483
FS( 29 ),2104625.619999999646097,2057705.599999999860302,2013185.919999999925494,2055944.000000000000000,2199219.919999999925494,10430681.059999998658895
FS( 30 ),2180196.719999999739230,2052175.479999999748543,2001348.560000000055879,2069597.000000000000000,2223326.439999999944121,10526644.199999999254942
FS( 31 ),2146593.260000000242144,2036306.439999999711290,1986664.240000000223517,2060606.000000000000000,2208998.979999999981374,10439168.919999999925494
FS( 32 ),2152609.600000000093132,2088241.479999999748543,2021277.279999999795109,2100732.500000000000000,2208544.140000000130385,10571405.000000000000000
FS( 33 ),2197805.520000000018626,2076940.799999999813735,2026072.160000000149012,2109723.500000000000000,2226510.320000000298023,10637052.300000000745058
FS( 34 ),2214533.879999999888241,2063716.599999999860302,2031016.879999999888241,2110889.000000000000000,2246978.120000000111759,10667134.480000000447035
FS( 35 ),2238159.020000000018626,2056262.959999999729916,2026821.359999999869615,2114552.000000000000000,2245841.020000000018626,10681636.359999999403954
FS( 36 ),2269267.899999999906868,2055782.079999999841675,2014534.479999999981374,2119713.500000000000000,2230149.040000000037253,10689447.000000000000000
FS( 37 ),2285556.040000000037253,2056022.520000000018626,2013785.279999999795109,2118381.500000000000000,2233560.339999999850988,10707305.679999999701977
FS( 38 ),2295681.100000000093132,2053377.679999999934807,2019629.040000000037253,2116883.000000000000000,2255165.239999999757856,10740736.060000000521541
FS( 39 ),2311529.020000000018626,2060831.319999999599531,2019479.200000000186265,2124209.000000000000000,2257439.439999999944121,10773487.979999998584390
FS( 40 ),2324735.619999999646097,2061071.759999999776483,2032814.959999999962747,2133200.000000000000000,2260623.320000000298023,10812445.660000000149012
FS( 41 ),2312409.460000000428408,2056743.840000000083819,2032515.279999999795109,2124042.500000000000000,2245841.020000000018626,10771552.099999999627471
FS( 42 ),2304485.500000000000000,2066601.879999999888241,1977673.839999999850988,2133866.000000000000000,2242202.300000000279397,10724829.519999999552965
FS( 43 ),2308007.260000000242144,2076219.479999999748543,1983967.120000000111759,2165168.000000000000000,2261760.419999999925494,10795122.279999999329448
FS( 44 ),2339703.100000000093132,2094492.919999999925494,1983967.120000000111759,2171994.500000000000000,2263807.200000000186265,10853964.839999999850988
FS( 45 ),2376681.580000000074506,2120460.439999999478459,1980370.959999999962747,2190642.500000000000000,2277224.979999999981374,10945380.460000000894070
