代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11487272.810000000521541
真實報酬,1487272.810000000521541

夏普值報酬,0.140027281000000
夏普值風險,0.048050495083543
夏普值,2.914169370295622

二次趨勢線,591.400777520321071 x^2 + -11823.095472928665913 x + 10000000.000000000000000
二次加權預期報酬,38248.837023791849788
風險,103425.669466307896073
二次加權趨勢值,0.369819574010607
一次趨勢線,16340.620294338214080 x + 10000000.000000000000000
一次預期報酬,16340.620294338214080
一次風險,286892.812911626591813
一次趨勢值,0.056957231268710
找到最佳解世代,2827
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),DIS[6](4),MRK[17](13),MSFT[18](3),UNH[23](2),
Stock#,AAPL[0](1),DIS[6](4),MRK[17](13),MSFT[18](3),UNH[23](2),
張數,9722,14672,23081,14701,8672,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,184.600000000093132,59.679999999934807,31.349999999860302,75.960000000195578,63.359999999869615,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2033929.780000000027940,2023181.759999999776483,1986151.399999999906868,2023374.590000000083819,1966265.919999999692664,10032903.449999999254942
FS( 3 ),2073692.760000000009313,2037120.159999999916181,1987305.449999999720603,2058951.010000000474975,1991067.839999999850988,10148137.219999998807907
FS( 4 ),2073498.320000000065193,2047537.280000000027940,1998153.519999999785796,2044985.060000000055879,1985951.359999999869615,10150125.539999999105930
FS( 5 ),2082345.340000000083819,2036973.440000000176951,1926602.419999999925494,2021757.480000000447035,2000520.319999999832362,10068199.000000000000000
FS( 6 ),2106942.000000000000000,1992370.559999999823049,1885518.239999999757856,2000588.040000000270084,2015956.479999999981374,10001375.319999998435378
FS( 7 ),2173926.580000000074506,1998239.359999999869615,1913907.869999999878928,2001176.080000000307336,2031132.479999999981374,10118382.369999999180436
FS( 8 ),2169065.580000000074506,2017459.679999999934807,1922909.459999999962747,2021757.480000000447035,1995490.559999999823049,10126682.759999999776483
FS( 9 ),2126872.100000000093132,2025089.120000000111759,1906752.759999999776483,2018817.280000000027940,2025929.280000000027940,10103460.540000000968575
FS( 10 ),2138052.400000000372529,1992517.280000000027940,1893365.779999999795109,2004263.290000000270084,2033040.319999999832362,10061239.070000000298023
FS( 11 ),2145830.000000000000000,2000000.000000000000000,1904444.659999999916181,2019846.350000000093132,2016476.800000000046566,10086597.810000000521541
FS( 12 ),2165954.540000000037253,2007189.280000000027940,1916215.969999999739230,2036458.480000000447035,1999913.280000000027940,10125731.550000000745058
FS( 13 ),2148357.720000000204891,1955837.280000000027940,1938142.919999999925494,2073946.030000000027940,2019338.559999999823049,10135622.509999999776483
FS( 14 ),2116955.660000000149012,1940725.120000000111759,1965609.309999999823049,2049983.400000000139698,2019685.439999999711290,10092958.929999999701977
FS( 15 ),2126580.439999999944121,1943512.800000000046566,1947144.509999999776483,2045573.100000000093132,1983956.800000000046566,10046767.650000000372529
FS( 16 ),2116469.560000000055879,1936323.520000000018626,1929602.949999999720603,2019699.340000000083819,1951263.359999999869615,9953358.729999998584390
