代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14321035.239999998360872
真實報酬,4321035.239999998360872

夏普值報酬,0.423403524000000
夏普值風險,0.119086336069018
夏普值,3.555433292990143

二次趨勢線,48.296013054738651 x^2 + 7038.764673064869385 x + 10000000.000000000000000
二次加權預期報酬,23169.633033347581659
風險,167763.010539864888415
二次加權趨勢值,0.138109306448348
一次趨勢線,16112.341976013545718 x + 10000000.000000000000000
一次預期報酬,16112.341976013545718
一次風險,378385.955553669948131
一次趨勢值,0.042581765362928
找到最佳解世代,1867
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),JNJ[12](3),JPM[13](7),V[25](2),
Stock#,BA[2](1),JNJ[12](3),JPM[13](7),V[25](2),
張數,34354,36033,69444,78443,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,59.419999999925494,30.459999999962747,16.000000000000000,21.589999999850988,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2473203.879999999888241,2466489.310000000055879,2442361.479999999981374,2535299.350000000093132,9917354.019999999552965
FS( 3 ),2501374.160000000149012,2490631.419999999925494,2506249.960000000428408,2568245.410000000149012,10066500.950000001117587
FS( 4 ),2504122.479999999981374,2480542.180000000167638,2520833.199999999720603,2569814.269999999552965,10075312.129999998956919
FS( 5 ),2558058.259999999776483,2460724.030000000260770,2570138.439999999944121,2557263.390000000130385,10146184.120000001043081
FS( 6 ),2562867.819999999832362,2462886.009999999776483,2580555.039999999571592,2572167.559999999590218,10178476.429999999701977
FS( 7 ),2551874.540000000037253,2461805.019999999552965,2563888.479999999981374,2520395.180000000167638,10097963.219999998807907
FS( 8 ),2549469.759999999776483,2473335.580000000074506,2567360.679999999701977,2531377.200000000186265,10121543.219999998807907
FS( 9 ),2548782.679999999701977,2466849.639999999664724,2568749.560000000055879,2516473.029999999795109,10100854.909999998286366
FS( 10 ),2535728.160000000149012,2473335.580000000074506,2576388.399999999906868,2547065.799999999813735,10132517.940000001341105
FS( 11 ),2510306.199999999720603,2462886.009999999776483,2574305.080000000074506,2531377.200000000186265,10078874.489999998360872
FS( 12 ),2529887.979999999981374,2457481.060000000055879,2576388.399999999906868,2543143.649999999906868,10106901.089999999850988
FS( 13 ),2539163.559999999590218,2443067.859999999869615,2568055.119999999646097,2523532.899999999906868,10073819.439999999478459
FS( 14 ),2536415.239999999757856,2439464.560000000055879,2595138.279999999795109,2513335.309999999590218,10084353.390000000596046
FS( 15 ),2517177.000000000000000,2442347.200000000186265,2641665.759999999776483,2500784.429999999701977,10101974.390000000596046
FS( 16 ),2501030.619999999646097,2441266.209999999962747,2627082.520000000018626,2512550.879999999888241,10081930.230000000447035
FS( 17 ),2417206.859999999869615,2440905.879999999888241,2585416.119999999646097,2493724.559999999590218,9937253.419999998062849
FS( 18 ),2442285.280000000260770,2435861.259999999776483,2581249.479999999981374,2484311.399999999906868,9943707.419999999925494
FS( 19 ),2452247.939999999944121,2431897.629999999888241,2585416.119999999646097,2503922.149999999906868,9973483.839999999850988
FS( 20 ),2457057.500000000000000,2432618.290000000037253,2578471.720000000204891,2498431.140000000130385,9966578.650000000372529
FS( 21 ),2454309.179999999701977,2427573.669999999925494,2590277.199999999720603,2510982.019999999552965,9983142.069999998435378
FS( 22 ),2433009.699999999720603,2421808.389999999664724,2562499.600000000093132,2485095.829999999608845,9902413.519999999552965
FS( 23 ),2452935.020000000018626,2429735.650000000372529,2579166.160000000149012,2514904.169999999925494,9976741.000000000000000
FS( 24 ),2434727.399999999906868,2423610.040000000037253,2570138.439999999944121,2520395.180000000167638,9948871.059999998658895
FS( 25 ),2470799.100000000093132,2423970.369999999646097,2577082.839999999850988,2502353.289999999571592,9974205.599999999627471
FS( 26 ),2501717.699999999720603,2444509.180000000167638,2686804.359999999869615,2540005.930000000167638,10173037.169999999925494
FS( 27 ),2504122.479999999981374,2445950.500000000000000,2729165.199999999720603,2543928.079999999608845,10223166.259999999776483
FS( 28 ),2441941.739999999757856,2456760.400000000372529,2691665.439999999944121,2523532.899999999906868,10113900.480000000447035
FS( 29 ),2448469.000000000000000,2457481.060000000055879,2749998.399999999906868,2578442.999999999534339,10234391.460000000894070
FS( 30 ),2437819.259999999776483,2455679.410000000149012,2772220.479999999981374,2617664.499999999534339,10283383.650000000372529
FS( 31 ),2459118.739999999757856,2485947.129999999888241,2874997.600000000093132,2646688.410000000149012,10466751.879999998956919
FS( 32 ),2448812.540000000037253,2467209.969999999739230,2886803.080000000074506,2632568.669999999925494,10435394.259999999776483
FS( 33 ),2402091.100000000093132,2459282.709999999962747,2860414.359999999869615,2625508.799999999813735,10347296.969999998807907
FS( 34 ),2420298.720000000204891,2470092.609999999869615,2865275.439999999944121,2621586.649999999906868,10377253.419999999925494
FS( 35 ),2401404.020000000018626,2471894.259999999776483,2870830.960000000428408,2643550.689999999944121,10387679.929999999701977
FS( 36 ),2399686.319999999832362,2482704.160000000149012,2864581.000000000000000,2639628.539999999571592,10386600.019999999552965
FS( 37 ),2403808.799999999813735,2488469.439999999944121,2838886.720000000204891,2647472.839999999850988,10378637.800000000745058
FS( 38 ),2405870.040000000037253,2486307.459999999962747,2863192.119999999646097,2623155.509999999776483,10378525.129999998956919
FS( 39 ),2383539.939999999944121,2497838.019999999552965,2815970.199999999720603,2638844.109999999869615,10336192.269999997690320
FS( 40 ),2413427.919999999925494,2486307.459999999962747,2794442.560000000055879,2598838.180000000167638,10293016.119999999180436
FS( 41 ),2408274.819999999832362,2486667.790000000037253,2824997.919999999925494,2626293.229999999515712,10346233.759999997913837
FS( 42 ),2391097.819999999832362,2483064.489999999757856,2811109.119999999646097,2633353.100000000093132,10318624.529999999329448
FS( 43 ),2405182.959999999962747,2490991.750000000000000,2845136.679999999701977,2681203.329999999608845,10422514.719999998807907
FS( 44 ),2388693.040000000037253,2484866.139999999664724,2841664.479999999981374,2667083.589999999850988,10382307.250000000000000
FS( 45 ),2400029.859999999869615,2486307.459999999962747,2837497.839999999850988,2716502.680000000167638,10440337.839999999850988
FS( 46 ),2402778.179999999701977,2496036.369999999646097,2904164.080000000074506,2739251.149999999906868,10542229.779999999329448
FS( 47 ),2435414.479999999981374,2509728.910000000149012,2896525.240000000223517,2751017.600000000093132,10592686.230000000447035
FS( 48 ),2424421.199999999720603,2502161.979999999981374,2893053.039999999571592,2720424.829999999608845,10540061.049999998882413
FS( 49 ),2426825.979999999981374,2465047.989999999757856,2873608.720000000204891,2681987.759999999776483,10447470.449999999254942
FS( 50 ),2416519.780000000260770,2458201.719999999739230,2900691.880000000353903,2694538.640000000130385,10469952.020000001415610
FS( 51 ),2433353.239999999757856,2449193.469999999739230,2923608.399999999906868,2726700.269999999552965,10532855.379999998956919
FS( 52 ),2468394.319999999832362,2449193.469999999739230,2890275.279999999795109,2728269.129999999888241,10536132.199999999254942
FS( 53 ),2482135.919999999925494,2471894.259999999776483,2943052.720000000204891,2743173.299999999813735,10640256.199999999254942
FS( 54 ),2524391.339999999850988,2506125.609999999869615,2974302.520000000018626,2768275.059999999590218,10773094.529999997466803
FS( 55 ),2529544.439999999944121,2558373.459999999962747,3008330.080000000074506,2795730.109999999869615,10891978.089999999850988
FS( 56 ),2551187.459999999962747,2613143.619999999646097,2986802.439999999944121,2782394.799999999813735,10933528.320000000298023
FS( 57 ),2542598.959999999962747,2589361.839999999850988,2938886.080000000074506,2744742.160000000149012,10815589.039999999105930
FS( 58 ),2531949.220000000204891,2586479.200000000186265,2922913.960000000428408,2725915.839999999850988,10767258.220000000670552
FS( 59 ),2501717.699999999720603,2554409.830000000074506,2870136.520000000018626,2679634.469999999739230,10605898.519999999552965
FS( 60 ),2497938.759999999776483,2549004.879999999888241,2896525.240000000223517,2676496.749999999534339,10619965.629999998956919
FS( 61 ),2457744.580000000074506,2563418.080000000074506,2893747.479999999981374,2697676.359999999869615,10612586.500000000000000
FS( 62 ),2442972.359999999869615,2554770.160000000149012,2858331.039999999571592,2712580.529999999795109,10568654.089999997988343
FS( 63 ),2419955.179999999701977,2551887.519999999552965,2894441.919999999925494,2721209.259999999776483,10587493.879999998956919
FS( 64 ),2431979.080000000074506,2576389.959999999962747,2974996.960000000428408,2821616.299999999813735,10804982.300000000745058
FS( 65 ),2406557.119999999646097,2554770.160000000149012,2945830.479999999981374,2812203.140000000130385,10719360.900000000372529
FS( 66 ),2418924.559999999590218,2550806.530000000260770,2935413.880000000353903,2775334.930000000167638,10680479.900000000372529
FS( 67 ),2474234.500000000000000,2558733.790000000037253,2977774.720000000204891,2821616.299999999813735,10832359.309999998658895
FS( 68 ),2408618.359999999869615,2534591.680000000167638,2811109.119999999646097,2795730.109999999869615,10550049.269999999552965
