代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11143394.200000001117587
真實報酬,1143394.200000001117587

夏普值報酬,0.105639420000000
夏普值風險,0.053528739041538
夏普值,1.973508472112988

二次趨勢線,55.273962161251205 x^2 + -8053.081607234326839 x + 10000000.000000000000000
二次加權預期報酬,10629.517603268584935
風險,191818.100763238238869
二次加權趨勢值,0.055414570162952
一次趨勢線,2455.839565565449448 x + 10000000.000000000000000
一次預期報酬,2455.839565565449448
一次風險,441375.275820873328485
一次趨勢值,0.005564062375261
找到最佳解世代,2634
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MCD[15](2),UNH[23](7),WMT[28](11),
Stock#,JNJ[12](1),MCD[15](2),UNH[23](7),WMT[28](11),
張數,24990,25982,20857,33453,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,0.399999999906868,11.959999999962747,79.979999999981374,57.310000000055879,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2498500.600000000093132,2501818.740000000223517,2455991.729999999981374,2493309.399999999906868,9949620.470000000670552
FS( 3 ),2501249.500000000000000,2507794.599999999627471,2468505.929999999701977,2505352.479999999981374,9982902.509999999776483
FS( 4 ),2479758.100000000093132,2502338.379999999888241,2433049.030000000260770,2480597.260000000242144,9895742.770000001415610
FS( 5 ),2463764.500000000000000,2482332.240000000223517,2430546.189999999944121,2444133.490000000223517,9820776.419999999925494
FS( 6 ),2448020.799999999813735,2476616.199999999720603,2438471.850000000093132,2429079.640000000130385,9792188.490000000223517
FS( 7 ),2454268.299999999813735,2461286.820000000298023,2440140.409999999683350,2424396.220000000204891,9780091.750000000000000
FS( 8 ),2471011.599999999627471,2476096.560000000055879,2472677.330000000074506,2439784.600000000093132,9859570.089999999850988
FS( 9 ),2480008.000000000000000,2483631.339999999850988,2488737.219999999739230,2440119.129999999888241,9892495.689999999478459
FS( 10 ),2457766.899999999906868,2469860.879999999888241,2453906.030000000260770,2423058.100000000093132,9804591.910000000149012
FS( 11 ),2436275.500000000000000,2450114.560000000055879,2481645.839999999850988,2406331.600000000093132,9774367.500000000000000
