代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12891990.390000000596046
真實報酬,2891990.390000000596046

夏普值報酬,0.280499039000000
夏普值風險,0.073222575633563
夏普值,3.830772634982636

二次趨勢線,42.085408855091096 x^2 + 16590.712082778900367 x + 10000000.000000000000000
二次平均預期報酬,21893.473598520376981
風險,145131.644242592417868
二次平均趨勢值,0.150852515402669
一次趨勢線,20551.938314657563751 x + 10000000.000000000000000
一次預期報酬,20551.938314657563751
一次風險,163023.479361154953949
一次趨勢值,0.126067351740958
找到最佳解世代,1849
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](2),CVX[5](1),KO[14](17),PFE[20](8),UNH[23](4),
Stock#,CAT[3](2),CVX[5](1),KO[14](17),PFE[20](8),UNH[23](4),
張數,25230,24554,64808,113507,55386,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,17.900000000139698,76.699999999953434,25.120000000111759,6.659999999916181,11.540000000037253,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2012110.400000000139698,2017187.800000000046566,2004536.560000000055879,1980703.809999999823049,2049293.540000000037253,10063832.109999999403954
FS( 3 ),2015390.300000000046566,2030692.500000000000000,2007776.960000000195578,1996594.789999999804422,2030462.299999999813735,10080916.849999999627471
FS( 4 ),2098649.300000000745058,2090604.260000000009313,2023978.960000000195578,1972758.319999999832362,2038216.339999999850988,10224207.179999999701977
FS( 5 ),2107732.100000000558794,2086675.620000000111759,2027867.439999999944121,1950056.919999999925494,2041539.500000000000000,10213871.580000000074506
FS( 6 ),2097135.500000000232831,2082255.899999999906868,2023978.960000000195578,1935301.010000000009313,2055939.859999999869615,10194611.230000000447035
FS( 7 ),2066607.199999999953434,2051808.939999999944121,2029811.680000000167638,1928490.589999999850988,2048185.819999999832362,10124904.230000000447035
FS( 8 ),2080483.699999999953434,2091340.879999999888241,2027219.360000000102445,1910329.469999999739230,2058155.299999999813735,10167528.710000000894070
FS( 9 ),2079979.100000000093132,2113930.559999999590218,2034996.320000000065193,1927355.520000000018626,2075324.959999999962747,10231586.460000000894070
FS( 10 ),2044657.100000000325963,2097970.459999999962747,2038884.800000000279397,1912599.610000000102445,2031016.160000000149012,10125128.130000002682209
FS( 11 ),2064336.500000000000000,2083729.139999999897555,2040180.960000000195578,1901248.909999999916181,1964552.959999999962747,10054048.469999998807907
FS( 12 ),2027753.000000000232831,2025290.620000000111759,2011665.439999999944121,1884222.860000000102445,1939075.399999999906868,9888007.320000000298023
FS( 13 ),2047937.000000000232831,2024799.539999999804422,2025923.200000000186265,1870602.020000000018626,1956798.919999999925494,9926060.679999999701977
FS( 14 ),2096883.200000000186265,2058192.979999999748543,2068696.480000000214204,1910329.469999999739230,1973414.720000000204891,10107516.849999999627471
FS( 15 ),2118581.000000000000000,2061139.459999999962747,2084250.399999999906868,1906924.260000000009313,1993907.540000000037253,10164802.660000000149012
FS( 16 ),2119337.900000000372529,2049108.000000000000000,2082954.240000000223517,1887628.069999999832362,2019385.100000000093132,10158413.310000000521541
FS( 17 ),2084772.800000000046566,2007366.199999999953434,2061567.600000000093132,1880817.649999999906868,1996676.839999999850988,10031201.089999999850988
FS( 18 ),2136746.599999999627471,2036339.920000000158325,2093971.600000000325963,1894438.489999999990687,2003877.020000000018626,10165373.630000000819564
FS( 19 ),2122617.799999999813735,2014732.399999999906868,2077769.600000000325963,1871737.089999999850988,1987261.220000000204891,10074118.109999999403954
FS( 20 ),2111012.000000000000000,2005892.959999999962747,2054438.719999999972060,1879682.579999999841675,2026585.280000000260770,10077611.539999999105930
FS( 21 ),2134475.900000000372529,1988214.079999999841675,2047309.840000000083819,1850170.760000000009313,2022708.260000000242144,10042878.839999999850988
FS( 22 ),2206381.400000000372529,2030692.500000000000000,2096563.920000000158325,1895573.559999999823049,2086402.160000000149012,10315613.539999999105930
FS( 23 ),2235900.500000000000000,2074889.699999999953434,2103044.720000000204891,1894438.489999999990687,2107448.839999999850988,10415722.250000000000000
FS( 24 ),2255075.299999999813735,2084465.760000000009313,2090083.120000000111759,1897843.699999999720603,2094710.060000000055879,10422177.939999999478459
FS( 25 ),2250533.900000000372529,2085939.000000000000000,2073881.120000000111759,1908059.329999999841675,2065355.479999999981374,10383768.830000000074506
FS( 26 ),2279548.400000000372529,2119086.899999999441206,2078417.680000000167638,1903519.049999999813735,2036554.760000000242144,10417126.790000000968575
FS( 27 ),2261130.500000000000000,2115158.259999999776483,2086842.720000000204891,1897843.699999999720603,2040431.780000000260770,10401406.960000000894070
FS( 28 ),2262392.000000000000000,2127680.799999999813735,2101100.480000000447035,1902383.979999999981374,2029908.439999999944121,10423465.699999999254942
FS( 29 ),2269204.099999999627471,2137011.320000000298023,2095267.760000000009313,1931895.799999999813735,2031016.160000000149012,10464395.140000000596046
FS( 30 ),2311842.799999999813735,2169913.679999999701977,2101100.480000000447035,1951191.989999999990687,2043754.939999999944121,10577803.889999998733401
FS( 31 ),2323448.600000000558794,2170159.219999999739230,2070640.719999999972060,1942111.429999999934807,2021600.540000000037253,10527960.510000001639128
FS( 32 ),2349435.500000000000000,2161074.240000000223517,2097860.080000000074506,1938706.219999999739230,1963445.240000000223517,10510521.279999999329448
FS( 33 ),2351453.900000000372529,2186855.940000000409782,2117302.480000000447035,1954597.199999999720603,1972307.000000000000000,10582516.520000001415610
FS( 34 ),2336063.600000000558794,2172860.160000000149012,2128967.920000000391155,1933030.870000000111759,1941290.839999999850988,10512213.390000000596046
FS( 35 ),2353976.900000000372529,2180471.899999999441206,2116654.399999999906868,1948921.850000000093132,1948491.020000000018626,10548516.069999998435378
FS( 36 ),2387532.799999999813735,2191030.120000000111759,2121839.040000000037253,1972758.319999999832362,1956798.919999999925494,10629959.199999999254942
FS( 37 ),2386019.000000000000000,2207972.379999999888241,2125727.520000000018626,1993189.579999999841675,1985045.780000000260770,10697954.260000001639128
FS( 38 ),2382991.400000000372529,2226633.419999999925494,2125079.439999999944121,1998864.929999999934807,1981168.760000000242144,10714737.949999999254942
FS( 39 ),2373404.000000000000000,2212883.179999999701977,2108229.360000000335276,1985244.089999999850988,1968429.979999999981374,10648190.609999999403954
FS( 40 ),2363816.599999999627471,2239155.959999999962747,2117950.560000000055879,1996594.789999999804422,1978399.459999999962747,10695917.369999997317791
FS( 41 ),2366087.299999999813735,2243575.679999999701977,2121190.959999999962747,1997729.860000000102445,1988922.799999999813735,10717506.599999997764826
FS( 42 ),2368358.000000000000000,2249223.099999999627471,2122487.120000000111759,1985244.089999999850988,1990584.379999999888241,10715896.689999997615814
FS( 43 ),2363059.700000000186265,2240629.200000000186265,2131560.240000000223517,1987514.229999999981374,2000000.000000000000000,10722763.370000001043081
FS( 44 ),2375422.400000000372529,2257571.459999999962747,2113414.000000000000000,2006810.419999999925494,2056493.720000000204891,10809712.000000001862645
FS( 45 ),2364321.200000000186265,2249223.099999999627471,2069992.640000000130385,2041997.589999999850988,2075324.959999999962747,10800859.489999998360872
FS( 46 ),2384757.500000000000000,2245294.459999999962747,2057679.120000000111759,2055618.429999999934807,2081971.280000000260770,10825320.789999999105930
FS( 47 ),2360032.100000000558794,2226878.959999999962747,2042773.280000000027940,2063563.919999999925494,2125172.359999999869615,10818420.620000001043081
FS( 48 ),2364825.799999999813735,2239155.959999999962747,2038884.800000000279397,2081725.039999999804422,2129603.240000000223517,10854194.839999999850988
FS( 49 ),2356247.600000000558794,2220003.839999999850988,2043421.360000000102445,2072644.479999999981374,2129603.240000000223517,10821920.520000001415610
FS( 50 ),2370376.400000000372529,2254870.519999999552965,2031755.920000000158325,2068104.199999999720603,2164496.419999999925494,10889603.459999999031425
FS( 51 ),2358770.599999999627471,2270094.000000000000000,2042773.280000000027940,2085130.250000000000000,2152311.500000000000000,10909079.629999998956919
FS( 52 ),2375170.100000000558794,2263464.419999999925494,2054438.719999999972060,2068104.199999999720603,2193297.140000000130385,10954474.580000000074506
FS( 53 ),2371890.200000000186265,2279424.519999999552965,2046013.680000000167638,2081725.039999999804422,2258098.760000000242144,11037152.199999999254942
FS( 54 ),2427900.799999999813735,2292192.599999999627471,2057031.040000000037253,2086265.319999999832362,2264191.220000000204891,11127580.980000000447035
FS( 55 ),2410492.100000000558794,2282862.080000000074506,2055086.800000000279397,2079454.899999999906868,2246467.700000000186265,11074363.580000001937151
FS( 56 ),2361798.200000000186265,2276478.040000000037253,2039532.880000000121072,2070374.339999999850988,2232621.200000000186265,10980804.660000000149012
FS( 57 ),2340100.400000000372529,2302750.820000000298023,2034348.240000000223517,2083995.179999999934807,2238159.799999999813735,10999354.440000001341105
FS( 58 ),2386019.000000000000000,2310608.099999999627471,2049902.160000000149012,2094210.809999999823049,2204928.200000000186265,11045668.269999999552965
FS( 59 ),2381477.600000000558794,2310117.019999999552965,2040180.960000000195578,2096480.949999999720603,2249790.859999999869615,11078047.389999998733401
FS( 60 ),2415790.400000000372529,2323867.259999999776483,2040180.960000000195578,2083995.179999999934807,2229298.040000000037253,11093131.839999999850988
FS( 61 ),2437992.799999999813735,2326568.200000000186265,2031755.920000000158325,2097616.019999999552965,2342285.479999999981374,11236218.419999999925494
FS( 62 ),2414024.300000000745058,2292683.679999999701977,2016202.000000000000000,2060158.709999999729916,2266960.520000000018626,11050029.209999999031425
FS( 63 ),2447580.200000000186265,2330987.919999999925494,2036940.560000000055879,2068104.199999999720603,2273606.839999999850988,11157219.719999998807907
FS( 64 ),2472810.200000000186265,2362662.580000000074506,2043421.360000000102445,2181611.200000000186265,2330100.560000000055879,11390605.900000000372529
FS( 65 ),2500058.600000000558794,2369046.620000000111759,2036940.560000000055879,2152099.379999999888241,2323454.240000000223517,11381599.400000000372529
FS( 66 ),2496021.800000000745058,2389426.440000000409782,2027867.439999999944121,2175935.850000000558794,2383824.979999999981374,11473076.510000001639128
FS( 67 ),2512673.600000000558794,2384515.639999999664724,2027219.360000000102445,2190691.759999999776483,2353362.680000000167638,11468463.039999999105930
FS( 68 ),2534876.000000000000000,2398020.339999999850988,2025923.200000000186265,2161179.939999999478459,2315700.200000000186265,11435699.679999999701977
FS( 69 ),2538408.200000000186265,2399984.660000000149012,2037588.640000000130385,2174800.780000000260770,2324561.959999999962747,11475344.240000002086163
FS( 70 ),2517719.600000000558794,2363153.660000000149012,2046661.760000000009313,2162315.009999999776483,2330100.560000000055879,11419950.590000001713634
FS( 71 ),2538155.900000000372529,2374448.500000000000000,2058975.280000000027940,2160044.870000000111759,2350039.520000000018626,11481664.070000000298023
FS( 72 ),2612332.100000000558794,2368310.000000000000000,2060271.439999999944121,2137343.469999999739230,2347270.220000000204891,11525527.230000002309680
