代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14572311.250000000000000
真實報酬,4572311.250000000000000

夏普值報酬,0.448531125000000
夏普值風險,0.106425711393058
夏普值,4.214499664873810

二次趨勢線,-87.123854563935126 x^2 + 48114.787282979115844 x + 10000000.000000000000000
二次平均預期報酬,37224.305462487231125
風險,176170.444917636516038
二次平均趨勢值,0.211297107638517
一次趨勢線,39979.728573696069361 x + 10000000.000000000000000
一次預期報酬,39979.728573696069361
一次風險,232209.007687442819588
一次趨勢值,0.172171307960238
找到最佳解世代,2469
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
HD[9](1),
Stock#,HD[9](1),
張數,281373,
分配資金,10000000.000000000000000,
剩餘資金,3.580000000074506,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10126617.850000001490116,10126617.850000001490116
FS( 3 ),10256049.430000001564622,10256049.430000001564622
FS( 4 ),10239167.050000000745058,10239167.050000000745058
FS( 5 ),10506471.400000000372529,10506471.400000000372529
FS( 6 ),10675295.199999999254942,10675295.199999999254942
FS( 7 ),10455824.259999999776483,10455824.259999999776483
FS( 8 ),10467079.180000001564622,10467079.180000001564622
FS( 9 ),10709059.960000000894070,10709059.960000000894070
FS( 10 ),10762520.830000000074506,10762520.830000000074506
FS( 11 ),10711873.689999999478459,10711873.689999999478459
FS( 12 ),10647157.900000000372529,10647157.900000000372529
FS( 13 ),10585255.839999999850988,10585255.839999999850988
FS( 14 ),10658412.820000000298023,10658412.820000000298023
FS( 15 ),10427686.960000000894070,10427686.960000000894070
FS( 16 ),10438941.880000000819564,10438941.880000000819564
FS( 17 ),10275745.540000000968575,10275745.540000000968575
FS( 18 ),10261676.890000000596046,10261676.890000000596046
FS( 19 ),10495216.479999998584390,10495216.479999998584390
FS( 20 ),10962295.660000000149012,10962295.660000000149012
FS( 21 ),11035452.640000000596046,11035452.640000000596046
FS( 22 ),11069217.400000000372529,11069217.400000000372529
FS( 23 ),11238041.199999999254942,11238041.199999999254942
FS( 24 ),11319639.369999999180436,11319639.369999999180436
FS( 25 ),11344962.939999999478459,11344962.939999999478459
FS( 26 ),11460325.869999999180436,11460325.869999999180436
FS( 27 ),11229600.009999999776483,11229600.009999999776483
FS( 28 ),11319639.369999999180436,11319639.369999999180436
FS( 29 ),11268992.229999998584390,11268992.229999998584390
FS( 30 ),11117050.809999998658895,11117050.809999998658895
FS( 31 ),11012942.800000000745058,11012942.800000000745058
FS( 32 ),11091727.240000000223517,11091727.240000000223517
FS( 33 ),11373100.240000000223517,11373100.240000000223517
FS( 34 ),11311198.180000001564622,11311198.180000001564622
FS( 35 ),11803600.930000001564622,11803600.930000001564622
FS( 36 ),11817669.580000000074506,11817669.580000000074506
FS( 37 ),11795159.740000000223517,11795159.740000000223517
FS( 38 ),11842993.150000000372529,11842993.150000000372529
FS( 39 ),11879571.640000000596046,11879571.640000000596046
FS( 40 ),11685424.269999999552965,11685424.269999999552965
FS( 41 ),11820483.309999998658895,11820483.309999998658895
FS( 42 ),11828924.500000000000000,11828924.500000000000000
FS( 43 ),11857061.800000000745058,11857061.800000000745058
FS( 44 ),12025885.600000001490116,12025885.600000001490116
FS( 45 ),12124366.150000000372529,12124366.150000000372529
FS( 46 ),12155317.180000001564622,12155317.180000001564622
FS( 47 ),12163758.369999999180436,12163758.369999999180436
FS( 48 ),12248170.269999999552965,12248170.269999999552965
FS( 49 ),12228474.160000000149012,12228474.160000000149012
FS( 50 ),12208778.050000000745058,12208778.050000000745058
FS( 51 ),12242542.809999998658895,12242542.809999998658895
FS( 52 ),12307258.600000001490116,12307258.600000001490116
FS( 53 ),12628023.820000000298023,12628023.820000000298023
FS( 54 ),12777151.509999999776483,12777151.509999999776483
FS( 55 ),12523915.809999998658895,12523915.809999998658895
FS( 56 ),12628023.820000000298023,12628023.820000000298023
FS( 57 ),12650533.660000000149012,12650533.660000000149012
FS( 58 ),12734945.559999998658895,12734945.559999998658895
FS( 59 ),12647719.930000001564622,12647719.930000001564622
FS( 60 ),12625210.089999999850988,12625210.089999999850988
FS( 61 ),12597072.790000000968575,12597072.790000000968575
FS( 62 ),12490151.050000000745058,12490151.050000000745058
FS( 63 ),12512660.890000000596046,12512660.890000000596046
FS( 64 ),12509847.160000000149012,12509847.160000000149012
FS( 65 ),12709621.990000000223517,12709621.990000000223517
FS( 66 ),12718063.180000001564622,12718063.180000001564622
FS( 67 ),12791220.160000000149012,12791220.160000000149012
FS( 68 ),12709621.990000000223517,12709621.990000000223517
FS( 69 ),12737759.290000000968575,12737759.290000000968575
FS( 70 ),12754641.669999999925494,12754641.669999999925494
FS( 71 ),12923465.470000000670552,12923465.470000000670552
FS( 72 ),12960043.960000000894070,12960043.960000000894070
FS( 73 ),12861563.410000000149012,12861563.410000000149012
FS( 74 ),12923465.470000000670552,12923465.470000000670552
FS( 75 ),13142936.410000000149012,13142936.410000000149012
FS( 76 ),13202024.740000000223517,13202024.740000000223517
FS( 77 ),13103544.189999999478459,13103544.189999999478459
FS( 78 ),13210465.930000001564622,13210465.930000001564622
FS( 79 ),13218907.119999999180436,13218907.119999999180436
FS( 80 ),13204838.470000000670552,13204838.470000000670552
FS( 81 ),13289250.369999999180436,13289250.369999999180436
FS( 82 ),13384917.189999999478459,13384917.189999999478459
FS( 83 ),13353966.160000000149012,13353966.160000000149012
FS( 84 ),13339897.509999999776483,13339897.509999999776483
FS( 85 ),13334270.050000000745058,13334270.050000000745058
FS( 86 ),13052897.050000000745058,13052897.050000000745058
FS( 87 ),13334270.050000000745058,13334270.050000000745058
FS( 88 ),13455260.439999999478459,13455260.439999999478459
FS( 89 ),13534044.880000000819564,13534044.880000000819564
FS( 90 ),13671917.650000000372529,13671917.650000000372529
FS( 91 ),13826672.800000000745058,13826672.800000000745058
FS( 92 ),13919525.890000000596046,13919525.890000000596046
FS( 93 ),13843555.180000001564622,13843555.180000001564622
FS( 94 ),13801349.229999998584390,13801349.229999998584390
FS( 95 ),13739447.169999999925494,13739447.169999999925494
FS( 96 ),13894202.320000000298023,13894202.320000000298023
FS( 97 ),14009565.250000000000000,14009565.250000000000000
FS( 98 ),13978614.220000000670552,13978614.220000000670552
FS( 99 ),13939222.000000000000000,13939222.000000000000000
FS( 100 ),14105232.070000000298023,14105232.070000000298023
FS( 101 ),14079908.500000000000000,14079908.500000000000000
FS( 102 ),14043330.009999999776483,14043330.009999999776483
FS( 103 ),14043330.009999999776483,14043330.009999999776483
FS( 104 ),14155879.210000000894070,14155879.210000000894070
FS( 105 ),14065839.850000001490116,14065839.850000001490116
FS( 106 ),14068653.580000000074506,14068653.580000000074506
FS( 107 ),14026447.630000000819564,14026447.630000000819564
FS( 108 ),14243104.839999999850988,14243104.839999999850988
FS( 109 ),14231849.919999999925494,14231849.919999999925494
FS( 110 ),13888574.859999999403954,13888574.859999999403954
FS( 111 ),13998310.330000000074506,13998310.330000000074506
FS( 112 ),14245918.570000000298023,14245918.570000000298023
FS( 113 ),14338771.660000000149012,14338771.660000000149012
