代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12459638.919999999925494
真實報酬,2459638.919999999925494

夏普值報酬,0.237263892000000
夏普值風險,0.056828594032207
夏普值,4.175079395163846

二次趨勢線,12.608860866603884 x^2 + 14474.078702215254452 x + 10000000.000000000000000
二次平均預期報酬,16113.230614873757077
風險,157984.749229594774079
二次平均趨勢值,0.101992316938497
一次趨勢線,15698.696057811450373 x + 10000000.000000000000000
一次預期報酬,15698.696057811450373
一次風險,159750.387162955361418
一次趨勢值,0.098270159694811
找到最佳解世代,2431
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),GS[8](4),NKE[19](1),
Stock#,AAPL[0](2),GS[8](4),NKE[19](1),
張數,39447,20785,91424,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,61.500000000000000,42.549999999813735,13.959999999962747,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3339250.050000000279397,3302363.349999999627471,3336075.720000000204891,9977690.120000001043081
FS( 3 ),3386586.449999999720603,3249777.299999999813735,3350703.560000000055879,9987068.310000000521541
FS( 4 ),3349900.740000000223517,3212156.449999999720603,3303163.080000000074506,9865221.269999999552965
FS( 5 ),3338066.640000000130385,3232525.750000000000000,3299506.120000000111759,9870099.510000001639128
FS( 6 ),3313609.500000000000000,3271601.549999999813735,3339732.680000000167638,9924944.730000000447035
FS( 7 ),3299803.050000000279397,3267444.549999999348074,3358017.479999999515712,9925266.079999998211861
FS( 8 ),3340827.929999999701977,3316289.300000000279397,3411957.640000000130385,10069075.870000001043081
FS( 9 ),3345956.039999999571592,3331462.349999999627471,3410129.159999999683350,10087548.549999998882413
FS( 10 ),3346744.979999999981374,3314210.799999999348074,3363502.919999999925494,10024459.699999999254942
FS( 11 ),3318343.140000000130385,3255804.949999999720603,3334247.239999999757856,9908396.330000000074506
FS( 12 ),3367257.419999999925494,3251440.100000000093132,3379959.239999999757856,9998657.759999999776483
FS( 13 ),3407098.890000000130385,3277213.499999999534339,3404643.720000000204891,10088957.109999999403954
FS( 14 ),3407887.830000000074506,3249777.299999999813735,3348875.080000000074506,10006541.210000000894070
FS( 15 ),3416960.640000000130385,3312132.299999999813735,3391844.359999999869615,10120938.299999998882413
FS( 16 ),3422088.750000000000000,3322524.799999999813735,3422928.519999999552965,10167543.070000000298023
FS( 17 ),3460746.810000000055879,3328968.149999999906868,3466812.040000000037253,10256528.000000000000000
FS( 18 ),3525834.359999999869615,3362432.000000000000000,3502467.400000000372529,10390734.759999999776483
FS( 19 ),3516367.080000000074506,3350376.699999999720603,3486925.319999999832362,10353670.099999999627471
FS( 20 ),3580665.689999999944121,3341023.450000000186265,3491496.519999999552965,10413186.660000000149012
FS( 21 ),3567253.710000000428408,3321693.399999999906868,3516181.000000000000000,10405129.109999999403954
FS( 22 ),3542796.570000000298023,3326266.099999999627471,3507038.600000000093132,10376102.269999999552965
FS( 23 ),3592894.259999999776483,3363055.550000000279397,3454012.680000000167638,10409963.490000000223517
FS( 24 ),3633919.140000000130385,3375318.699999999720603,3480525.640000000130385,10489764.480000000447035
FS( 25 ),3648120.060000000055879,3379267.850000000093132,3468640.519999999552965,10496029.429999999701977
FS( 26 ),3637863.839999999850988,3454301.699999999720603,3485096.839999999850988,10577263.379999998956919
FS( 27 ),3696245.399999999906868,3450352.549999999813735,3505210.120000000111759,10651809.070000000298023
FS( 28 ),3717941.250000000000000,3457835.149999999906868,3488753.799999999813735,10664531.199999999254942
FS( 29 ),3702556.919999999925494,3438505.100000000093132,3434813.640000000130385,10575876.660000000149012
FS( 30 ),3640625.130000000353903,3449521.149999999906868,3418357.319999999832362,10508504.599999999627471
FS( 31 ),3600783.660000000149012,3448066.199999999720603,3411043.400000000372529,10459894.259999999776483
FS( 32 ),3637074.899999999906868,3447234.799999999813735,3408300.680000000167638,10492611.379999998956919
