代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12902067.959999997168779
真實報酬,2902067.959999997168779

夏普值報酬,0.281506796000000
夏普值風險,0.078625189321299
夏普值,3.580363982967751

二次趨勢線,150.691428750697810 x^2 + 4360.857436472914742 x + 10000000.000000000000000
二次平均預期報酬,23197.286030310136994
風險,169301.593815645552240
二次平均趨勢值,0.137017528940513
一次趨勢線,18431.442651146513526 x + 10000000.000000000000000
一次預期報酬,18431.442651146513526
一次風險,311649.957567089644726
一次趨勢值,0.059141489365288
找到最佳解世代,1807
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](5),HD[9](1),UNH[23](2),WBA[27](3),
Stock#,BA[2](5),HD[9](1),UNH[23](2),WBA[27](3),
張數,19923,27427,28938,41659,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,61.959999999962747,28.949999999720603,46.180000000167638,43.410000000149012,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2509164.580000000074506,2441031.949999999720603,2511575.200000000186265,2508748.390000000130385,9970520.119999999180436
FS( 3 ),2499601.540000000037253,2466539.060000000055879,2519388.460000000428408,2602064.550000000279397,10087593.610000001266599
FS( 4 ),2484260.830000000074506,2512616.419999999925494,2539355.680000000167638,2664136.460000000428408,10200369.390000000596046
FS( 5 ),2549807.500000000000000,2490949.089999999385327,2543985.760000000242144,2622894.050000000279397,10207636.400000000372529
FS( 6 ),2554389.790000000037253,2439112.060000000055879,2562795.460000000428408,2608313.399999999906868,10164610.710000000894070
FS( 7 ),2554589.020000000018626,2447888.699999999720603,2524886.680000000167638,2637891.290000000037253,10165255.690000001341105
FS( 8 ),2543033.680000000167638,2447065.889999999664724,2519967.220000000204891,2642890.370000000111759,10152957.160000000149012
FS( 9 ),2529286.810000000055879,2436643.629999999888241,2493923.020000000484288,2617061.790000000037253,10076915.250000000000000
FS( 10 ),2516536.089999999850988,2451454.209999999497086,2489582.320000000298023,2612895.890000000130385,10070468.509999999776483
FS( 11 ),2536658.319999999832362,2475864.239999999757856,2522282.260000000242144,2651222.170000000391155,10186026.990000000223517
FS( 12 ),2545424.439999999944121,2501919.889999999664724,2517362.799999999813735,2654971.479999999981374,10219678.609999999403954
FS( 13 ),2561761.300000000279397,2525781.379999999888241,2535883.120000000111759,2632059.030000000260770,10255484.830000000074506
FS( 14 ),2577102.009999999776483,2532638.129999999888241,2540802.580000000074506,2619561.330000000074506,10270104.050000000745058
FS( 15 ),2562358.990000000223517,2520295.979999999515712,2539934.439999999944121,2517080.190000000409782,10139669.600000001490116
FS( 16 ),2537853.699999999720603,2509325.179999999701977,2505787.600000000093132,2545408.310000000055879,10098374.789999999105930
FS( 17 ),2561761.300000000279397,2551288.489999999757856,2552667.160000000149012,2562905.090000000316650,10228622.040000000968575
FS( 18 ),2533072.180000000167638,2520570.250000000000000,2493923.020000000484288,2519996.320000000298023,10067561.769999999552965
FS( 19 ),2563952.830000000074506,2546351.629999999888241,2506076.979999999981374,2507082.030000000260770,10123463.469999998807907
FS( 20 ),2565546.670000000391155,2547448.709999999497086,2503472.560000000521541,2482919.810000000055879,10099387.750000000000000
FS( 21 ),2537853.699999999720603,2516181.929999999701977,2495948.680000000167638,2469172.340000000316650,10019156.649999998509884
FS( 22 ),2483862.370000000111759,2496434.489999999757856,2456303.620000000111759,2459590.770000000018626,9896191.250000000000000
FS( 23 ),2473900.870000000111759,2529895.429999999701977,2456882.380000000353903,2489585.250000000000000,9950263.929999999701977
FS( 24 ),2517532.239999999757856,2565550.529999999795109,2489292.939999999944121,2531660.840000000316650,10104036.549999998882413
FS( 25 ),2515539.939999999944121,2557870.969999999739230,2462380.600000000093132,2526661.760000000242144,10062453.269999999552965
FS( 26 ),2456966.319999999832362,2536203.639999999664724,2436336.399999999906868,2492917.970000000204891,9922424.330000000074506
FS( 27 ),2490038.500000000000000,2580635.379999999888241,2506655.740000000223517,2560405.550000000279397,10137735.169999999925494
FS( 28 ),2445809.439999999944121,2552659.839999999385327,2458039.899999999906868,2564154.859999999869615,10020664.039999999105930
FS( 29 ),2420706.459999999962747,2538397.799999999813735,2471062.000000000000000,2624143.820000000298023,10054310.080000000074506
FS( 30 ),2399787.310000000055879,2484915.149999999441206,2429391.280000000260770,2528328.120000000111759,9842421.859999999403954
FS( 31 ),2436445.629999999888241,2471201.649999999441206,2396691.339999999850988,2528328.120000000111759,9832666.739999998360872
FS( 32 ),2394607.330000000074506,2409490.899999999441206,2377592.260000000242144,2539159.460000000428408,9720849.950000001117587
FS( 33 ),2396599.629999999888241,2437740.709999999497086,2471062.000000000000000,2515830.420000000391155,9821232.759999999776483
FS( 34 ),2455372.479999999981374,2475041.429999999701977,2551799.020000000484288,2510831.340000000316650,9993044.270000001415610
FS( 35 ),2476690.089999999850988,2519198.899999999441206,2562216.700000000186265,2507915.210000000428408,10066020.900000000372529
FS( 36 ),2532673.720000000204891,2583652.349999999627471,2631957.280000000260770,2564154.859999999869615,10312438.210000000894070
FS( 37 ),2419710.310000000055879,2560065.129999999888241,2597810.439999999944121,2562071.910000000149012,10139657.789999999105930
FS( 38 ),2431265.649999999906868,2600108.549999999813735,2623565.260000000242144,2585817.540000000037253,10240757.000000000000000
FS( 39 ),2435449.479999999981374,2605319.679999999701977,2651924.500000000000000,2609979.760000000242144,10302673.419999999925494
FS( 40 ),2433058.720000000204891,2618484.639999999664724,2666104.120000000111759,2629142.899999999906868,10346790.379999998956919
FS( 41 ),2462743.989999999757856,2649202.879999999888241,2680862.500000000000000,2653721.710000000428408,10446531.080000000074506
FS( 42 ),2452184.799999999813735,2644540.289999999571592,2690122.660000000149012,2617478.379999999888241,10404326.129999998956919
FS( 43 ),2466927.819999999832362,2674709.989999999757856,2716745.620000000111759,2622894.050000000279397,10481277.480000000447035
FS( 44 ),2488643.889999999664724,2674709.989999999757856,2749445.560000000521541,2675384.390000000130385,10588183.830000000074506
FS( 45 ),2510957.649999999906868,2635489.379999999888241,2745104.860000000335276,2707045.230000000447035,10598597.120000001043081
FS( 46 ),2507172.280000000260770,2631923.869999999646097,2748577.420000000391155,2717876.569999999832362,10605550.140000000596046
FS( 47 ),2474897.020000000018626,2626987.009999999776483,2772306.580000000074506,2735373.350000000093132,10609563.959999999031425
FS( 48 ),2482069.299999999813735,2668401.779999999795109,2784171.160000000149012,2776615.760000000242144,10711258.000000000000000
FS( 49 ),2479479.310000000055879,2678275.500000000000000,2708932.360000000335276,2787863.690000000409782,10654550.860000001266599
FS( 50 ),2483264.680000000167638,2692263.269999999552965,2741921.680000000167638,2823690.430000000167638,10741140.059999998658895
FS( 51 ),2497609.239999999757856,2691714.729999999515712,2769123.399999999906868,2812025.910000000149012,10770473.279999999329448
FS( 52 ),2507769.970000000204891,2701314.179999999701977,2768834.020000000484288,2809526.370000000111759,10787444.540000000968575
FS( 53 ),2560765.149999999906868,2715301.949999999720603,2775200.380000000353903,2789530.049999999813735,10840797.530000001192093
FS( 54 ),2567339.740000000223517,2694457.429999999701977,2752339.360000000335276,2788280.280000000260770,10802416.810000000521541
FS( 55 ),2558573.619999999646097,2688697.759999999776483,2791695.040000000037253,2772449.859999999869615,10811416.279999999329448
FS( 56 ),2603201.139999999664724,2632472.409999999683350,2841468.399999999906868,2835354.950000000186265,10912496.899999998509884
FS( 57 ),2622127.990000000223517,2652219.849999999627471,2802980.860000000335276,2824107.020000000484288,10901435.720000000670552
FS( 58 ),2623921.059999999590218,2676081.339999999385327,2802691.479999999981374,2805360.470000000204891,10908054.349999999627471
FS( 59 ),2645437.899999999906868,2695554.509999999776483,2798640.160000000149012,2815775.220000000204891,10955407.790000000968575
FS( 60 ),2681896.990000000223517,2698845.750000000000000,2804138.380000000353903,2821607.480000000447035,11006488.600000001490116
