代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12095403.480000000447035
真實報酬,2095403.480000000447035

夏普值報酬,0.200840348000000
夏普值風險,0.061063418557332
夏普值,3.289045270392657

二次趨勢線,-155.946350137008380 x^2 + 36975.636157425644342 x + 10000000.000000000000000
二次平均預期報酬,17482.342390299578256
風險,188071.846848044602666
二次平均趨勢值,0.092955658612874
一次趨勢線,22414.380572343568929 x + 10000000.000000000000000
一次預期報酬,22414.380572343568929
一次風險,329684.409579618659336
一次趨勢值,0.067987384058968
找到最佳解世代,2311
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),PG[21](2),
Stock#,MCD[15](1),PG[21](2),
張數,53493,72568,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,9.290000000037253,64.799999999813735,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5137477.010000000707805,5066036.879999999888241,10203513.890000000596046
FS( 3 ),5135872.220000000670552,5074745.040000000037253,10210617.260000001639128
FS( 4 ),5073820.339999999850988,4989840.480000000447035,10063660.820000000298023
FS( 5 ),5177061.830000000074506,5078373.440000000409782,10255435.269999999552965
FS( 6 ),5104846.280000000260770,4969521.440000000409782,10074367.720000000670552
FS( 7 ),5095217.540000000037253,4957910.559999999590218,10053128.099999999627471
FS( 8 ),5210762.419999999925494,4965167.360000000335276,10175929.780000001192093
FS( 9 ),5187225.500000000000000,4939042.879999999888241,10126268.379999998956919
FS( 10 ),5252486.959999999962747,5039912.400000000372529,10292399.359999999403954
FS( 11 ),5279233.459999999962747,5087081.599999999627471,10366315.059999998658895
FS( 12 ),5233764.410000000149012,5097241.119999999180436,10331005.529999999329448
FS( 13 ),5191504.939999999478459,5075470.719999999739230,10266975.660000000149012
FS( 14 ),5236973.990000000223517,5126994.000000000000000,10363967.990000000223517
FS( 15 ),5199528.890000000596046,5093612.719999999739230,10293141.609999999403954
FS( 16 ),5209157.629999999888241,5098692.480000000447035,10307850.109999999403954
FS( 17 ),5204343.260000000707805,5178517.279999999329448,10382860.539999999105930
FS( 18 ),5220391.160000000149012,5273581.360000000335276,10493972.519999999552965
FS( 19 ),5133197.569999999366701,5208270.159999999217689,10341467.729999998584390
FS( 20 ),5214506.930000000633299,5245279.839999999850988,10459786.769999999552965
FS( 21 ),5270674.580000000074506,5220606.719999999739230,10491281.300000000745058
FS( 22 ),5284047.830000000074506,5221332.400000000372529,10505380.230000000447035
FS( 23 ),5338075.760000000707805,5255439.360000000335276,10593515.120000001043081
FS( 24 ),5411896.100000000558794,5313493.759999999776483,10725389.859999999403954
FS( 25 ),5450945.990000000223517,5326556.000000000000000,10777501.990000000223517
FS( 26 ),5443991.899999999441206,5349777.759999999776483,10793769.660000000149012
FS( 27 ),5507113.640000000596046,5399124.000000000000000,10906237.640000000596046
FS( 28 ),5496949.970000000670552,5404929.440000000409782,10901879.410000000149012
FS( 29 ),5522626.609999999403954,5394044.239999999292195,10916670.849999997764826
FS( 30 ),5530115.629999999888241,5378079.279999999329448,10908194.910000000149012
FS( 31 ),5500159.549999999813735,5385336.079999999143183,10885495.629999998956919
FS( 32 ),5545093.669999999925494,5389690.159999999217689,10934783.829999998211861
FS( 33 ),5607145.549999999813735,5435408.000000000000000,11042553.550000000745058
FS( 34 ),5589492.859999999403954,5454275.679999999701977,11043768.539999999105930
FS( 35 ),5554722.410000000149012,5401301.040000000037253,10956023.449999999254942
FS( 36 ),5485181.510000000707805,5340343.919999999925494,10825525.429999999701977
FS( 37 ),5930778.200000000186265,5431779.599999999627471,11362557.800000000745058
FS( 38 ),6022786.160000000149012,5589977.839999999850988,11612764.000000000000000
FS( 39 ),6000854.030000000260770,5623359.119999999180436,11624213.149999998509884
FS( 40 ),5971967.810000000521541,5608845.520000000484288,11580813.330000001937151
FS( 41 ),6041508.709999999962747,5552242.480000000447035,11593751.190000001341105
FS( 42 ),6024390.950000000186265,5589252.159999999217689,11613643.109999999403954
FS( 43 ),6004598.540000000037253,5542808.639999999664724,11547407.179999999701977
FS( 44 ),5997109.519999999552965,5558773.599999999627471,11555883.119999999180436
FS( 45 ),5995504.729999999515712,5591429.199999999254942,11586933.929999999701977
FS( 46 ),6012622.490000000223517,5592154.879999999888241,11604777.370000001043081
FS( 47 ),6036694.339999999850988,5543534.320000000298023,11580228.660000000149012
FS( 48 ),6061301.120000000111759,5484028.559999999590218,11545329.679999999701977
FS( 49 ),6040973.780000000260770,5471692.000000000000000,11512665.780000001192093
FS( 50 ),6056486.750000000000000,5498542.159999999217689,11555028.910000000149012
FS( 51 ),6090187.339999999850988,5512330.079999999143183,11602517.419999998062849
FS( 52 ),5997109.519999999552965,5417991.679999999701977,11415101.199999999254942
FS( 53 ),5882634.500000000000000,5367194.079999999143183,11249828.579999998211861
FS( 54 ),5940941.870000000111759,5464435.199999999254942,11405377.070000000298023
FS( 55 ),5934522.709999999962747,5447744.559999999590218,11382267.269999999552965
FS( 56 ),6019576.580000000074506,5507976.000000000000000,11527552.580000000074506
FS( 57 ),6060766.189999999478459,5531197.759999999776483,11591963.949999999254942
FS( 58 ),6093396.919999999925494,5502170.559999999590218,11595567.480000000447035
FS( 59 ),6123353.000000000000000,5513055.759999999776483,11636408.759999999776483
