代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11422568.830000001937151
真實報酬,1422568.830000001937151

夏普值報酬,0.133556883000000
夏普值風險,0.052934135139683
夏普值,2.523076699894467

二次趨勢線,25.518751251481088 x^2 + 10896.376213842577272 x + 10000000.000000000000000
二次平均預期報酬,14188.295125283639209
風險,170911.267390641325619
二次平均趨勢值,0.083015563232905
一次趨勢線,13355.708630172050107 x + 10000000.000000000000000
一次預期報酬,13355.708630172050107
一次風險,177308.994076273113023
一次趨勢值,0.075324484805474
找到最佳解世代,1506
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),PG[21](3),
Stock#,AAPL[0](1),PG[21](3),
張數,53395,61751,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,92.200000000186265,21.530000000260770,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5082228.300000000745058,5008027.629999999888241,10090255.929999999701977
FS( 3 ),5029367.250000000000000,5038903.129999999888241,10068270.379999998956919
FS( 4 ),4978642.000000000000000,5020377.830000000074506,9999019.830000000074506
FS( 5 ),4950876.600000000558794,5071631.160000000149012,10022507.760000001639128
FS( 6 ),4954614.250000000931323,5071013.650000000372529,10025627.900000002235174
FS( 7 ),4988253.100000000558794,5093244.010000000707805,10081497.110000001266599
FS( 8 ),4939663.650000000372529,5072866.180000000633299,10012529.830000001937151
FS( 9 ),4823796.500000000000000,5088921.440000000409782,9912717.940000001341105
FS( 10 ),4833407.599999999627471,5016055.260000000707805,9849462.859999999403954
FS( 11 ),5012814.799999999813735,5040755.660000000149012,10053570.460000000894070
FS( 12 ),4991990.750000000000000,4978387.150000000372529,9970377.900000000372529
FS( 13 ),5049123.400000000372529,4930838.879999999888241,9979962.280000001192093
FS( 14 ),5029901.200000000186265,4951834.219999999739230,9981735.419999999925494
FS( 15 ),5084364.100000000558794,4941336.549999999813735,10025700.650000000372529
FS( 16 ),5148972.050000000745058,4952451.730000000447035,10101423.780000001192093
FS( 17 ),5227462.700000000186265,5000000.000000000000000,10227462.699999999254942
FS( 18 ),5319302.100000000558794,5031493.010000000707805,10350795.110000001266599
FS( 19 ),5361484.150000000372529,5015437.750000000000000,10376921.900000000372529
FS( 20 ),5358280.450000000186265,5028405.460000000894070,10386685.910000000149012
FS( 21 ),5332116.900000000372529,5004322.570000000298023,10336439.470000000670552
FS( 22 ),5257363.899999999441206,5050635.820000000298023,10307999.719999998807907
FS( 23 ),5217851.600000000558794,5060515.980000000447035,10278367.580000001937151
FS( 24 ),5228530.600000000558794,5092626.500000000000000,10321157.100000001490116
FS( 25 ),5266441.049999999813735,5111151.799999999813735,10377592.849999999627471
FS( 26 ),5287799.049999999813735,5083363.849999999627471,10371162.899999998509884
FS( 27 ),5282993.500000000000000,5103741.680000000633299,10386735.179999999701977
FS( 28 ),5320903.950000000186265,5135852.200000000186265,10456756.150000000372529
FS( 29 ),5277120.049999999813735,5137704.730000000447035,10414824.780000001192093
FS( 30 ),5197561.500000000000000,5098801.599999999627471,10296363.099999999627471
FS( 31 ),5203968.899999999441206,5146967.379999999888241,10350936.279999999329448
FS( 32 ),5186882.500000000000000,5122266.980000000447035,10309149.480000000447035
FS( 33 ),5208774.450000000186265,5150672.440000000409782,10359446.890000000596046
FS( 34 ),5090237.549999999813735,5133382.160000000149012,10223619.710000000894070
FS( 35 ),5077956.700000000186265,5127824.570000000298023,10205781.269999999552965
FS( 36 ),5121206.650000000372529,5150672.440000000409782,10271879.089999999850988
FS( 37 ),5101984.450000000186265,5160552.599999999627471,10262537.050000000745058
FS( 38 ),5131351.700000000186265,5200073.240000000223517,10331424.940000001341105
FS( 39 ),4987185.200000000186265,5079658.790000000968575,10066843.990000002086163
FS( 40 ),4914568.000000000931323,5016055.260000000707805,9930623.260000001639128
FS( 41 ),4997330.250000000000000,5092008.990000000223517,10089339.240000000223517
FS( 42 ),5040580.200000000186265,5181547.940000000409782,10222128.140000000596046
FS( 43 ),5104654.200000000186265,5228478.700000000186265,10333132.900000000372529
FS( 44 ),5120138.750000000000000,5235271.310000000521541,10355410.060000000521541
FS( 45 ),5072083.250000000000000,5276026.969999999739230,10348110.219999998807907
FS( 46 ),5100916.549999999813735,5250709.060000000521541,10351625.609999999403954
FS( 47 ),5122808.500000000000000,5238358.860000000335276,10361167.359999999403954
FS( 48 ),5162320.800000000745058,5296404.799999999813735,10458725.600000001490116
FS( 49 ),5178339.300000000745058,5295169.780000000260770,10473509.080000001937151
FS( 50 ),5201833.100000000558794,5295169.780000000260770,10497002.880000000819564
FS( 51 ),5172465.850000000558794,5303814.919999999925494,10476280.769999999552965
FS( 52 ),5274984.250000000931323,5302579.900000000372529,10577564.150000002235174
FS( 53 ),5274450.299999999813735,5311225.040000000968575,10585675.339999999850988
FS( 54 ),5330515.049999999813735,5306284.960000000894070,10636800.010000001639128
FS( 55 ),5332650.850000000558794,5321105.200000000186265,10653756.050000000745058
FS( 56 ),5337456.399999999441206,5268616.849999999627471,10606073.250000000000000
FS( 57 ),5309157.050000000745058,5264911.790000000968575,10574068.840000001713634
FS( 58 ),5268042.900000000372529,5293317.250000000000000,10561360.150000000372529
FS( 59 ),5197561.500000000000000,5298257.330000000074506,10495818.830000000074506
FS( 60 ),5161786.850000000558794,5265529.299999999813735,10427316.150000000372529
FS( 61 ),5497107.450000000186265,5215510.990000000223517,10712618.440000001341105
FS( 62 ),5571326.500000000000000,5237123.840000000782311,10808450.339999999850988
FS( 63 ),5564385.149999999441206,5285289.620000000111759,10849674.769999999552965
FS( 64 ),5662631.950000000186265,5335925.440000000409782,10998557.390000000596046
FS( 65 ),5578801.800000000745058,5357538.290000000968575,10936340.090000001713634
FS( 66 ),5648749.250000000931323,5308755.000000000000000,10957504.250000000000000
FS( 67 ),5653020.850000000558794,5313695.080000000074506,10966715.929999999701977
FS( 68 ),5738986.800000000745058,5297022.310000000521541,11036009.110000001266599
FS( 69 ),5786508.350000000558794,5295787.290000000968575,11082295.640000000596046
FS( 70 ),5810002.150000000372529,5309990.019999999552965,11119992.169999999925494
FS( 71 ),5766752.200000000186265,5329750.340000000782311,11096502.540000000968575
FS( 72 ),5763014.550000000745058,5355685.760000000707805,11118700.310000002384186
FS( 73 ),5776363.300000000745058,5374828.570000000298023,11151191.870000001043081
FS( 74 ),5845776.800000000745058,5373593.549999999813735,11219370.350000001490116
FS( 75 ),5840437.299999999813735,5346423.110000000335276,11186860.410000000149012
FS( 76 ),5831894.100000000558794,5369888.490000000223517,11201782.589999999850988
FS( 77 ),5824418.799999999813735,5399528.969999999739230,11223947.769999999552965
FS( 78 ),5839369.400000000372529,5391501.340000000782311,11230870.740000002086163
FS( 79 ),5793983.650000000372529,5363095.879999999888241,11157079.530000001192093
FS( 80 ),5812137.950000000186265,5397058.930000000633299,11209196.880000000819564
FS( 81 ),5768354.049999999813735,5391501.340000000782311,11159855.390000000596046
FS( 82 ),5743792.349999999627471,5427934.430000000633299,11171726.780000001192093
