代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11834354.980000000447035
真實報酬,1834354.980000000447035

夏普值報酬,0.174735498000000
夏普值風險,0.057361214526146
夏普值,3.046230792765957

二次趨勢線,193.184140215795622 x^2 + -8286.164592441367859 x + 10000000.000000000000000
二次平均預期報酬,15475.484654101494016
風險,186312.917032883880893
二次平均趨勢值,0.083061791423566
一次趨勢線,9462.332599874329389 x + 10000000.000000000000000
一次預期報酬,9462.332599874329389
一次風險,374404.453983283019625
一次趨勢值,0.025273023595752
找到最佳解世代,2577
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](7),MSFT[18](4),PG[21](1),
Stock#,HD[9](7),MSFT[18](4),PG[21](1),
張數,18471,31470,37206,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,56.339999999850988,30.600000000093132,47.459999999962747,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3323543.370000000111759,3340885.799999999813735,3341518.319999999832362,10005948.490000000223517
FS( 3 ),3365287.829999999608845,3383370.300000000279397,3393234.660000000149012,10141893.789999999105930
FS( 4 ),3361963.049999999813735,3389979.000000000000000,3404768.520000000018626,10156711.570000000298023
FS( 5 ),3458381.669999999459833,3523411.799999999813735,3396583.200000000186265,10378377.669999998062849
FS( 6 ),3472604.339999999850988,3516803.100000000093132,3399187.620000000111759,10388596.059999998658895
FS( 7 ),3435477.629999999888241,3448198.500000000000000,3438253.919999999925494,10321931.050000000745058
FS( 8 ),3314307.870000000111759,3363229.500000000465661,3449043.660000000149012,10126582.030000001192093
FS( 9 ),3306365.339999999850988,3365432.399999999906868,3477692.279999999795109,10149491.019999999552965
FS( 10 ),3322989.239999999757856,3303436.500000000000000,3478436.399999999906868,10104863.140000000596046
FS( 11 ),3276072.899999999906868,3376132.200000000186265,3491086.439999999944121,10143292.539999999105930
FS( 12 ),3269792.760000000242144,3407916.900000000372529,3490714.379999999888241,10168425.039999999105930
FS( 13 ),3206437.229999999981374,3292422.000000000465661,3470995.200000000186265,9969855.429999999701977
FS( 14 ),3122578.890000000130385,3200844.299999999813735,3426720.059999999590218,9750144.250000000000000
FS( 15 ),3127196.640000000130385,3244902.300000000279397,3401047.919999999925494,9773147.859999999403954
FS( 16 ),3118884.689999999944121,3243643.500000000000000,3405884.700000000186265,9768413.890000000596046
FS( 17 ),3136801.559999999590218,3350641.500000000000000,3420767.100000000093132,9908211.160000000149012
FS( 18 ),3199602.959999999962747,3371726.399999999906868,3449787.779999999795109,10021118.139999998733401
FS( 19 ),3277365.870000000111759,3496977.000000000465661,3460577.520000000018626,10234921.390000000596046
FS( 20 ),3244672.199999999720603,3467709.899999999906868,3453508.379999999888241,10165891.480000000447035
FS( 21 ),3330747.059999999590218,3489738.899999999906868,3516386.520000000018626,10336873.479999998584390
FS( 22 ),3356975.879999999888241,3527502.900000000372529,3472111.379999999888241,10356591.160000000149012
FS( 23 ),3238022.640000000130385,3415155.000000000000000,3471739.319999999832362,10124917.960000000894070
FS( 24 ),3250213.500000000000000,3436239.899999999906868,3480668.759999999776483,10167123.160000000149012
FS( 25 ),3191660.429999999701977,3298716.000000000000000,3439742.160000000149012,9930119.589999999850988
FS( 26 ),3171342.329999999608845,3385887.900000000372529,3461321.640000000130385,10018552.870000001043081
FS( 27 ),3180947.250000000000000,3417357.900000000372529,3494062.919999999925494,10092369.070000000298023
FS( 28 ),3217889.250000000000000,3432778.200000000186265,3498527.640000000130385,10149196.089999999850988
FS( 29 ),3211609.109999999869615,3444422.100000000093132,3590054.399999999906868,10246086.609999999403954
FS( 30 ),3182424.929999999701977,3336794.700000000186265,3595635.299999999813735,10114855.929999999701977
FS( 31 ),3102630.209999999962747,3237978.899999999906868,3451648.079999999608845,9792258.189999999478459
FS( 32 ),3140865.179999999701977,3271966.500000000000000,3441230.399999999906868,9854063.080000000074506
FS( 33 ),3095057.100000000093132,3263154.899999999906868,3414070.020000000018626,9772283.019999999552965
FS( 34 ),3032255.699999999720603,3194550.300000000279397,3385049.340000000316650,9611856.339999999850988
FS( 35 ),2964282.419999999459833,3091328.700000000186265,3384677.279999999795109,9440289.399999998509884
FS( 36 ),2921060.279999999795109,2962301.699999999720603,3250363.620000000111759,9133726.599999999627471
FS( 37 ),3108356.219999999739230,3164653.800000000279397,3351936.000000000000000,9624947.019999999552965
FS( 38 ),3146037.059999999590218,3184165.200000000186265,3423743.579999999608845,9753946.839999999850988
