代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11998272.539999999105930
真實報酬,1998272.539999999105930

夏普值報酬,0.191127254000000
夏普值風險,0.058623823831560
夏普值,3.260231788174611

二次趨勢線,70.708580599901865 x^2 + 7241.301557525664066 x + 10000000.000000000000000
二次平均預期報酬,16079.874132513397853
風險,263822.526820523082279
二次平均趨勢值,0.060949587308943
一次趨勢線,13843.608782215298561 x + 10000000.000000000000000
一次預期報酬,13843.608782215298561
一次風險,290991.517262676497921
一次趨勢值,0.047573925564706
找到最佳解世代,1641
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
INTC[11](2),PG[21](1),
Stock#,INTC[11](2),PG[21](1),
張數,107642,59758,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,29.099999999627471,48.139999999664724,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5177609.299999999813735,5041233.019999999552965,10218842.320000000298023
FS( 3 ),5248653.019999999552965,4961754.879999999888241,10210407.899999998509884
FS( 4 ),5180838.559999999590218,4895423.500000000000000,10076262.059999998658895
FS( 5 ),5062432.359999999403954,4909167.839999999850988,9971600.199999999254942
FS( 6 ),5062432.359999999403954,4924107.339999999850988,9986539.699999999254942
FS( 7 ),5010764.199999999254942,4912155.740000000223517,9922919.939999999478459
FS( 8 ),4822390.699999999254942,4866739.659999999217689,9689130.359999999403954
FS( 9 ),4761034.759999998845160,4713161.599999999627471,9474196.359999999403954
FS( 10 ),4831002.059999999590218,4724515.620000000111759,9555517.679999999701977
FS( 11 ),4793327.359999999403954,4788456.679999999701977,9581784.039999999105930
FS( 12 ),4945102.579999999143183,4841043.719999999739230,9786146.299999998882413
FS( 13 ),4939720.479999999515712,4891838.019999999552965,9831558.500000000000000
FS( 14 ),4840689.839999999850988,4795030.059999999590218,9635719.899999998509884
FS( 15 ),4736277.099999999627471,5216921.539999999105930,9953198.639999998733401
FS( 16 ),4844995.519999999552965,5175090.939999999478459,10020086.459999999031425
FS( 17 ),4790098.099999999627471,5208555.419999999925494,9998653.519999999552965
FS( 18 ),4566202.740000000223517,5345998.819999999366701,9912201.559999998658895
FS( 19 ),4769646.120000000111759,5318510.139999999664724,10088156.259999999776483
FS( 20 ),4918192.079999999143183,5250386.019999999552965,10168578.099999997764826
FS( 21 ),4886975.899999999441206,5273094.059999999590218,10160069.959999999031425
FS( 22 ),5141011.019999999552965,5329864.159999999217689,10470875.179999999701977
FS( 23 ),5046286.059999999590218,5299387.580000000074506,10345673.640000000596046
FS( 24 ),5190526.339999999850988,5353767.359999999403954,10544293.699999999254942
FS( 25 ),5071043.719999999739230,5366914.120000000111759,10437957.839999999850988
FS( 26 ),5163615.839999999850988,5449977.740000000223517,10613593.580000000074506
FS( 27 ),5086113.599999999627471,5468502.719999999739230,10554616.320000000298023
FS( 28 ),5244347.339999999850988,5455355.959999999962747,10699703.300000000745058
FS( 29 ),5273410.679999999701977,5459539.019999999552965,10732949.699999999254942
FS( 30 ),5178685.719999999739230,5522284.919999999925494,10700970.640000000596046
FS( 31 ),5021528.399999999441206,5539614.740000000223517,10561143.140000000596046
FS( 32 ),5101183.479999999515712,5585628.399999999441206,10686811.879999998956919
FS( 33 ),5068890.879999999888241,5586823.559999999590218,10655714.439999999478459
FS( 34 ),5178685.719999999739230,5607141.279999999329448,10785827.000000000000000
FS( 35 ),5256187.959999999031425,5606543.699999999254942,10862731.659999998286366
FS( 36 ),5166845.099999999627471,5574871.959999999962747,10741717.059999998658895
FS( 37 ),5101183.479999999515712,5503759.939999999478459,10604943.419999998062849
FS( 38 ),5062432.359999999403954,5462526.919999999925494,10524959.279999999329448
FS( 39 ),5009687.779999999329448,5470295.459999999962747,10479983.239999998360872
FS( 40 ),5107642.000000000000000,5494198.659999999217689,10601840.660000000149012
FS( 41 ),5174380.040000000037253,5540809.899999999441206,10715189.939999999478459
FS( 42 ),5259417.219999999739230,5558139.719999999739230,10817556.939999999478459
FS( 43 ),5134552.500000000000000,5546785.699999999254942,10681338.199999999254942
FS( 44 ),5307856.120000000111759,5647776.719999999739230,10955632.839999999850988
FS( 45 ),5396122.559999999590218,5576664.699999999254942,10972787.259999997913837
FS( 46 ),5139934.599999999627471,5576067.120000000111759,10716001.719999998807907
FS( 47 ),5206672.639999999664724,5590409.039999999105930,10797081.679999999701977
FS( 48 ),4977395.179999999701977,5524675.240000000223517,10502070.419999999925494
FS( 49 ),5081807.919999999925494,5559334.879999999888241,10641142.800000000745058
FS( 50 ),5100107.059999999590218,5611921.919999999925494,10712028.980000000447035
FS( 51 ),5148545.959999999031425,5619092.879999999888241,10767638.839999999850988
FS( 52 ),5198061.279999999329448,5766097.559999999590218,10964158.839999999850988
FS( 53 ),5151775.219999999739230,5775061.259999999776483,10926836.480000000447035
FS( 54 ),5067814.459999999031425,5543797.799999999813735,10611612.259999997913837
FS( 55 ),5138858.179999999701977,5527065.559999999590218,10665923.739999998360872
FS( 56 ),4905275.040000000037253,5483442.219999999739230,10388717.259999999776483
FS( 57 ),4902045.779999999329448,5436830.979999999515712,10338876.759999997913837
FS( 58 ),4826696.379999999888241,5436233.399999999441206,10262929.779999999329448
FS( 59 ),4692143.879999999888241,5220507.019999999552965,9912650.899999998509884
FS( 60 ),4972013.079999999143183,5383646.359999999403954,10355659.439999997615814
FS( 61 ),4990312.219999999739230,5498979.299999999813735,10489291.519999999552965
FS( 62 ),5032292.599999999627471,5448782.580000000074506,10481075.179999999701977
FS( 63 ),5051668.159999999217689,5493003.500000000000000,10544671.660000000149012
FS( 64 ),5067814.459999999031425,5454758.379999999888241,10522572.839999999850988
FS( 65 ),4789021.679999999701977,5416513.259999999776483,10205534.939999999478459
FS( 66 ),5082884.339999999850988,5527065.559999999590218,10609949.899999998509884
FS( 67 ),5106565.579999999143183,5504955.099999999627471,10611520.679999999701977
FS( 68 ),5138858.179999999701977,5525272.819999999366701,10664131.000000000000000
FS( 69 ),5167921.519999999552965,5435038.240000000223517,10602959.759999999776483
FS( 70 ),5227124.620000000111759,5448185.000000000000000,10675309.620000001043081
FS( 71 ),5266952.159999999217689,5484039.799999999813735,10750991.959999999031425
FS( 72 ),5204519.799999999813735,5446989.839999999850988,10651509.640000000596046
FS( 73 ),5231430.299999999813735,5498381.719999999739230,10729812.019999999552965
FS( 74 ),5180838.559999999590218,5460136.599999999627471,10640975.160000000149012
FS( 75 ),5217436.839999999850988,5416513.259999999776483,10633950.099999999627471
FS( 76 ),5294939.079999999143183,5463124.500000000000000,10758063.579999998211861
FS( 77 ),5195908.440000000409782,5404561.659999999217689,10600470.099999999627471
FS( 78 ),5160386.579999999143183,5667496.859999999403954,10827883.439999997615814
FS( 79 ),5356295.019999999552965,5635227.539999999105930,10991522.559999998658895
FS( 80 ),5063508.779999999329448,5593396.939999999478459,10656905.719999998807907
FS( 81 ),5027986.919999999925494,5588616.299999999813735,10616603.219999998807907
FS( 82 ),5009687.779999999329448,5589811.459999999962747,10599499.239999998360872
FS( 83 ),5117329.779999999329448,5648374.299999999813735,10765704.079999998211861
FS( 84 ),5072120.139999999664724,5764902.399999999441206,10837022.539999999105930
FS( 85 ),5245423.759999998845160,5824660.399999999441206,11070084.159999998286366
FS( 86 ),5298168.339999999850988,5858124.879999999888241,11156293.219999998807907
FS( 87 ),5383205.519999999552965,5822867.659999999217689,11206073.179999999701977
FS( 88 ),5371364.899999999441206,5851551.500000000000000,11222916.399999998509884
FS( 89 ),5299244.759999998845160,5804940.259999999776483,11104185.019999999552965
FS( 90 ),5257264.379999999888241,5839002.319999999366701,11096266.699999999254942
FS( 91 ),5249729.440000000409782,5872466.799999999813735,11122196.240000000223517
FS( 92 ),5383205.519999999552965,5931627.219999999739230,11314832.739999998360872
FS( 93 ),5432720.839999999850988,5930432.059999999590218,11363152.899999998509884
FS( 94 ),5469319.120000000111759,5883820.819999999366701,11353139.939999999478459
FS( 95 ),5560814.819999999366701,5885015.979999999515712,11445830.799999998882413
FS( 96 ),5532827.899999999441206,5975250.559999999590218,11508078.459999999031425
FS( 97 ),5531751.479999999515712,5932822.379999999888241,11464573.859999999403954
FS( 98 ),5533904.319999999366701,5962701.379999999888241,11496605.699999999254942
FS( 99 ),5650157.679999999701977,5990787.639999999664724,11640945.320000000298023
FS( 100 ),5715819.299999999813735,5950152.199999999254942,11665971.500000000000000
FS( 101 ),5729812.759999998845160,5965689.279999999329448,11695502.039999999105930
FS( 102 ),5730889.179999999701977,5910711.919999999925494,11641601.099999999627471
FS( 103 ),5700749.419999999925494,5889199.039999999105930,11589948.459999999031425
FS( 104 ),5737347.699999999254942,5882625.659999999217689,11619973.359999999403954
FS( 105 ),5806238.579999999143183,5908321.599999999627471,11714560.179999999701977
FS( 106 ),5778251.659999999217689,5921468.359999999403954,11699720.019999999552965
FS( 107 ),5699673.000000000000000,5911907.080000000074506,11611580.080000000074506
FS( 108 ),5661998.299999999813735,5889199.039999999105930,11551197.339999999850988
FS( 109 ),5649081.259999998845160,5880832.919999999925494,11529914.179999999701977
FS( 110 ),5742729.799999999813735,5950749.779999999329448,11693479.579999998211861
FS( 111 ),5766411.040000000037253,5978836.039999999105930,11745247.079999998211861
FS( 112 ),5852524.639999999664724,6046362.580000000074506,11898887.219999998807907
FS( 113 ),5752417.579999999143183,6054728.699999999254942,11807146.279999997466803
FS( 114 ),5848218.959999999031425,6121657.659999999217689,11969876.619999997317791
FS( 115 ),5823461.299999999813735,6066082.719999999739230,11889544.019999999552965
FS( 116 ),5830996.240000000223517,6089388.339999999850988,11920384.580000000074506
FS( 117 ),5793321.540000000037253,6078631.899999999441206,11871953.439999999478459
FS( 118 ),5881587.979999999515712,6124645.559999999590218,12006233.539999999105930
FS( 119 ),5733042.019999999552965,6075046.419999999925494,11808088.439999999478459
FS( 120 ),5681373.859999999403954,6092973.819999999366701,11774347.679999999701977
FS( 121 ),5752417.579999999143183,6156317.299999999813735,11908734.879999998956919
FS( 122 ),5722277.819999999366701,6149146.339999999850988,11871424.160000000149012
FS( 123 ),5716895.719999999739230,6187989.039999999105930,11904884.759999997913837
FS( 124 ),5780404.500000000000000,6217868.039999999105930,11998272.539999999105930
