代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10608922.400000000372529
真實報酬,608922.400000000372529

夏普值報酬,0.052192240000000
夏普值風險,0.028330508040327
夏普值,1.842262762309330

二次趨勢線,2528.989434308300588 x^2 + -11931.679656096246617 x + 10000000.000000000000000
二次平均預期報酬,41177.098464378061180
風險,191896.776283638231689
二次平均趨勢值,0.214579417444278
一次趨勢線,26928.401895470313320 x + 10000000.000000000000000
一次預期報酬,26928.401895470313320
一次風險,226329.585377382580191
一次趨勢值,0.118978709082906
找到最佳解世代,2537
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
IBM[10](1),WBA[27](2),
Stock#,IBM[10](1),WBA[27](2),
張數,57227,195694,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,77.009999999776483,18.299999999813735,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4968525.149999999441206,5252445.259999999776483,10220970.410000000149012
FS( 3 ),5106442.219999999739230,5227005.040000000037253,10333447.259999999776483
FS( 4 ),5024035.339999999850988,5289627.120000000111759,10313662.460000000894070
FS( 5 ),4989126.870000000111759,5252445.259999999776483,10241572.129999998956919
FS( 6 ),4847203.910000000149012,5117416.399999999441206,9964620.309999998658895
FS( 7 ),4905003.179999999701977,5068492.899999999441206,9973496.079999998211861
FS( 8 ),4883829.190000000409782,5101760.879999999888241,9985590.070000000298023
FS( 9 ),4760791.139999999664724,5115459.459999999962747,9876250.599999999627471
FS( 10 ),4814012.250000000000000,5264186.899999999441206,10078199.149999998509884
FS( 11 ),4859793.849999999627471,5266143.839999999850988,10125937.689999999478459
FS( 12 ),4691546.469999999739230,5076320.660000000149012,9767867.129999998956919
FS( 13 ),5231769.349999999627471,5152641.319999999366701,10384410.669999998062849
FS( 14 ),5154512.899999999441206,5244617.500000000000000,10399130.399999998509884
FS( 15 ),5121321.239999999292195,5270057.719999999739230,10391378.959999999031425
FS( 16 ),5242070.209999999031425,5244617.500000000000000,10486687.709999999031425
FS( 17 ),5245503.829999999143183,5283756.299999999813735,10529260.129999998956919
FS( 18 ),5426341.149999999441206,5457923.959999999962747,10884265.109999999403954
FS( 19 ),5294146.780000000260770,5457923.959999999962747,10752070.740000000223517
FS( 20 ),5244931.560000000521541,5363990.839999999850988,10608922.400000000372529
