代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11251998.269999999552965
真實報酬,1251998.269999999552965

夏普值報酬,0.116499827000000
夏普值風險,0.038173485341969
夏普值,3.051851984600301

二次趨勢線,-2766.888223615139850 x^2 + 121732.098519661201863 x + 10000000.000000000000000
二次平均預期報酬,63627.445823743277288
風險,84801.288433979614638
二次平均趨勢值,0.750312253489865
一次趨勢線,79216.498986062710173 x + 10000000.000000000000000
一次預期報酬,79216.498986062710173
一次風險,156296.865196090890095
一次趨勢值,0.506833575239511
找到最佳解世代,2447
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AXP[1](4),MRK[17](3),UNH[23](17),WMT[28](1),
Stock#,AXP[1](4),MRK[17](3),UNH[23](17),WMT[28](1),
張數,70067,79974,94625,49721,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,9.439999999944121,12.759999999776483,7.500000000000000,28.120000000111759,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2525224.120000000111759,2452815.339999999850988,2546366.250000000000000,2481106.020000000018626,10005511.730000000447035
FS( 3 ),2519618.759999999776483,2610364.119999999646097,2637206.250000000000000,2504972.100000000093132,10272161.229999998584390
FS( 4 ),2644338.020000000018626,2615962.299999999813735,2669378.750000000000000,2549721.000000000000000,10479400.070000000298023
FS( 5 ),2607202.509999999776483,2606365.419999999925494,2712906.250000000000000,2548229.370000000111759,10474703.550000000745058
FS( 6 ),2736125.789999999571592,2673543.579999999608845,2756433.750000000000000,2585520.120000000111759,10751623.239999998360872
FS( 7 ),2780268.000000000000000,2687938.899999999906868,2741293.750000000000000,2600933.630000000353903,10810434.280000001192093
FS( 8 ),2806192.789999999571592,2656749.039999999571592,2779143.750000000000000,2633749.490000000223517,10875835.070000000298023
FS( 9 ),2767655.939999999944121,2637555.279999999329448,2721422.500000000000000,2647174.160000000149012,10773807.879999998956919
FS( 10 ),2827212.890000000130385,2647152.159999999683350,2751702.500000000000000,2645185.320000000298023,10871252.870000001043081
FS( 11 ),2903585.919999999925494,2703933.700000000186265,2758326.250000000000000,2643196.479999999981374,11009042.349999999627471
FS( 12 ),2897980.560000000055879,2742321.219999999739230,2741293.750000000000000,2668056.979999999981374,11049652.509999999776483
FS( 13 ),2912694.629999999888241,2810299.119999999646097,2731831.250000000000000,2692420.270000000018626,11147245.269999999552965
FS( 14 ),2882565.819999999832362,2825494.179999999701977,2709121.250000000000000,2711811.459999999962747,11128992.710000000894070
FS( 15 ),2867851.750000000000000,2915864.799999999813735,2702497.500000000000000,2698884.000000000000000,11185098.050000000745058
FS( 16 ),2916898.649999999906868,2912665.839999999850988,2751702.500000000000000,2718772.399999999906868,11300039.390000000596046
FS( 17 ),2903585.919999999925494,2896671.039999999571592,2797122.500000000000000,2727224.970000000204891,11324604.429999999701977
FS( 18 ),2923204.679999999701977,2924661.939999999944121,2795230.000000000000000,2732694.280000000260770,11375790.899999998509884
FS( 19 ),2861545.720000000204891,2902269.219999999739230,2785767.500000000000000,2716286.350000000093132,11265868.789999999105930
FS( 20 ),2930912.049999999813735,2895871.299999999813735,2712906.250000000000000,2712308.669999999925494,11251998.269999999552965
