代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10615170.199999999254942
真實報酬,615170.199999999254942

夏普值報酬,0.052817020000000
夏普值風險,0.022759271547525
夏普值,2.320681480938895

二次趨勢線,1026.889959211282530 x^2 + 8937.947668206863455 x + 10000000.000000000000000
二次平均預期報酬,32556.416730066364835
風險,88999.274725841722102
二次平均趨勢值,0.365805416171704
一次趨勢線,26258.158313570445898 x + 10000000.000000000000000
一次預期報酬,26258.158313570445898
一次風險,106591.012062199690263
一次趨勢值,0.246344957286341
找到最佳解世代,1769
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
NKE[19](1),
Stock#,NKE[19](1),
張數,196540,
分配資金,10000000.000000000000000,
剩餘資金,44.799999998882413,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10035377.199999999254942,10035377.199999999254942
FS( 3 ),10074685.199999999254942,10074685.199999999254942
FS( 4 ),10019653.999999998137355,10019653.999999998137355
FS( 5 ),10027515.599999999627471,10027515.599999999627471
FS( 6 ),9968553.599999997764826,9968553.599999997764826
FS( 7 ),9960691.999999998137355,9960691.999999998137355
FS( 8 ),10155266.599999999627471,10155266.599999999627471
FS( 9 ),10208332.399999998509884,10208332.399999998509884
FS( 10 ),10198505.399999998509884,10198505.399999998509884
FS( 11 ),10157231.999999998137355,10157231.999999998137355
FS( 12 ),10275156.000000000000000,10275156.000000000000000
FS( 13 ),10294810.000000000000000,10294810.000000000000000
FS( 14 ),10416664.799999998882413,10416664.799999998882413
FS( 15 ),10469730.599999999627471,10469730.599999999627471
FS( 16 ),10495280.799999998882413,10495280.799999998882413
FS( 17 ),10534588.799999998882413,10534588.799999998882413
FS( 18 ),10438284.199999999254942,10438284.199999999254942
FS( 19 ),10340014.199999999254942,10340014.199999999254942
FS( 20 ),10782229.199999999254942,10782229.199999999254942
FS( 21 ),10581758.400000000372529,10581758.400000000372529
FS( 22 ),10615170.199999999254942,10615170.199999999254942
