代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10880583.710000000894070
真實報酬,880583.710000000894070

夏普值報酬,0.079358371000000
夏普值風險,0.028349225523978
夏普值,2.799313545016576

二次趨勢線,1678.558768056270310 x^2 + 8207.091609105817042 x + 10000000.000000000000000
二次平均預期報酬,45135.384506343762041
風險,117865.930818209628342
二次平均趨勢值,0.382938345228514
一次趨勢線,35259.213150105722889 x + 10000000.000000000000000
一次預期報酬,35259.213150105722889
一次風險,146841.215569070074707
一次趨勢值,0.240117960161674
找到最佳解世代,2081
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
NKE[19](1),PG[21](2),
Stock#,NKE[19](1),PG[21](2),
張數,92047,72568,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,6.959999999962747,64.799999999813735,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5094808.410000000149012,5066036.879999999888241,10160845.289999999105930
FS( 3 ),5102172.169999999925494,5074745.040000000037253,10176917.210000000894070
FS( 4 ),5048784.910000000149012,4989840.480000000447035,10038625.390000000596046
FS( 5 ),5143593.320000000298023,5078373.440000000409782,10221966.760000001639128
FS( 6 ),5056148.669999999925494,4969521.440000000409782,10025670.109999999403954
FS( 7 ),5080080.889999999664724,4957910.559999999590218,10037991.449999999254942
FS( 8 ),5146354.729999999515712,4965167.360000000335276,10111522.089999999850988
FS( 9 ),5150036.610000000335276,4939042.879999999888241,10089079.490000000223517
FS( 10 ),5239322.200000000186265,5039912.400000000372529,10279234.600000001490116
FS( 11 ),5319403.089999999850988,5087081.599999999627471,10406484.689999999478459
FS( 12 ),5305596.040000000037253,5097241.119999999180436,10402837.160000000149012
FS( 13 ),5295470.870000000111759,5075470.719999999739230,10370941.589999999850988
FS( 14 ),5364506.120000000111759,5126994.000000000000000,10491500.120000001043081
FS( 15 ),5337812.490000000223517,5093612.719999999739230,10431425.210000000894070
FS( 16 ),5312959.799999999813735,5098692.480000000447035,10411652.280000001192093
FS( 17 ),5283504.759999999776483,5178517.279999999329448,10462022.039999999105930
FS( 18 ),5752944.459999999962747,5273581.360000000335276,11026525.820000000298023
FS( 19 ),5621317.250000000000000,5208270.159999999217689,10829587.410000000149012
FS( 20 ),5508099.440000000409782,5245279.839999999850988,10753379.280000001192093
FS( 21 ),5659976.990000000223517,5220606.719999999739230,10880583.710000000894070
