代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10471401.170000001788139
真實報酬,471401.170000001788139

夏普值報酬,0.038440117000000
夏普值風險,0.015018531089294
夏普值,2.559512429774330

二次趨勢線,646.169119678718403 x^2 + 10143.106926857100916 x + 10000000.000000000000000
二次平均預期報酬,24358.827559788904182
風險,18215.247381210683670
二次平均趨勢值,1.337276790702026
一次趨勢線,20556.948785865301033 x + 10000000.000000000000000
一次預期報酬,20556.948785865301033
一次風險,38319.817136874495191
一次趨勢值,0.536457382153938
找到最佳解世代,2751
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
CAT[3](10),DIS[6](13),JPM[13](7),MCD[15](1),PG[21](4),V[25](25),WBA[27](12),WMT[28](19),
Stock#,CAT[3](10),DIS[6](13),JPM[13](7),MCD[15](1),PG[21](4),V[25](25),WBA[27](12),WMT[28](19),
張數,13368,24461,27989,13870,18014,32175,32842,18053,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,92.000000000000000,42.899999999906868,11.260000000009313,35.599999999860302,8.540000000037253,1.250000000000000,33.479999999981374,10.280000000027940,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1262031.200000000186265,1252690.709999999962747,1247480.989999999990687,1257073.699999999720603,1242073.840000000083819,1250965.250000000000000,1241132.659999999916181,1242056.679999999934807,9995505.029999999329448
FS( 3 ),1268982.560000000055879,1276662.489999999757856,1269592.300000000046566,1246255.099999999860302,1244595.800000000046566,1260939.500000000000000,1221099.040000000037253,1246750.459999999962747,10034877.250000000000000
FS( 4 ),1272859.280000000027940,1246820.069999999832362,1270991.750000000000000,1260957.299999999813735,1236129.220000000204891,1269948.500000000000000,1249014.739999999990687,1234835.480000000214204,10041556.339999999850988
FS( 5 ),1256684.000000000000000,1241683.259999999776483,1273510.760000000009313,1261373.399999999906868,1234147.680000000167638,1281853.250000000000000,1253612.620000000111759,1238265.550000000046566,10041130.519999999552965
FS( 6 ),1262565.919999999925494,1242172.479999999981374,1272671.090000000083819,1259570.299999999813735,1240812.859999999869615,1301480.000000000000000,1262808.380000000121072,1237904.489999999990687,10079985.520000001415610
FS( 7 ),1271121.439999999944121,1242417.089999999850988,1291703.609999999869615,1267753.599999999860302,1247838.320000000065193,1291184.000000000000000,1266749.419999999925494,1234113.360000000102445,10112880.839999999850988
FS( 8 ),1272591.919999999925494,1237280.279999999795109,1291423.719999999972060,1272330.699999999953434,1246937.620000000111759,1296332.000000000000000,1284155.679999999934807,1238987.669999999925494,10140039.589999999850988
FS( 9 ),1265105.839999999850988,1237524.889999999897555,1284146.580000000074506,1269556.699999999953434,1254323.359999999869615,1292149.250000000000000,1282185.159999999916181,1233030.179999999934807,10118021.959999999031425
FS( 10 ),1279008.560000000055879,1249755.389999999897555,1297301.410000000149012,1269279.300000000046566,1258826.859999999869615,1290540.500000000000000,1290724.079999999841675,1245306.220000000204891,10180742.320000000298023
FS( 11 ),1272591.919999999925494,1260518.229999999981374,1310456.239999999990687,1263592.599999999860302,1249099.300000000046566,1288610.000000000000000,1293679.860000000102445,1249458.409999999916181,10188006.559999998658895
FS( 12 ),1279409.600000000093132,1282043.909999999916181,1299820.419999999925494,1272746.800000000046566,1255043.920000000158325,1286036.000000000000000,1292694.599999999860302,1242959.329999999841675,10210754.580000000074506
FS( 13 ),1305076.160000000149012,1280331.639999999897555,1300380.199999999953434,1279681.800000000046566,1259907.699999999953434,1273166.000000000000000,1287768.300000000046566,1249277.880000000121072,10235589.680000001564622
FS( 14 ),1306412.959999999962747,1289871.429999999934807,1302619.320000000065193,1289252.099999999860302,1260087.840000000083819,1279279.250000000000000,1296964.060000000055879,1256138.020000000018626,10280624.979999998584390
FS( 15 ),1294782.799999999813735,1319713.849999999860302,1293942.729999999981374,1296603.199999999953434,1273418.199999999953434,1279279.250000000000000,1297949.320000000065193,1254513.250000000000000,10310202.599999999627471
FS( 16 ),1291440.799999999813735,1319713.849999999860302,1297861.189999999944121,1294245.299999999813735,1268554.420000000158325,1283462.000000000000000,1295321.959999999962747,1259929.150000000139698,10310528.669999999925494
FS( 17 ),1277805.439999999944121,1330232.080000000074506,1319972.500000000000000,1299931.999999999767169,1319534.040000000037253,1285714.250000000000000,1302875.620000000111759,1245667.280000000027940,10381733.209999999031425
FS( 18 ),1302803.600000000093132,1329742.859999999869615,1305418.219999999972060,1308808.799999999813735,1328901.320000000065193,1257722.000000000000000,1316997.679999999934807,1251985.829999999841675,10402380.310000000521541
FS( 19 ),1318176.799999999813735,1320692.290000000037253,1318852.939999999944121,1316576.000000000000000,1351058.540000000037253,1260296.000000000000000,1315684.000000000000000,1261734.449999999953434,10463071.019999999552965
FS( 20 ),1318845.200000000186265,1315800.089999999850988,1319132.830000000074506,1313108.500000000000000,1352499.659999999916181,1246782.500000000000000,1309444.019999999785796,1259207.030000000027940,10434819.830000000074506
FS( 21 ),1315369.520000000018626,1318001.580000000074506,1316893.709999999962747,1321707.899999999906868,1353940.780000000027940,1270270.250000000000000,1312399.800000000046566,1262817.630000000121072,10471401.170000001788139
