代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10752013.489999998360872
真實報酬,752013.489999998360872

夏普值報酬,0.066501349000000
夏普值風險,0.022130223356367
夏普值,3.005001256838495

二次趨勢線,1052.944329957797891 x^2 + 10522.869742748729550 x + 10000000.000000000000000
二次平均預期報酬,34740.589331778079213
風險,43111.361349608581804
二次平均趨勢值,0.805833734872153
一次趨勢線,28282.530774703507632 x + 10000000.000000000000000
一次預期報酬,28282.530774703507632
一次風險,74001.194476891119848
一次趨勢值,0.382190192666897
找到最佳解世代,2153
找到最佳解實驗#,1
找到最佳解次數,23

stock[index](rank)
投資組合檔數,5
INTC[11](3),JNJ[12](7),MCD[15](17),NKE[19](4),VZ[26](1),
Stock#,INTC[11](3),JNJ[12](7),MCD[15](17),NKE[19](4),VZ[26](1),
張數,93327,24411,20191,68657,40633,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,2.390000000130385,6.769999999785796,81.449999999953434,21.590000000083819,43.739999999990687,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2002799.810000000288710,2018552.359999999636784,2024431.110000000102445,2021970.239999999990687,2011377.239999999990687,10079130.759999999776483
FS( 3 ),1964535.740000000223517,2003417.539999999571592,2004038.199999999953434,2022656.810000000055879,1990654.410000000149012,9985302.699999999254942
FS( 4 ),1972935.170000000158325,2011717.279999999795109,2031901.779999999795109,2037074.780000000260770,2003250.639999999897555,10056879.650000000372529
FS( 5 ),1954269.770000000251457,2002685.209999999962747,2047852.669999999925494,2024716.520000000018626,2013815.219999999972060,10043339.390000000596046
FS( 6 ),1968268.820000000065193,1979982.979999999748543,2049467.949999999953434,2058358.450000000186265,2008532.929999999934807,10064611.130000000819564
FS( 7 ),2029864.640000000130385,1989991.489999999757856,2040583.909999999916181,2056298.739999999990687,2005688.619999999878928,10122427.400000000372529
FS( 8 ),2077461.410000000381842,2002196.989999999757856,2049266.039999999804422,2070030.139999999897555,2026005.119999999878928,10224959.699999999254942
FS( 9 ),2037330.800000000046566,2009520.289999999571592,2059361.539999999804422,2100925.790000000037253,2052416.569999999832362,10259554.990000000223517
FS( 10 ),2023331.750000000000000,2019772.909999999683350,2091667.140000000130385,2079642.120000000111759,2066638.119999999878928,10281052.039999999105930
FS( 11 ),1995333.650000000139698,1994629.579999999608845,2062592.100000000093132,2048746.469999999972060,2057698.860000000102445,10159000.660000000149012
FS( 12 ),2045730.230000000214204,2036860.609999999636784,2080562.090000000083819,2076895.840000000083819,2050384.919999999925494,10290433.689999999478459
FS( 13 ),2046663.500000000000000,2048089.669999999925494,2070466.590000000083819,2090627.239999999990687,2013002.560000000055879,10268849.560000000521541
FS( 14 ),2075594.869999999878928,2030513.750000000000000,2057746.259999999776483,2065910.719999999972060,2068669.769999999785796,10298435.369999999180436
FS( 15 ),2094260.270000000251457,2062492.159999999683350,2017566.169999999925494,2091313.810000000055879,2123117.990000000223517,10388750.400000000372529
FS( 16 ),2135324.149999999906868,2070791.899999999674037,2005451.569999999832362,2106418.349999999627471,2120680.009999999776483,10438665.979999998584390
FS( 17 ),2181987.649999999906868,2085926.719999999739230,2014335.610000000102445,2117403.469999999739230,2125962.299999999813735,10525615.750000000000000
FS( 18 ),2208119.209999999962747,2060051.059999999823049,2039776.269999999785796,2112597.480000000447035,2104833.139999999664724,10525377.160000000149012
FS( 19 ),2181987.649999999906868,2080312.189999999711290,2038160.989999999990687,2131134.870000000111759,2162532.000000000000000,10594127.699999999254942
FS( 20 ),2183854.189999999944121,2077871.089999999850988,2037151.439999999944121,2124955.740000000223517,2179191.530000000260770,10603023.989999998360872
FS( 21 ),2217451.910000000149012,2089100.149999999674037,2063197.830000000074506,2150358.830000000074506,2172283.919999999925494,10692392.639999998733401
FS( 22 ),2235184.040000000037253,2080556.299999999813735,2062390.189999999944121,2183314.190000000409782,2190568.769999999552965,10752013.489999998360872
