代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10446278.790000000968575
真實報酬,446278.790000000968575

夏普值報酬,0.035927879000000
夏普值風險,0.015548523880457
夏普值,2.310693881697551

二次趨勢線,1680.547049651283942 x^2 + -6300.632891664555245 x + 10000000.000000000000000
二次平均預期報酬,27310.308101361122681
風險,24320.498371388952364
二次平均趨勢值,1.122933736156058
一次趨勢線,18261.208603238825162 x + 10000000.000000000000000
一次預期報酬,18261.208603238825162
一次風險,76167.937585653358838
一次趨勢值,0.239749285356499
找到最佳解世代,3480
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
DIS[6](8),HD[9](3),KO[14](12),UNH[23](1),UTX[24](2),WBA[27](5),WMT[28](4),
Stock#,DIS[6](8),HD[9](3),KO[14](12),UNH[23](1),UTX[24](2),WBA[27](5),WMT[28](4),
張數,12619,9743,33684,8627,12763,17222,19888,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,100.199999999953434,52.339999999850988,32.560000000055879,26.070000000065193,8.409999999916181,6.099999999860302,15.959999999962747,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1426551.959999999962747,1425842.959999999962747,1437665.679999999934807,1423222.260000000009313,1442099.779999999795109,1420821.099999999860302,1432150.840000000083819,10008357.579999998211861
FS( 3 ),1426047.199999999953434,1428765.859999999636784,1433960.440000000176951,1426673.060000000055879,1435845.909999999916181,1397915.839999999850988,1424991.160000000149012,9974202.470000000670552
FS( 4 ),1426678.149999999906868,1434611.659999999916181,1437328.840000000083819,1426414.250000000000000,1434697.239999999757856,1406354.619999999878928,1420615.800000000046566,9986703.559999998658895
FS( 5 ),1420747.219999999972060,1433539.929999999701977,1435307.800000000046566,1432280.610000000102445,1442099.779999999795109,1417893.359999999869615,1449851.160000000149012,10031722.859999999403954
FS( 6 ),1418854.370000000111759,1444062.369999999878928,1438002.520000000018626,1427622.030000000027940,1440695.849999999860302,1420993.319999999832362,1453033.239999999990687,10043266.699999999254942
FS( 7 ),1426930.529999999795109,1443964.939999999711290,1436992.000000000000000,1430641.480000000214204,1444014.229999999981374,1423921.060000000055879,1460391.800000000046566,10066859.040000000968575
FS( 8 ),1426551.959999999962747,1427791.559999999823049,1446423.520000000018626,1428312.190000000176951,1432527.529999999795109,1422026.639999999664724,1460590.679999999934807,10044227.079999998211861
FS( 9 ),1428571.000000000000000,1421653.469999999739230,1441370.919999999925494,1423135.990000000223517,1430613.080000000074506,1420476.659999999916181,1454823.160000000149012,10020647.279999999329448
FS( 10 ),1435890.020000000018626,1435293.669999999925494,1450802.440000000176951,1442287.930000000167638,1445673.419999999925494,1431670.959999999729916,1461585.079999999841675,10103206.519999999552965
FS( 11 ),1441063.809999999823049,1439678.019999999785796,1464612.879999999888241,1454452.000000000000000,1449374.689999999944121,1426332.139999999664724,1469540.280000000027940,10145056.819999998435378
FS( 12 ),1435259.070000000065193,1434416.799999999813735,1456191.879999999888241,1460145.820000000065193,1441206.369999999878928,1438215.319999999832362,1473120.119999999878928,10138558.379999998956919
FS( 13 ),1448635.209999999962747,1449031.299999999813735,1451476.120000000111759,1479901.649999999906868,1454224.629999999888241,1449065.179999999934807,1487638.359999999869615,10219975.449999999254942
FS( 14 ),1444218.559999999823049,1461502.339999999850988,1450802.440000000176951,1476623.390000000130385,1467625.779999999795109,1447170.759999999776483,1490422.679999999934807,10238368.949999999254942
FS( 15 ),1434880.500000000000000,1479916.609999999636784,1457876.080000000074506,1486716.980000000214204,1484600.569999999832362,1451476.259999999776483,1487240.600000000093132,10282710.599999999627471
FS( 16 ),1453556.620000000111759,1491023.629999999888241,1452149.800000000046566,1501469.149999999906868,1491620.219999999972060,1479720.339999999850988,1492610.359999999869615,10362153.119999997317791
FS( 17 ),1458604.219999999972060,1502617.799999999813735,1456528.720000000204891,1504402.330000000074506,1508595.010000000009313,1479720.339999999850988,1500167.800000000046566,10410639.220000000670552
FS( 18 ),1461885.159999999916181,1521129.500000000000000,1448781.399999999906868,1506559.080000000074506,1515997.550000000046566,1479203.679999999934807,1500366.679999999934807,10433926.050000000745058
FS( 19 ),1458856.599999999860302,1520934.639999999897555,1453497.159999999916181,1508715.830000000074506,1518677.779999999795109,1490397.979999999981374,1495195.800000000046566,10446278.790000000968575
