代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10797769.370000001043081
真實報酬,797769.370000001043081

夏普值報酬,0.071076937000000
夏普值風險,0.021735280161641
夏普值,3.270118281035065

二次趨勢線,-2104.643977439261107 x^2 + 80943.476632429068559 x + 10000000.000000000000000
二次平均預期報酬,36745.953106204600772
風險,28808.544769675427233
二次平均趨勢值,1.275522710362111
一次趨勢線,48603.825271777015587 x + 10000000.000000000000000
一次預期報酬,48603.825271777015587
一次風險,103939.507378566326224
一次趨勢值,0.467616467478080
找到最佳解世代,2121
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,6
CAT[3](1),HD[9](6),JNJ[12](12),VZ[26](27),WBA[27](20),WMT[28](2),
Stock#,CAT[3](1),HD[9](6),JNJ[12](12),VZ[26](27),WBA[27](20),WMT[28](2),
張數,13814,8791,12680,29561,33393,16346,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,6.899999999906868,156.130000000121072,6.800000000046566,16.819999999832362,21.370000000111759,27.840000000083819,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1686420.019999999785796,1716598.880000000121072,1695703.199999999953434,1661936.239999999757856,1719760.870000000111759,1676473.600000000093132,10156896.810000000521541
FS( 3 ),1700786.580000000074506,1729257.920000000158325,1703945.199999999953434,1685880.649999999906868,1696385.770000000018626,1706877.160000000149012,10223137.279999999329448
FS( 4 ),1704516.359999999869615,1733477.600000000093132,1733109.200000000186265,1700956.759999999776483,1702396.510000000009313,1718155.900000000139698,10292616.330000000074506
FS( 5 ),1719297.339999999850988,1734620.430000000167638,1756820.800000000279397,1692088.459999999962747,1735455.580000000074506,1733684.600000000093132,10371971.209999999031425
FS( 6 ),1736979.259999999776483,1741213.680000000167638,1762780.400000000139698,1659866.969999999739230,1746141.340000000083819,1757549.760000000009313,10404535.410000000149012
FS( 7 ),1758252.819999999832362,1740862.040000000037253,1772417.199999999953434,1679968.449999999720603,1765843.210000000195578,1764415.080000000074506,10481762.800000000745058
FS( 8 ),1755766.299999999813735,1749037.670000000158325,1796509.200000000186265,1695635.779999999795109,1740464.530000000027940,1778799.560000000055879,10516217.039999999105930
FS( 9 ),1756733.280000000027940,1779014.979999999981374,1784209.600000000093132,1703321.639999999664724,1766177.140000000130385,1776020.740000000223517,10565481.379999998956919
FS( 10 ),1757562.119999999878928,1809080.200000000186265,1776348.000000000000000,1722831.899999999906868,1755491.380000000121072,1782886.060000000055879,10604203.660000002011657
FS( 11 ),1758805.379999999888241,1819717.310000000055879,1768106.000000000000000,1703617.250000000000000,1763505.700000000186265,1784357.199999999953434,10598112.839999999850988
FS( 12 ),1800385.520000000018626,1824112.810000000055879,1778123.199999999953434,1694748.949999999720603,1763171.770000000018626,1792366.740000000223517,10652912.990000000223517
FS( 13 ),1804253.440000000176951,1828156.670000000158325,1780912.799999999813735,1703617.250000000000000,1766511.070000000065193,1791876.360000000102445,10675331.589999999850988
FS( 14 ),1845971.719999999739230,1857254.880000000121072,1803229.600000000093132,1695044.559999999823049,1765843.210000000195578,1803318.560000000055879,10770666.529999999329448
FS( 15 ),1849563.359999999636784,1840903.620000000111759,1801708.000000000000000,1707755.790000000037253,1751484.220000000204891,1816558.820000000065193,10767977.810000000521541
FS( 16 ),1856194.080000000074506,1806706.630000000121072,1814007.600000000093132,1722536.290000000037253,1734787.720000000204891,1818356.879999999888241,10752593.199999999254942
FS( 17 ),1847076.840000000083819,1800025.470000000204891,1828970.000000000232831,1714554.819999999832362,1768180.720000000204891,1809856.959999999962747,10768668.810000002384186
FS( 18 ),1866969.000000000000000,1814794.350000000093132,1798664.800000000046566,1684698.209999999962747,1749146.710000000195578,1800703.199999999953434,10714980.269999999552965
FS( 19 ),1871803.899999999906868,1820068.950000000186265,1783956.000000000000000,1692384.069999999832362,1820607.730000000214204,1799722.439999999944121,10788547.089999999850988
FS( 20 ),1882716.959999999729916,1828420.400000000139698,1766077.199999999953434,1688836.750000000000000,1825616.680000000167638,1806097.379999999888241,10797769.370000001043081
