代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12093879.910000000149012
真實報酬,2093879.910000000149012

夏普值報酬,0.200687991000000
夏普值風險,0.051700013211998
夏普值,3.881778331024245

二次趨勢線,-294.933369440873093 x^2 + 50791.893036773159110 x + 10000000.000000000000000
二次平均預期報酬,31621.224023116406897
風險,184363.781785978993867
二次平均趨勢值,0.171515379630389
一次趨勢線,36525.348654516979877 x + 10000000.000000000000000
一次預期報酬,36525.348654516979877
一次風險,230101.143055979337078
一次趨勢值,0.158736059149567
找到最佳解世代,2184
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),CSCO[4](3),UNH[23](1),
Stock#,BA[2](2),CSCO[4](3),UNH[23](1),
張數,36557,163559,55816,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,65.739999999757856,0.580000000074506,1.479999999981374,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3370986.709999999497086,3390578.650000000372529,3319937.159999999683350,10081503.519999999552965
FS( 3 ),3426918.919999999459833,3406934.549999999813735,3288680.200000000186265,10122534.669999998062849
FS( 4 ),3443369.569999999832362,3403663.369999999646097,3360124.680000000167638,10207158.619999999180436
FS( 5 ),3465303.770000000018626,3333333.000000000000000,3376869.479999999981374,10175507.250000000000000
FS( 6 ),3437886.020000000018626,3388943.060000000055879,3489059.639999999664724,10315889.719999998807907
FS( 7 ),3458723.509999999776483,3406934.549999999813735,3461151.639999999664724,10326810.699999999254942
FS( 8 ),3445197.419999999459833,3451095.480000000447035,3511386.039999999571592,10407679.939999999478459
FS( 9 ),3464207.060000000055879,3478900.509999999776483,3482361.720000000204891,10425470.290000000968575
FS( 10 ),3513559.009999999776483,3478900.509999999776483,3445523.159999999683350,10437983.679999999701977
FS( 11 ),3546825.879999999422580,3469086.970000000204891,3438825.239999999757856,10454739.089999999850988
FS( 12 ),3530740.799999999813735,3907425.090000000316650,3468407.720000000204891,10906574.610000001266599
FS( 13 ),3616284.179999999701977,3964670.739999999757856,3507478.920000000391155,11088434.839999999850988
FS( 14 ),3608972.779999999795109,3917238.629999999888241,3491850.439999999944121,11018062.849999999627471
FS( 15 ),3610069.489999999757856,3927052.170000000391155,3509153.399999999906868,11046276.060000000521541
FS( 16 ),3580092.750000000000000,3817467.640000000130385,3476221.959999999962747,10873783.350000001490116
FS( 17 ),3646626.489999999757856,3845272.670000000391155,3480687.239999999757856,10972587.400000000372529
FS( 18 ),3655765.739999999757856,3848543.850000000093132,3463942.439999999944121,10968253.029999999329448
FS( 19 ),3659787.009999999776483,3907425.090000000316650,3535386.920000000391155,11102600.019999999552965
FS( 20 ),3622498.870000000111759,3945043.660000000149012,3535945.080000000074506,11103488.609999999403954
FS( 21 ),3675506.520000000018626,3985933.410000000149012,3609064.039999999571592,11270504.969999998807907
FS( 22 ),3619939.879999999422580,3945043.660000000149012,3495757.560000000055879,11060742.099999999627471
FS( 23 ),3682817.919999999459833,3987569.000000000000000,3505246.279999999795109,11175634.199999999254942
FS( 24 ),3641508.509999999776483,3984297.819999999832362,3480687.239999999757856,11106494.570000000298023
FS( 25 ),3600564.669999999459833,3977755.459999999962747,3446639.479999999981374,11024960.609999999403954
FS( 26 ),3646992.060000000055879,4015374.030000000260770,3456128.200000000186265,11118495.289999999105930
FS( 27 ),3746792.669999999459833,4005560.489999999757856,3492408.600000000093132,11244762.759999999776483
FS( 28 ),3737653.419999999459833,3984297.819999999832362,3554364.359999999869615,11276316.599999999627471
FS( 29 ),3719740.489999999757856,3936865.709999999962747,3568318.359999999869615,11224925.559999998658895
FS( 30 ),3687935.899999999441206,3923780.989999999757856,3562736.759999999776483,11174454.649999998509884
FS( 31 ),3734728.859999999403954,3982662.230000000447035,3580597.880000000353903,11297989.970000000670552
FS( 32 ),3722665.049999999813735,3940136.890000000130385,3561062.279999999795109,11223865.219999998807907
FS( 33 ),3766533.449999999720603,4039907.879999999888241,3592877.400000000372529,11399319.730000000447035
FS( 34 ),3804918.299999999813735,4059534.959999999962747,3665996.360000000335276,11530450.620000001043081
FS( 35 ),3738018.989999999757856,4036636.700000000186265,3642553.640000000130385,11417210.330000000074506
FS( 36 ),3642605.219999999739230,3997382.540000000502914,3561062.279999999795109,11201051.039999999105930
FS( 37 ),3655034.600000000093132,4003924.900000000372529,3566643.879999999888241,11225604.379999998956919
FS( 38 ),3577168.189999999478459,3935230.119999999646097,3608505.880000000353903,11120905.189999999478459
FS( 39 ),3607144.929999999701977,3927052.170000000391155,3557155.159999999683350,11091353.259999999776483
FS( 40 ),3683183.489999999757856,3989204.590000000316650,3615761.959999999962747,11288151.039999999105930
FS( 41 ),3770920.290000000037253,4028458.750000000000000,3688880.920000000391155,11488260.960000000894070
FS( 42 ),3744964.819999999832362,3981026.640000000130385,3654833.160000000149012,11380825.620000001043081
FS( 43 ),3774210.419999999459833,3981026.640000000130385,3663205.559999999590218,11418443.619999999180436
FS( 44 ),3709504.529999999795109,3977755.459999999962747,3643111.799999999813735,11330372.789999999105930
FS( 45 ),3761415.469999999739230,4021916.390000000130385,3658182.120000000111759,11441514.980000000447035
FS( 46 ),3809305.139999999664724,4018645.209999999962747,3693346.200000000186265,11521297.550000000745058
FS( 47 ),3815519.830000000074506,4028458.750000000000000,3770930.439999999944121,11614910.019999999552965
FS( 48 ),3826852.500000000000000,4115145.020000000018626,3793815.000000000000000,11735813.519999999552965
FS( 49 ),3856829.239999999757856,4156034.770000000018626,3778186.520000000018626,11791051.529999999329448
FS( 50 ),3907277.899999999441206,4231271.910000000149012,3815583.239999999757856,11954134.049999998882413
FS( 51 ),3724127.330000000074506,4242721.040000000037253,3795489.479999999981374,11762338.849999999627471
FS( 52 ),3862678.359999999403954,4241085.450000000186265,3774279.400000000372529,11878044.210000000894070
FS( 53 ),3810401.850000000093132,4205102.470000000670552,3734650.039999999571592,11750155.359999999403954
FS( 54 ),3830873.770000000018626,4206738.059999999590218,3696695.160000000149012,11734307.990000000223517
FS( 55 ),3934695.649999999441206,4229636.320000000298023,3937820.279999999795109,12102153.250000000000000
FS( 56 ),3910202.459999999497086,4223093.959999999962747,3988054.680000000167638,12121352.099999999627471
FS( 57 ),3906546.759999999776483,4206738.059999999590218,4028800.360000000335276,12142086.179999999701977
FS( 58 ),3940544.770000000018626,4180568.619999999646097,4057266.520000000018626,12178380.910000000149012
FS( 59 ),3909836.889999999664724,4185475.390000000130385,4048335.959999999962747,12143649.239999998360872
FS( 60 ),3900697.639999999664724,4170755.080000000074506,4053359.400000000372529,12124813.120000001043081
FS( 61 ),3860484.939999999478459,4170755.080000000074506,4030474.839999999850988,12061715.859999999403954
FS( 62 ),3831604.909999999683350,4142950.049999999813735,4062848.120000000111759,12037404.079999998211861
FS( 63 ),3865237.350000000093132,4198560.110000000335276,4033823.799999999813735,12097622.260000001639128
FS( 64 ),3842206.439999999478459,4185475.390000000130385,4066197.079999999608845,12093879.910000000149012
