代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13145704.130000000819564
真實報酬,3145704.130000000819564

夏普值報酬,0.305870413000000
夏普值風險,0.069819965416618
夏普值,4.380844521690348

二次趨勢線,-3.242044475518650 x^2 + 12372.262377123741317 x + 10000000.000000000000000
二次平均預期報酬,11555.267169293038023
風險,294786.733241190027911
二次平均趨勢值,0.039198735445936
一次趨勢線,11760.734154960206070 x + 10000000.000000000000000
一次預期報酬,11760.734154960206070
一次風險,295678.713786112261005
一次趨勢值,0.039775383233937
找到最佳解世代,2247
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,169033,
分配資金,10000000.000000000000000,
剩餘資金,7.720000000670552,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10013522.640000000596046,10013522.640000000596046
FS( 3 ),10191007.290000000968575,10191007.290000000968575
FS( 4 ),10392156.560000000521541,10392156.560000000521541
FS( 5 ),10432724.480000000447035,10432724.480000000447035
FS( 6 ),10588234.839999999850988,10588234.839999999850988
FS( 7 ),10527382.960000000894070,10527382.960000000894070
FS( 8 ),10620351.110000001266599,10620351.110000001266599
FS( 9 ),10508789.330000000074506,10508789.330000000074506
FS( 10 ),10747125.860000001266599,10747125.860000001266599
FS( 11 ),10907707.210000000894070,10907707.210000000894070
FS( 12 ),10745435.530000001192093,10745435.530000001192093
FS( 13 ),10814739.060000000521541,10814739.060000000521541
FS( 14 ),10718390.250000000000000,10718390.250000000000000
FS( 15 ),10813048.730000000447035,10813048.730000000447035
FS( 16 ),10816429.390000000596046,10816429.390000000596046
FS( 17 ),10855306.980000000447035,10855306.980000000447035
FS( 18 ),10894184.570000000298023,10894184.570000000298023
FS( 19 ),10750506.520000001415610,10750506.520000001415610
FS( 20 ),10691344.970000000670552,10691344.970000000670552
FS( 21 ),10740364.540000000968575,10740364.540000000968575
FS( 22 ),10564570.220000000670552,10564570.220000000670552
FS( 23 ),10474982.730000000447035,10474982.730000000447035
FS( 24 ),10410750.190000001341105,10410750.190000001341105
FS( 25 ),10468221.410000000149012,10468221.410000000149012
FS( 26 ),10245097.850000001490116,10245097.850000001490116
FS( 27 ),10243407.520000001415610,10243407.520000001415610
FS( 28 ),10319472.370000001043081,10319472.370000001043081
FS( 29 ),10422582.500000000000000,10422582.500000000000000
FS( 30 ),10503718.339999999850988,10503718.339999999850988
FS( 31 ),10480053.720000000670552,10480053.720000000670552
FS( 32 ),10551047.580000000074506,10551047.580000000074506
FS( 33 ),10466531.080000000074506,10466531.080000000074506
FS( 34 ),10508789.330000000074506,10508789.330000000074506
FS( 35 ),10591615.500000000000000,10591615.500000000000000
FS( 36 ),10644015.730000000447035,10644015.730000000447035
FS( 37 ),10709938.600000001490116,10709938.600000001490116
FS( 38 ),10720080.580000000074506,10720080.580000000074506
FS( 39 ),10752196.850000001490116,10752196.850000001490116
FS( 40 ),10748816.190000001341105,10748816.190000001341105
FS( 41 ),10630493.089999999850988,10630493.089999999850988
FS( 42 ),10554428.240000000223517,10554428.240000000223517
FS( 43 ),10611899.460000000894070,10611899.460000000894070
FS( 44 ),10530763.620000001043081,10530763.620000001043081
FS( 45 ),10387085.570000000298023,10387085.570000000298023
FS( 46 ),10463150.419999999925494,10463150.419999999925494
FS( 47 ),10453008.440000001341105,10453008.440000001341105
FS( 48 ),10534144.280000001192093,10534144.280000001192093
FS( 49 ),10591615.500000000000000,10591615.500000000000000
FS( 50 ),10579783.190000001341105,10579783.190000001341105
FS( 51 ),10589925.169999999925494,10589925.169999999925494
FS( 52 ),10527382.960000000894070,10527382.960000000894070
FS( 53 ),10730222.560000000521541,10730222.560000000521541
FS( 54 ),10650777.050000000745058,10650777.050000000745058
FS( 55 ),10682893.320000000298023,10682893.320000000298023
FS( 56 ),10715009.589999999850988,10715009.589999999850988
FS( 57 ),10664299.690000001341105,10664299.690000001341105
FS( 58 ),10786003.450000001117587,10786003.450000001117587
FS( 59 ),10772480.810000000521541,10772480.810000000521541
FS( 60 ),10620351.110000001266599,10620351.110000001266599
FS( 61 ),10552737.910000000149012,10552737.910000000149012
FS( 62 ),10799526.089999999850988,10799526.089999999850988
FS( 63 ),10823190.710000000894070,10823190.710000000894070
FS( 64 ),11022649.650000000372529,11022649.650000000372529
FS( 65 ),10828261.700000001117587,10828261.700000001117587
FS( 66 ),10711628.929999999701977,10711628.929999999701977
FS( 67 ),10635564.080000000074506,10635564.080000000074506
FS( 68 ),10745435.530000001192093,10745435.530000001192093
FS( 69 ),10691344.970000000670552,10691344.970000000670552
FS( 70 ),10782622.790000000968575,10782622.790000000968575
FS( 71 ),10748816.190000001341105,10748816.190000001341105
FS( 72 ),10819810.050000000745058,10819810.050000000745058
FS( 73 ),10862068.300000000745058,10862068.300000000745058
FS( 74 ),10899255.560000000521541,10899255.560000000521541
FS( 75 ),10943204.140000000596046,10943204.140000000596046
FS( 76 ),10948275.130000000819564,10948275.130000000819564
FS( 77 ),10965178.430000001564622,10965178.430000001564622
FS( 78 ),11031101.300000000745058,11031101.300000000745058
FS( 79 ),10882352.259999999776483,10882352.259999999776483
FS( 80 ),10792764.770000001415610,10792764.770000001415610
FS( 81 ),10814739.060000000521541,10814739.060000000521541
FS( 82 ),10829952.029999999329448,10829952.029999999329448
FS( 83 ),10755577.510000001639128,10755577.510000001639128
FS( 84 ),10721770.910000000149012,10721770.910000000149012
FS( 85 ),10762338.830000000074506,10762338.830000000074506
FS( 86 ),11007436.680000001564622,11007436.680000001564622
FS( 87 ),11004056.019999999552965,11004056.019999999552965
FS( 88 ),10977010.740000000223517,10977010.740000000223517
FS( 89 ),11022649.650000000372529,11022649.650000000372529
FS( 90 ),11076740.210000000894070,11076740.210000000894070
FS( 91 ),11144353.410000002011657,11144353.410000002011657
FS( 92 ),11168018.029999999329448,11168018.029999999329448
FS( 93 ),11220418.259999999776483,11220418.259999999776483
FS( 94 ),11271128.160000002011657,11271128.160000002011657
FS( 95 ),11245773.210000000894070,11245773.210000000894070
FS( 96 ),11326909.050000000745058,11326909.050000000745058
