代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14972061.559999998658895
真實報酬,4972061.559999998658895

夏普值報酬,0.488506156000000
夏普值風險,0.140934111732976
夏普值,3.466202397653451

二次趨勢線,95.335033120111802 x^2 + -3351.688877902910463 x + 10000000.000000000000000
二次平均預期報酬,20863.409534605503723
風險,339716.747731259150896
二次平均趨勢值,0.061414133020931
一次趨勢線,14773.813779980579056 x + 10000000.000000000000000
一次預期報酬,14773.813779980579056
一次風險,765170.467893515247852
一次趨勢值,0.019307872428287
找到最佳解世代,2186
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),CAT[3](1),CVX[5](2),UNH[23](6),
Stock#,AAPL[0](4),CAT[3](1),CVX[5](2),UNH[23](6),
張數,74161,39068,32598,75780,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,32.689999999944121,38.679999999701977,59.379999999888241,17.799999999813735,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2526697.959999999962747,2539067.999999999534339,2531620.059999999590218,2511367.000000000000000,10108753.019999999552965
FS( 3 ),2537822.109999999869615,2550788.399999999906868,2538791.619999999646097,2531827.599999999627471,10159229.729999998584390
FS( 4 ),2548946.259999999776483,2518752.639999999664724,2522166.640000000130385,2495453.199999999720603,10085318.739999998360872
FS( 5 ),2542271.770000000018626,2519143.319999999832362,2531620.059999999590218,2471961.399999999441206,10064996.549999998882413
FS( 6 ),2561553.629999999888241,2550007.039999999571592,2591600.379999999888241,2444680.599999999627471,10147841.649999998509884
FS( 7 ),2566744.899999999906868,2607046.319999999832362,2621916.520000000018626,2444680.599999999627471,10240388.339999999850988
FS( 8 ),2568228.120000000111759,2585949.599999999627471,2614744.959999999497086,2437102.599999999627471,10206025.279999999329448
FS( 9 ),2603083.790000000037253,2628533.719999999739230,2626806.219999999739230,2352986.799999999813735,10211410.529999999329448
FS( 10 ),2637197.850000000093132,2665257.639999999664724,2659730.200000000186265,2321159.199999999720603,10283344.890000000596046
FS( 11 ),2620882.430000000167638,2612906.519999999552965,2632347.879999999888241,2328737.199999999720603,10194874.029999999329448
FS( 12 ),2617915.989999999757856,2617203.999999999534339,2650928.739999999757856,2366627.199999999720603,10252675.929999997839332
FS( 13 ),2591218.029999999795109,2637128.679999999701977,2674725.279999999795109,2347682.199999999720603,10250754.189999997615814
FS( 14 ),2746214.520000000018626,2646895.679999999701977,2670487.540000000037253,2293120.600000000093132,10356718.339999999850988
FS( 15 ),2823341.959999999962747,2637519.359999999869615,2647016.979999999981374,2308276.600000000093132,10416154.900000000372529
FS( 16 ),2869321.779999999795109,2687135.719999999739230,2694936.040000000037253,2345408.799999999813735,10596802.339999999850988
FS( 17 ),2855231.189999999944121,2799260.879999999888241,2692328.200000000186265,2262050.799999999813735,10608871.070000000298023
FS( 18 ),2775878.919999999925494,2677368.719999999739230,2615396.919999999925494,2258261.799999999813735,10326906.359999999403954
FS( 19 ),2771429.259999999776483,2694558.639999999664724,2628110.140000000130385,2306761.000000000000000,10400859.039999999105930
FS( 20 ),2846331.870000000111759,2764099.679999999701977,2682548.800000000279397,2371931.799999999813735,10664912.149999998509884
FS( 21 ),2766237.989999999757856,2660178.799999999813735,2654840.500000000000000,2296909.599999999627471,10378166.889999998733401
FS( 22 ),2821858.739999999757856,2732454.599999999627471,2700151.719999999739230,2293120.600000000093132,10547585.660000000149012
FS( 23 ),2740281.640000000130385,2605874.279999999795109,2632673.859999999869615,2234769.999999999534339,10213599.779999999329448
FS( 24 ),2712100.459999999962747,2576963.959999999497086,2614093.000000000000000,2273417.799999999813735,10176575.219999998807907
FS( 25 ),2609016.669999999925494,2480856.679999999701977,2516624.979999999981374,2215824.999999999534339,9822323.330000000074506
FS( 26 ),2498516.779999999795109,2426161.479999999981374,2513365.179999999701977,2199153.399999999906868,9637196.839999999850988
FS( 27 ),2690593.770000000018626,2605483.599999999627471,2604313.600000000093132,2264324.199999999720603,10164715.169999998062849
FS( 28 ),2718033.339999999850988,2581261.439999999478459,2598119.979999999981374,2262050.799999999813735,10159465.559999998658895
FS( 29 ),2776620.529999999795109,2662522.879999999888241,2609855.259999999776483,2297667.399999999906868,10346666.070000000298023
FS( 30 ),2737315.199999999720603,2614078.559999999590218,2572693.540000000037253,2287058.199999999720603,10211145.500000000000000
FS( 31 ),2689110.549999999813735,2534770.519999999552965,2537161.719999999739230,2302972.000000000000000,10064014.789999999105930
FS( 32 ),2693560.209999999962747,2491795.719999999739230,2533901.919999999925494,2306761.000000000000000,10026018.849999999627471
FS( 33 ),2673536.739999999757856,2468745.599999999627471,2505215.679999999701977,2287058.199999999720603,9934556.219999998807907
FS( 34 ),2631264.969999999739230,2400376.599999999627471,2497066.179999999701977,2272659.999999999534339,9801367.749999998137355
FS( 35 ),2519281.859999999869615,2292158.239999999757856,2399272.179999999701977,2194606.600000000093132,9405318.879999998956919
FS( 36 ),2567486.509999999776483,2347634.799999999813735,2427958.419999999925494,2174903.799999999813735,9517983.529999999329448
FS( 37 ),2614207.939999999944121,2313645.639999999664724,2394056.500000000000000,2184755.199999999720603,9506665.279999999329448
FS( 38 ),2597892.520000000018626,2313254.959999999962747,2365696.239999999757856,2187786.399999999906868,9464630.120000001043081
FS( 39 ),2586026.759999999776483,2333570.319999999366701,2332446.279999999795109,2181723.999999999534339,9433767.359999999403954
FS( 40 ),2683919.279999999795109,2424598.759999999776483,2424046.659999999683350,2221887.399999999906868,9754452.099999999627471
FS( 41 ),2721741.390000000130385,2373810.359999999403954,2408073.640000000130385,2202942.399999999906868,9706567.790000000968575
FS( 42 ),2763271.549999999813735,2315599.040000000037253,2356568.800000000279397,2196122.199999999720603,9631561.589999999850988
FS( 43 ),2796644.000000000000000,2377717.159999999683350,2416549.119999999646097,2266597.599999999627471,9857507.879999998956919
FS( 44 ),2787744.680000000167638,2387484.159999999683350,2409377.559999999590218,2308276.600000000093132,9892883.000000000000000
FS( 45 ),2712100.459999999962747,2256606.359999999403954,2323644.819999999832362,2299183.000000000000000,9591534.639999998733401
FS( 46 ),2658704.540000000037253,2181205.119999999646097,2325926.679999999701977,2308276.600000000093132,9474112.939999999478459
FS( 47 ),2641647.509999999776483,2211678.159999999683350,2315169.339999999850988,2340862.000000000000000,9509357.009999999776483
FS( 48 ),2576385.830000000074506,2219491.759999999776483,2307671.800000000279397,2313581.199999999720603,9417130.589999999850988
FS( 49 ),2654254.879999999888241,2342165.279999999795109,2417853.040000000037253,2326463.799999999813735,9740737.000000000000000
FS( 50 ),2686144.109999999869615,2353104.319999999366701,2414267.259999999776483,2324190.399999999906868,9777706.089999999850988
FS( 51 ),2694301.819999999832362,2383186.679999999701977,2418179.020000000018626,2318128.000000000000000,9813795.519999999552965
FS( 52 ),2751405.790000000037253,2479293.959999999962747,2452406.919999999925494,2363596.000000000000000,10046702.669999999925494
