代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13450388.250000000000000
真實報酬,3450388.250000000000000

夏普值報酬,0.336338825000000
夏普值風險,0.078545974393540
夏普值,4.282063181428434

二次趨勢線,-44.800993049661336 x^2 + 24206.536737988306413 x + 10000000.000000000000000
二次平均預期報酬,12827.084503374326232
風險,251394.011835143144708
二次平均趨勢值,0.051023826740097
一次趨勢線,15688.781071250663445 x + 10000000.000000000000000
一次預期報酬,15688.781071250663445
一次風險,408667.670407756697387
一次趨勢值,0.038390071462215
找到最佳解世代,2187
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](6),CVX[5](5),KO[14](3),MCD[15](4),UNH[23](2),
Stock#,AAPL[0](6),CVX[5](5),KO[14](3),MCD[15](4),UNH[23](2),
張數,55928,26051,69783,26831,61368,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,14.720000000204891,64.730000000214204,19.219999999972060,17.259999999776483,16.879999999888241,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2014541.280000000493601,2017714.680000000400469,2002093.489999999990687,2012878.879999999655411,2016569.359999999869615,10063797.690000001341105
FS( 3 ),2067672.880000000121072,2032042.730000000214204,2008373.959999999962747,2014757.049999999813735,2081005.759999999776483,10203852.379999998956919
FS( 4 ),2059842.960000000195578,2007294.280000000027940,2011165.280000000027940,2033807.059999999590218,2073027.919999999925494,10185137.500000000000000
FS( 5 ),2100670.400000000372529,2012504.480000000214204,2018143.580000000074506,2041319.739999999757856,2077323.679999999934807,10249961.880000000819564
FS( 6 ),2101788.959999999962747,2015370.090000000083819,2034193.669999999925494,1995438.729999999981374,2087756.239999999990687,10234547.689999999478459
FS( 7 ),2104585.360000000335276,2053404.550000000046566,2041869.800000000046566,2012610.569999999832362,2116599.200000000186265,10329069.480000000447035
FS( 8 ),2133667.919999999925494,2064606.480000000214204,2025121.879999999888241,2000804.929999999701977,2130713.839999999850988,10354915.050000000745058
FS( 9 ),2141497.840000000316650,2071379.740000000456348,2009769.620000000111759,1983901.399999999674037,2123963.359999999869615,10330511.960000000894070
FS( 10 ),2158835.520000000484288,2063564.439999999944121,2003489.150000000139698,2004561.269999999552965,2103098.240000000223517,10333548.620000001043081
FS( 11 ),2209730.000000000000000,2059396.280000000027940,2006978.300000000046566,2006976.059999999590218,2101257.200000000186265,10384337.839999999850988
FS( 12 ),2200222.240000000223517,2044026.189999999944121,2008373.959999999962747,1994097.179999999701977,2094506.719999999972060,10341226.289999999105930
FS( 13 ),2262861.600000000093132,2081539.630000000353903,2023028.389999999897555,2015293.669999999692664,2143601.119999999646097,10526324.410000000149012
FS( 14 ),2267335.840000000316650,2077631.980000000214204,2027913.199999999953434,2026026.069999999832362,2163852.559999999590218,10562759.649999998509884
FS( 15 ),2299214.800000000279397,2064606.480000000214204,2032100.179999999934807,2015830.289999999571592,2189627.119999999646097,10601378.869999999180436
FS( 16 ),2308163.280000000260770,2046110.270000000484288,2019539.239999999990687,2002683.099999999860302,2174898.799999999813735,10551394.690000001341105
FS( 17 ),2335568.000000000000000,2087270.850000000325963,2045358.949999999953434,2015025.359999999636784,2192695.519999999552965,10675918.679999999701977
FS( 18 ),2326060.240000000223517,2086228.810000000055879,2044661.120000000111759,2005902.819999999832362,2169375.680000000167638,10632228.669999999925494
FS( 19 ),2291944.160000000149012,2107069.610000000335276,2062106.870000000111759,2002414.789999999571592,2150351.599999999627471,10613887.029999999329448
FS( 20 ),2295859.120000000111759,2117490.010000000707805,2050243.760000000009313,1997585.209999999962747,2160170.479999999981374,10621348.580000001937151
FS( 21 ),2267335.840000000316650,2111498.280000000260770,2041869.800000000046566,1999195.069999999832362,2154647.359999999869615,10574546.349999999627471
FS( 22 ),2257268.800000000279397,2134944.180000000633299,2062804.699999999953434,2010195.779999999795109,2174285.119999999646097,10639498.580000000074506
FS( 23 ),2226508.400000000372529,2118271.540000000037253,2054430.739999999990687,2011000.709999999962747,2119667.599999999627471,10529878.990000000223517
FS( 24 ),2308722.560000000055879,2172457.620000000111759,2081646.109999999869615,2034343.679999999701977,2152192.640000000130385,10749362.609999999403954
FS( 25 ),2303129.760000000242144,2179491.389999999664724,2085135.260000000009313,2023074.659999999916181,2089597.279999999795109,10680428.349999999627471
FS( 26 ),2310959.680000000167638,2175844.250000000000000,2073969.979999999981374,2035416.919999999692664,2107394.000000000000000,10703584.830000000074506
FS( 27 ),2349550.000000000000000,2186785.669999999925494,2073272.150000000139698,2041856.359999999636784,2108007.680000000167638,10759471.859999999403954
FS( 28 ),2359617.040000000037253,2180793.940000000409782,2078156.959999999962747,2028172.549999999813735,2126418.079999999608845,10773158.570000000298023
FS( 29 ),2385343.919999999925494,2184180.570000000298023,2079552.620000000111759,2027904.239999999757856,2149124.240000000223517,10826105.589999999850988
FS( 30 ),2398207.360000000335276,2179751.900000000372529,2091415.729999999981374,2032465.509999999776483,2167534.640000000130385,10869375.140000000596046
FS( 31 ),2415545.040000000037253,2185743.630000000819564,2090717.900000000139698,2067077.500000000000000,2195763.919999999925494,10954847.990000000223517
FS( 32 ),2514537.600000000093132,2178188.839999999850988,2091415.729999999981374,2078883.139999999897555,2208037.519999999552965,11071062.830000000074506
FS( 33 ),2540823.760000000242144,2200853.209999999962747,2093509.219999999972060,2074590.179999999701977,2224606.879999999888241,11134383.250000000000000
FS( 34 ),2472591.600000000093132,2156827.020000000484288,2105372.330000000074506,2065735.949999999720603,2166307.279999999795109,10966834.179999999701977
FS( 35 ),2480980.800000000279397,2188869.750000000000000,2133983.359999999403954,2077004.969999999739230,2254063.519999999552965,11134902.399999998509884
