代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15018368.169999999925494
真實報酬,5018368.169999999925494

夏普值報酬,0.493136817000000
夏普值風險,0.117389267094371
夏普值,4.200868011242973

二次趨勢線,19.605782823707923 x^2 + 15053.330855840720687 x + 10000000.000000000000000
二次平均預期報酬,19993.988127415115741
風險,191624.792196206573863
二次平均趨勢值,0.104339255365992
一次趨勢線,18751.457024325303792 x + 10000000.000000000000000
一次預期報酬,18751.457024325303792
一次風險,236603.310469449788798
一次趨勢值,0.079252724685551
找到最佳解世代,2195
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),DD[7](11),MMM[16](2),UNH[23](10),
Stock#,BA[2](1),DD[7](11),MMM[16](2),UNH[23](10),
張數,33774,59908,27685,46390,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,48.520000000018626,39.160000000149012,44.500000000000000,42.899999999906868,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2501013.219999999739230,2499400.919999999925494,2495016.700000000186265,2483763.500000000000000,9979194.339999999850988
FS( 3 ),2494933.900000000372529,2516175.160000000149012,2512735.100000000093132,2497680.500000000000000,10021524.660000000149012
FS( 4 ),2498649.040000000037253,2528755.840000000316650,2517995.250000000000000,2488866.399999999906868,10034266.530000001192093
FS( 5 ),2520939.879999999888241,2585069.359999999869615,2533498.850000000093132,2499072.199999999720603,10138580.289999999105930
FS( 6 ),2550998.740000000223517,2611428.880000000353903,2543465.450000000186265,2513917.000000000000000,10219810.070000000298023
FS( 7 ),2560793.199999999720603,2649170.919999999925494,2593575.300000000279397,2540359.299999999813735,10343898.719999998807907
FS( 8 ),2548972.299999999813735,2657558.040000000037253,2578071.700000000186265,2563090.399999999906868,10347692.439999999478459
FS( 9 ),2510132.199999999720603,2647373.680000000167638,2560907.000000000000000,2522731.100000000093132,10241143.980000000447035
FS( 10 ),2500000.000000000000000,2680323.080000000074506,2554816.299999999813735,2507422.399999999906868,10242561.779999999329448
FS( 11 ),2521277.620000000111759,2714470.640000000130385,2575580.049999999813735,2521803.299999999813735,10333131.609999999403954
FS( 12 ),2550661.000000000000000,2797742.760000000242144,2598281.750000000000000,2549173.399999999906868,10495858.910000000149012
FS( 13 ),2550323.260000000242144,2766590.600000000093132,2575303.199999999720603,2527834.000000000000000,10420051.060000000521541
FS( 14 ),2573627.320000000298023,2771982.320000000298023,2606033.549999999813735,2572832.299999999813735,10524475.490000000223517
FS( 15 ),2572614.100000000093132,2729447.640000000130385,2577518.000000000000000,2552884.600000000093132,10432464.339999999850988
FS( 16 ),2565859.299999999813735,2745622.800000000279397,2580009.649999999906868,2544534.399999999906868,10436026.150000000372529
FS( 17 ),2567548.000000000000000,2765991.520000000018626,2576687.449999999720603,2515308.699999999720603,10425535.669999998062849
FS( 18 ),2561130.939999999944121,2740231.080000000074506,2564782.899999999906868,2525514.500000000000000,10391659.419999999925494
FS( 19 ),2522628.580000000074506,2697696.400000000372529,2540973.799999999813735,2498608.299999999813735,10259907.080000000074506
FS( 20 ),2545257.160000000149012,2758203.479999999981374,2570596.750000000000000,2516236.500000000000000,10390293.890000000596046
FS( 21 ),2603010.699999999720603,2819908.720000000204891,2624028.799999999813735,2530153.500000000000000,10577101.719999998807907
FS( 22 ),2616520.299999999813735,2828295.840000000316650,2620983.450000000186265,2411859.000000000000000,10477658.589999999850988
FS( 23 ),2623950.580000000074506,2869033.280000000260770,2640362.950000000186265,2416498.000000000000000,10549844.810000000521541
FS( 24 ),2571263.139999999664724,2866037.880000000353903,2643685.149999999906868,2416498.000000000000000,10497484.169999999925494
FS( 25 ),2503715.139999999664724,2824102.280000000260770,2643962.000000000000000,2384488.899999999906868,10356268.320000000298023
