代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14797106.320000000298023
真實報酬,4797106.320000000298023

夏普值報酬,0.471010632000000
夏普值風險,0.111191112017784
夏普值,4.236045700529260

二次趨勢線,9.642768417028414 x^2 + 16199.530072352445131 x + 10000000.000000000000000
二次平均預期報酬,18629.507713443585089
風險,282126.501988947682548
二次平均趨勢值,0.066032462679360
一次趨勢線,18018.390076071744261 x + 10000000.000000000000000
一次預期報酬,18018.390076071744261
一次風險,290266.440737131109927
一次趨勢值,0.062075347154546
找到最佳解世代,2099
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
張數,138966,
分配資金,10000000.000000000000000,
剩餘資金,6.640000000596046,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9858254.679999999701977,9858254.679999999701977
FS( 3 ),9916620.400000000372529,9916620.400000000372529
FS( 4 ),10065314.020000001415610,10065314.020000001415610
FS( 5 ),10002779.320000000298023,10002779.320000000298023
FS( 6 ),9927737.679999999701977,9927737.679999999701977
FS( 7 ),10056976.060000000521541,10056976.060000000521541
FS( 8 ),10165369.540000000968575,10165369.540000000968575
FS( 9 ),10195942.060000000521541,10195942.060000000521541
FS( 10 ),10183435.120000001043081,10183435.120000001043081
FS( 11 ),10137576.340000001713634,10137576.340000001713634
FS( 12 ),10218176.620000001043081,10218176.620000001043081
FS( 13 ),10277932.000000000000000,10277932.000000000000000
FS( 14 ),10207059.340000001713634,10207059.340000001713634
FS( 15 ),10291828.600000001490116,10291828.600000001490116
FS( 16 ),10287659.620000001043081,10287659.620000001043081
FS( 17 ),10308504.520000001415610,10308504.520000001415610
FS( 18 ),10251528.460000000894070,10251528.460000000894070
FS( 19 ),10326570.100000001490116,10326570.100000001490116
FS( 20 ),10290438.939999999478459,10290438.939999999478459
FS( 21 ),10407170.380000000819564,10407170.380000000819564
FS( 22 ),10168148.860000001266599,10168148.860000001266599
FS( 23 ),10207059.340000001713634,10207059.340000001713634
FS( 24 ),10308504.520000001415610,10308504.520000001415610
FS( 25 ),10279321.660000000149012,10279321.660000000149012
FS( 26 ),10332128.740000000223517,10332128.740000000223517
FS( 27 ),10528070.800000000745058,10528070.800000000745058
FS( 28 ),10725402.520000001415610,10725402.520000001415610
FS( 29 ),10774040.620000001043081,10774040.620000001043081
FS( 30 ),10733740.480000000447035,10733740.480000000447035
FS( 31 ),10626736.660000000149012,10626736.660000000149012
FS( 32 ),10560032.980000000447035,10560032.980000000447035
FS( 33 ),10753195.720000000670552,10753195.720000000670552
FS( 34 ),10539188.080000001937151,10539188.080000001937151
FS( 35 ),10607281.419999999925494,10607281.419999999925494
FS( 36 ),10540577.740000000223517,10540577.740000000223517
FS( 37 ),10622567.679999999701977,10622567.679999999701977
FS( 38 ),10760144.020000001415610,10760144.020000001415610
FS( 39 ),10810171.780000001192093,10810171.780000001192093
FS( 40 ),10839354.640000000596046,10839354.640000000596046
FS( 41 ),10796275.179999999701977,10796275.179999999701977
FS( 42 ),10846302.939999999478459,10846302.939999999478459
FS( 43 ),10847692.600000001490116,10847692.600000001490116
FS( 44 ),10857420.220000000670552,10857420.220000000670552
FS( 45 ),10825458.040000000968575,10825458.040000000968575
FS( 46 ),11007503.500000000000000,11007503.500000000000000
FS( 47 ),11021400.100000001490116,11021400.100000001490116
FS( 48 ),10819899.400000000372529,10819899.400000000372529
FS( 49 ),11092272.759999999776483,11092272.759999999776483
FS( 50 ),11000555.199999999254942,11000555.199999999254942
FS( 51 ),10963034.380000000819564,10963034.380000000819564
FS( 52 ),11021400.100000001490116,11021400.100000001490116
FS( 53 ),11051972.620000001043081,11051972.620000001043081
FS( 54 ),11121455.620000001043081,11121455.620000001043081
FS( 55 ),11078376.160000000149012,11078376.160000000149012
FS( 56 ),10940799.820000000298023,10940799.820000000298023
FS( 57 ),10933851.520000001415610,10933851.520000001415610
FS( 58 ),10910227.300000000745058,10910227.300000000745058
FS( 59 ),10976930.980000000447035,10976930.980000000447035
FS( 60 ),11043634.660000000149012,11043634.660000000149012
FS( 61 ),11129793.580000001937151,11129793.580000001937151
FS( 62 ),11197886.919999999925494,11197886.919999999925494
FS( 63 ),11145079.840000001713634,11145079.840000001713634
FS( 64 ),11239576.720000000670552,11239576.720000000670552
FS( 65 ),11207614.540000000968575,11207614.540000000968575
FS( 66 ),11395218.640000000596046,11395218.640000000596046
FS( 67 ),11441077.419999999925494,11441077.419999999925494
FS( 68 ),11467480.960000000894070,11467480.960000000894070
FS( 69 ),11484156.880000000819564,11484156.880000000819564
FS( 70 ),11443856.740000000223517,11443856.740000000223517
FS( 71 ),11311839.040000000968575,11311839.040000000968575
FS( 72 ),11316008.020000001415610,11316008.020000001415610
FS( 73 ),11328514.960000000894070,11328514.960000000894070
FS( 74 ),11299332.100000001490116,11299332.100000001490116
FS( 75 ),11436908.439999999478459,11436908.439999999478459
FS( 76 ),11630071.179999999701977,11630071.179999999701977
FS( 77 ),11630071.179999999701977,11630071.179999999701977
FS( 78 ),11623122.880000000819564,11623122.880000000819564
FS( 79 ),11659254.040000000968575,11659254.040000000968575
FS( 80 ),11588381.380000000819564,11588381.380000000819564
FS( 81 ),11567536.480000000447035,11567536.480000000447035
FS( 82 ),11584212.400000000372529,11584212.400000000372529
