代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14528007.250000000000000
真實報酬,4528007.250000000000000

夏普值報酬,0.444100725000000
夏普值風險,0.107475506584697
夏普值,4.132111018709381

二次趨勢線,9.856723934934642 x^2 + 14793.106286818359877 x + 10000000.000000000000000
二次平均預期報酬,17277.000718421892088
風險,264995.324072952440474
二次平均趨勢值,0.065197379534386
一次趨勢線,16652.323490593145834 x + 10000000.000000000000000
一次預期報酬,16652.323490593145834
一次風險,274027.041355313209351
一次趨勢值,0.060768905901521
找到最佳解世代,2080
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),PG[21](2),
Stock#,MRK[17](1),PG[21](2),
張數,93861,64599,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,24.529999999329448,37.399999999441206,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5076966.019999999552965,5068474.939999999478459,10145440.959999999031425
FS( 3 ),5119203.469999998807907,5106588.349999999627471,10225791.819999998435378
FS( 4 ),5118264.859999999403954,5090438.599999999627471,10208703.459999999031425
FS( 5 ),5008447.489999999292195,5066536.969999999739230,10074984.459999999031425
FS( 6 ),5271258.289999999105930,5049095.239999999292195,10320353.529999997466803
FS( 7 ),5302232.419999999925494,5062661.029999999329448,10364893.449999999254942
FS( 8 ),5275012.729999999515712,5056201.129999998956919,10331213.859999999403954
FS( 9 ),5325697.669999999925494,5025193.609999999403954,10350891.279999999329448
FS( 10 ),5366057.899999999441206,5062661.029999999329448,10428718.929999999701977
FS( 11 ),5504972.179999998770654,5078164.789999999105930,10583136.969999998807907
FS( 12 ),5563166.000000000000000,5066536.969999999739230,10629702.969999998807907
FS( 13 ),5530314.649999999441206,5051679.199999999254942,10581993.849999997764826
FS( 14 ),5504033.569999999366701,4841732.449999999254942,10345766.019999999552965
FS( 15 ),5521867.159999999217689,4767443.599999999627471,10289310.759999997913837
FS( 16 ),5655149.779999999329448,4715764.399999999441206,10370914.179999999701977
FS( 17 ),5640132.019999999552965,4683464.899999999441206,10323596.919999998062849
