代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13021593.099999997764826
真實報酬,3021593.099999997764826

夏普值報酬,0.293459310000000
夏普值風險,0.084224104625787
夏普值,3.484267494488157

預期報酬,25877.580307084768720
風險,152083.778356241848087
趨勢值,0.170153454804818
找到最佳解世代,3387
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,8
KO[14](7),MMM[16](12),MRK[17](9),MSFT[18](21),NKE[19](10),UTX[24](1),V[25](2),WBA[27](16),
Stock#,KO[14](7),MMM[16](12),MRK[17](9),MSFT[18](21),NKE[19](10),UTX[24](1),V[25](2),WBA[27](16),
張數,52083,20798,44706,52587,96525,24056,80282,42517,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,8.000000000000000,40.199999999953434,20.239999999990687,7.010000000009313,1.250000000000000,50.239999999990687,9.260000000009313,0.199999999953434,
20090701,1280728.969999999972060,1263310.719999999972060,1254023.540000000037253,1264198.489999999990687,1265444.000000000000000,1257697.919999999925494,1220295.659999999916181,1247448.979999999981374,10053148.279999999329448
20090702,1272916.520000000018626,1253119.699999999953434,1207529.300000000046566,1228965.199999999953434,1232625.500000000000000,1208623.679999999934807,1205844.899999999906868,1220238.099999999860302,9829862.899999998509884
20090706,1276041.500000000000000,1261854.860000000102445,1246870.580000000074506,1220025.409999999916181,1252895.750000000000000,1224500.639999999897555,1217887.199999999953434,1254676.870000000111759,9954752.809999998658895
20090707,1266666.560000000055879,1222130.679999999934807,1234799.959999999962747,1184792.120000000111759,1235521.250000000000000,1189138.320000000065193,1198619.520000000018626,1227040.819999999832362,9758709.230000000447035
20090708,1263541.580000000074506,1227538.159999999916181,1253576.479999999981374,1186369.729999999981374,1243243.250000000000000,1195152.320000000065193,1193802.599999999860302,1265306.120000000111759,9828530.240000002086163
20090709,1268749.879999999888241,1228994.020000000018626,1207529.300000000046566,1180059.290000000037253,1232625.500000000000000,1194430.639999999897555,1213070.280000000027940,1249149.659999999916181,9774608.570000000298023
20090710,1258333.280000000027940,1243552.619999999878928,1182493.939999999944121,1177429.939999999944121,1238417.000000000000000,1194190.080000000074506,1201830.800000000046566,1226190.479999999981374,9722438.140000000596046
20090713,1277603.989999999990687,1258111.219999999972060,1199035.159999999916181,1221603.020000000018626,1244208.500000000000000,1237009.760000000009313,1211464.639999999897555,1246598.639999999897555,9895634.930000001564622
20090714,1283853.949999999953434,1261022.939999999944121,1214235.199999999953434,1215292.580000000074506,1252895.750000000000000,1240858.719999999972060,1209859.000000000000000,1250000.000000000000000,9928018.140000000596046
20090715,1316145.409999999916181,1289516.199999999953434,1238823.500000000000000,1268405.449999999953434,1277027.000000000000000,1293060.239999999990687,1257225.380000000121072,1275085.029999999795109,10215288.209999999031425
20090716,1322916.199999999953434,1318633.399999999906868,1245976.459999999962747,1285233.290000000037253,1283783.750000000000000,1298352.560000000055879,1292549.460000000195578,1249574.830000000074506,10297019.950000001117587
20090717,1310416.280000000027940,1308650.360000000102445,1237482.320000000065193,1277345.239999999990687,1265444.000000000000000,1294263.040000000037253,1286126.899999999906868,1267857.139999999897555,10247585.280000001192093
20090720,1329166.159999999916181,1327784.520000000018626,1249105.880000000121072,1289966.120000000111759,1275096.500000000000000,1322408.560000000055879,1347141.220000000204891,1278486.389999999897555,10419155.350000001490116
20090721,1311457.939999999944121,1335271.800000000046566,1325553.139999999897555,1305742.219999999972060,1256756.750000000000000,1298352.560000000055879,1347944.040000000037253,1273809.520000000018626,10454887.969999998807907
20090722,1279687.310000000055879,1345046.860000000102445,1316611.939999999944121,1304164.610000000102445,1243243.250000000000000,1277904.959999999962747,1341521.479999999981374,1267006.800000000046566,10375187.210000000894070
20090723,1280728.969999999972060,1444045.340000000083819,1352376.739999999990687,1344130.729999999981374,1234556.000000000000000,1284159.520000000018626,1348746.860000000102445,1264455.779999999795109,10553199.939999997615814
20090724,1285416.439999999944121,1443837.360000000102445,1385459.179999999934807,1233172.159999999916181,1258687.250000000000000,1256495.119999999878928,1350352.500000000000000,1293367.340000000083819,10506787.349999999627471
20090727,1289583.080000000074506,1454028.379999999888241,1375623.859999999869615,1215292.580000000074506,1263513.500000000000000,1253608.399999999906868,1368817.360000000102445,1291241.489999999990687,10511708.650000000372529
20090728,1286458.099999999860302,1453404.439999999944121,1342094.359999999869615,1234223.899999999906868,1277027.000000000000000,1261546.879999999888241,1331084.819999999832362,1286139.449999999953434,10471978.949999999254942
20090729,1283333.120000000111759,1429278.760000000009313,1335388.459999999962747,1251577.610000000102445,1311776.000000000000000,1279829.439999999944121,1340718.659999999916181,1307397.949999999953434,10539300.000000000000000
20090730,1293749.719999999972060,1453820.400000000139698,1338517.880000000121072,1252103.479999999981374,1353281.750000000000000,1304607.119999999878928,1348746.860000000102445,1318452.370000000111759,10663279.580000001937151
20090731,1297916.360000000102445,1466715.159999999916181,1341647.300000000046566,1236853.250000000000000,1366795.250000000000000,1310380.560000000055879,1313422.780000000027940,1320153.050000000046566,10653883.710000000894070
