代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11515827.199999999254942
真實報酬,1515827.199999999254942

夏普值報酬,0.142882720000000
夏普值風險,0.041083936884389
夏普值,3.477824445161484

預期報酬,12614.732110400296733
風險,111952.707691736373818
趨勢值,0.112679115766768
找到最佳解世代,1869
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](3),JNJ[12](8),NKE[19](9),V[25](1),
Stock#,HD[9](3),JNJ[12](8),NKE[19](9),V[25](1),
張數,47178,37004,113895,80879,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,37.779999999795109,9.759999999776483,4.750000000000000,30.109999999869615,
20120702,2500943.559999999590218,2516281.759999999776483,2529612.700000000186265,2560659.250000000000000,10107497.269999999552965
20120703,2436781.479999999515712,2517761.919999999925494,2576309.649999999906868,2554997.719999999739230,10085850.769999999552965
20120705,2458483.359999999869615,2508140.879999999888241,2625284.500000000000000,2567938.359999999869615,10159847.099999999627471
20120706,2460370.479999999515712,2502960.319999999832362,2602505.500000000000000,2533160.389999999664724,10098996.689999997615814
20120709,2458955.139999999664724,2508140.879999999888241,2570614.899999999906868,2500000.000000000000000,10037710.919999999925494
20120710,2463672.939999999944121,2511841.279999999795109,2599088.649999999906868,2472501.139999999664724,10047104.009999997913837
20120711,2437725.040000000037253,2512581.359999999869615,2627562.399999999906868,2441767.120000000111759,10019635.920000001788139
20120712,2432063.679999999701977,2505550.599999999627471,2615033.950000000186265,2479780.250000000000000,10032428.480000000447035
20120713,2457539.799999999813735,2538854.199999999720603,2675398.299999999813735,2508896.689999999944121,10180688.990000000223517
20120716,2427345.879999999888241,2532933.560000000055879,2649202.450000000186265,2571173.520000000018626,10180655.410000000149012
20120717,2392905.939999999944121,2553285.759999999776483,2641229.800000000279397,2593010.850000000093132,10180432.349999999627471
20120718,2401869.759999999776483,2566977.239999999757856,2694760.450000000186265,2584922.949999999720603,10248530.400000000372529
20120719,2404228.659999999683350,2572897.879999999888241,2712983.649999999906868,2535586.759999999776483,10225696.949999999254942
20120720,2391962.379999999888241,2539594.279999999795109,2650341.399999999906868,2542865.870000000111759,10124763.929999999701977
