代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11940366.040000000968575
真實報酬,1940366.040000000968575

夏普值報酬,0.185336604000000
夏普值風險,0.057223164804813
夏普值,3.238838757558765

預期報酬,16872.233700296557799
風險,173967.607887394900899
趨勢值,0.096984915210293
找到最佳解世代,1810
找到最佳解實驗#,8
找到最佳解次數,20

stock[index](rank)
投資組合檔數,4
BA[2](9),MCD[15](1),PG[21](3),V[25](2),
Stock#,BA[2](9),MCD[15](1),PG[21](3),V[25](2),
張數,50332,44452,46202,140686,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,9.560000000055879,19.520000000018626,9.779999999795109,9.780000000260770,
20090901,2454701.200000000186265,2473328.799999999813735,2449639.819999999832362,2469049.080000000540167,9846718.900000000372529
20090902,2436078.359999999869615,2461326.759999999776483,2439475.379999999888241,2464828.500000000000000,9801709.000000000000000
20090903,2439098.280000000260770,2470217.160000000149012,2442709.519999999552965,2494372.560000000521541,9846397.519999999552965
20090904,2473827.359999999869615,2495554.799999999813735,2442247.500000000000000,2474676.520000000018626,9886306.179999999701977
20090908,2491443.560000000055879,2499110.959999999962747,2504158.179999999701977,2495779.419999999925494,9990492.119999999180436
20090909,2543285.520000000018626,2448880.200000000186265,2483829.299999999813735,2478897.100000000558794,9954892.120000001043081
20090910,2541272.240000000223517,2438211.720000000204891,2589169.859999999869615,2543612.660000000149012,10112266.480000000447035
20090911,2584557.760000000242144,2417763.799999999813735,2570689.059999999590218,2542205.800000000279397,10115216.419999999925494
20090914,2565431.600000000093132,2410651.479999999981374,2554980.379999999888241,2563308.700000000186265,10094372.160000000149012
20090915,2620796.800000000279397,2443990.479999999981374,2542505.839999999850988,2574563.580000000540167,10181856.700000001117587
20090916,2635393.080000000074506,2510223.959999999962747,2555442.399999999906868,2605514.500000000000000,10306573.939999999478459
20090917,2661565.720000000204891,2509779.439999999944121,2565606.839999999850988,2595666.479999999981374,10332618.480000000447035
20090918,2668612.200000000186265,2533783.520000000018626,2648308.419999999925494,2595666.479999999981374,10446370.620000001043081
20090921,2660559.080000000074506,2495554.799999999813735,2638143.979999999981374,2581597.880000000353903,10375855.740000000223517
20090922,2674652.040000000037253,2480885.640000000130385,2644612.259999999776483,2616769.380000000353903,10416919.320000000298023
20090923,2635896.399999999906868,2468883.600000000093132,2645074.279999999795109,2599887.060000000521541,10349741.339999999850988
20090924,2606703.839999999850988,2494665.759999999776483,2672333.459999999962747,2585818.459999999962747,10359521.519999999552965
20090925,2593114.200000000186265,2531560.919999999925494,2680187.799999999813735,2485931.400000000372529,10290794.320000000298023
20090928,2671128.800000000279397,2541340.359999999869615,2687118.099999999627471,2502813.720000000204891,10402400.980000000447035
20090929,2749143.399999999906868,2541340.359999999869615,2675567.599999999627471,2446539.320000000298023,10412590.679999999701977
20090930,2725487.359999999869615,2536895.160000000149012,2676029.619999999646097,2431063.860000000335276,10369476.000000000000000
