代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10601256.269999999552965
真實報酬,601256.269999999552965

夏普值報酬,0.051425627000000
夏普值風險,0.038950179134185
夏普值,1.320292438780220

預期報酬,10953.776310237077269
風險,257992.337093135749456
趨勢值,0.042457758372423
找到最佳解世代,1824
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),MCD[15](1),UNH[23](13),
Stock#,AAPL[0](2),MCD[15](1),UNH[23](13),
張數,110741,53384,109361,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,28.899999999906868,36.040000000037253,9.719999999739230,
20100104,3385381.270000000018626,3351483.560000000055879,3448162.049999999813735,10185027.879999998956919
20100105,3392025.729999999981374,3325859.239999999757856,3442694.000000000000000,10160579.969999998807907
20100106,3337762.640000000130385,3280482.840000000316650,3476595.909999999683350,10094842.390000000596046
20100107,3331118.179999999701977,3304505.640000000130385,3610016.329999999608845,10245641.150000000372529
20100108,3353266.379999999888241,3301302.600000000093132,3576114.419999999925494,10230684.400000000372529
20100111,3324473.719999999739230,3326926.919999999925494,3600173.839999999850988,10251575.480000000447035
20100112,3285714.370000000111759,3345077.479999999981374,3505029.769999999552965,10135822.619999999180436
20100113,3332225.589999999850988,3341340.600000000093132,3558616.659999999683350,10232183.849999999627471
20100114,3313399.620000000111759,3344543.640000000130385,3643918.239999999757856,10301862.500000000000000
20100115,3258029.120000000111759,3324791.560000000055879,3690943.469999999739230,10273765.149999998509884
20100119,3401992.419999999925494,3388852.359999999869615,3841861.649999999906868,10632707.429999999701977
20100120,3349944.149999999906868,3363761.879999999888241,3778432.269999999552965,10492139.299999998882413
20100121,3291251.419999999925494,3373904.840000000316650,3619858.819999999832362,10285016.080000000074506
20100122,3128462.149999999906868,3384047.800000000279397,3626420.479999999515712,10138931.429999999701977
20100125,3212625.310000000055879,3368032.600000000093132,3608922.719999999739230,10189581.629999998956919
20100126,3258029.120000000111759,3406469.080000000074506,3547680.559999999590218,10212179.759999999776483
20100127,3289036.599999999627471,3402198.359999999869615,3635169.359999999869615,10326405.319999998435378
20100128,3152825.169999999925494,3354152.759999999776483,3655947.949999999720603,10162926.879999998956919
20100129,3038761.939999999944121,3332799.160000000149012,3608922.719999999739230,9980484.820000000298023
20100201,3080843.520000000018626,3410739.800000000279397,3623139.649999999906868,10114723.970000000670552
20100202,3098562.080000000074506,3418213.560000000055879,3723751.769999999552965,10240528.410000000149012
20100203,3151717.759999999776483,3481206.679999999701977,3643918.239999999757856,10276843.679999999701977
20100204,3038761.939999999944121,3419815.080000000074506,3549867.779999999795109,10008445.799999998882413
20100205,3091917.620000000111759,3382980.120000000111759,3558616.659999999683350,10033515.400000000372529
20100208,3070876.830000000074506,3358957.320000000298023,3544399.729999999515712,9974234.879999998956919
20100209,3104099.129999999888241,3393656.919999999925494,3608922.719999999739230,10106679.769999999552965
20100210,3086380.569999999832362,3376574.040000000037253,3577208.029999999795109,10040163.639999998733401
20100211,3142858.479999999981374,3405401.399999999906868,3622046.039999999571592,10170306.919999999925494
20100212,3170543.729999999981374,3394724.600000000093132,3519246.699999999720603,10084516.029999999329448
20100216,3218162.359999999869615,3417145.880000000353903,3459098.149999999441206,10094407.390000000596046
20100217,3204873.439999999944121,3430491.880000000353903,3559710.269999999552965,10195076.589999999850988
20100218,3210410.489999999757856,3442236.360000000335276,3575020.809999999590218,10227668.660000000149012
20100219,3190477.109999999869615,3456116.199999999720603,3493000.060000000055879,10139594.369999999180436
20100222,3170543.729999999981374,3457717.719999999739230,3617671.599999999627471,10245934.049999998882413
20100223,3117388.049999999813735,3463056.120000000111759,3588144.129999999888241,10168589.300000000745058
20100224,3174973.370000000111759,3483875.880000000353903,3676726.539999999571592,10335576.789999999105930
20100225,3196014.159999999683350,3436897.959999999962747,3658135.169999999925494,10291048.289999999105930
20100226,3236988.330000000074506,3408604.439999999944121,3702973.179999999701977,10348566.949999999254942
20100301,3306755.159999999683350,3415544.359999999869615,3722658.159999999683350,10444958.679999999701977
20100302,3304540.339999999850988,3420348.919999999459833,3712815.669999999925494,10437705.929999999701977
20100303,3311184.799999999813735,3396859.959999999962747,3729219.819999999832362,10437265.580000000074506
20100304,3333333.000000000000000,3386183.160000000149012,3603454.669999999925494,10322971.830000000074506
20100305,3464007.379999999888241,3398995.320000000298023,3689849.859999999869615,10552853.560000000521541
20100308,3466222.200000000186265,3476402.120000000111759,3619858.819999999832362,10562484.140000000596046
20100309,3528237.159999999683350,3475334.439999999944121,3617671.599999999627471,10621244.199999999254942
20100310,3557029.819999999832362,3466793.000000000000000,3635169.359999999869615,10658993.179999999701977
20100311,3566996.509999999776483,3481206.679999999701977,3663603.219999999739230,10711807.410000000149012
20100312,3584715.069999999832362,3498289.560000000055879,3599080.229999999515712,10682085.859999999403954
20100315,3541526.080000000074506,3519643.160000000614673,3557523.049999999813735,10618693.289999999105930
20100316,3550385.360000000335276,3527116.919999999459833,3614390.769999999552965,10691894.049999998882413
20100317,3545955.720000000204891,3543665.959999999962747,3581582.469999999739230,10671205.149999998509884
20100318,3553707.590000000316650,3559681.160000000614673,3673445.709999999962747,10786835.460000000894070
20100319,3516055.649999999906868,3551673.560000000055879,3760934.509999999776483,10828664.719999998807907
20100322,3555922.409999999683350,3577297.880000000353903,3641731.019999999552965,10774952.309999998658895
20100323,3612400.319999999832362,3595448.439999999944121,3626420.479999999515712,10834270.239999998360872
20100324,3629011.470000000204891,3566087.239999999757856,3578301.639999999664724,10773401.349999999627471
20100325,3585822.479999999981374,3571425.640000000130385,3622046.039999999571592,10779295.160000000149012
20100326,3653374.490000000223517,3590643.880000000353903,3568459.149999999906868,10812478.520000001415610
20100329,3676630.100000000093132,3580500.919999999459833,3591424.959999999962747,10848556.980000000447035
20100330,3730893.189999999478459,3589576.199999999720603,3615484.379999999888241,10935954.769999999552965
20100331,3717604.270000000018626,3561816.520000000018626,3572833.589999999850988,10852255.379999998956919
20100401,3733108.009999999776483,3607726.759999999776483,3607829.109999999869615,10948664.879999998956919
20100405,3772974.770000000018626,3631749.560000000055879,3624233.259999999776483,11028958.589999999850988
20100406,3789585.919999999925494,3620005.080000000074506,3653760.729999999515712,11063352.730000000447035
