代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11582745.859999999403954
真實報酬,1582745.859999999403954

夏普值報酬,0.149574586000000
夏普值風險,0.047062001541401
夏普值,3.178245316838418

預期報酬,13356.830302553516958
風險,113325.820727789498051
趨勢值,0.117862197836068
找到最佳解世代,2813
找到最佳解實驗#,2
找到最佳解次數,37

stock[index](rank)
投資組合檔數,3
PFE[20](2),TRV[22](6),WMT[28](4),
Stock#,PFE[20](2),TRV[22](6),WMT[28](4),
張數,157753,57501,56420,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,12.110000000335276,0.030000000260770,39.399999999906868,
20120301,3390124.080000000074506,3359208.450000000186265,3318663.799999999813735,10067997.330000000074506
20120302,3377503.840000000316650,3335633.040000000037253,3329383.599999999627471,10042521.480000000447035
20120305,3391701.610000000335276,3363808.530000000260770,3351387.399999999906868,10106898.540000000968575
20120306,3355418.420000000391155,3276982.020000000484288,3327126.799999999813735,9959528.240000002086163
20120307,3371193.720000000670552,3270081.899999999906868,3377340.600000000093132,10018617.220000000670552
20120308,3385391.490000000689179,3283307.130000000353903,3372262.800000000279397,10040962.420000001788139
20120309,3388546.550000000279397,3312632.640000000130385,3389753.000000000000000,10090933.190000001341105
20120312,3398011.729999999981374,3312632.640000000130385,3423605.000000000000000,10134250.370000001043081
20120313,3472155.640000000596046,3358633.439999999944121,3441659.399999999906868,10272449.480000000447035
20120314,3459535.400000000372529,3389683.980000000447035,3446173.000000000000000,10295393.380000000819564
20120315,3456380.340000000316650,3397159.110000000335276,3454635.999999999534339,10308176.450000001117587
20120316,3461112.930000000633299,3404059.230000000447035,3432632.200000000186265,10297805.360000001266599
20120319,3451647.750000000000000,3399459.149999999906868,3426990.200000000186265,10278098.100000001490116
20120320,3439027.510000000242144,3401759.189999999944121,3419091.399999999906868,10259879.099999999627471
20120321,3434294.920000000391155,3364383.540000000037253,3416834.600000000093132,10215514.060000000521541
20120322,3427984.800000000279397,3333333.000000000000000,3421912.399999999906868,10183231.200000001117587
20120323,3442182.570000000298023,3346558.230000000447035,3427554.399999999906868,10216296.200000001117587
20120326,3495818.590000000316650,3383933.880000000353903,3452943.399999999906868,10332696.870000001043081
20120327,3549454.610000000335276,3362658.510000000242144,3446737.200000000186265,10358851.320000000298023
20120328,3535256.840000000316650,3379333.800000000279397,3452379.199999999720603,10366970.839999999850988
20120329,3536834.370000000577420,3372433.680000000167638,3431503.799999999813735,10340772.850000001490116
20120330,3573117.560000000055879,3404059.230000000447035,3452943.399999999906868,10430121.190000001341105
20120402,3563652.380000000353903,3411534.360000000335276,3461970.600000000093132,10437158.339999999850988
20120403,3555764.729999999981374,3408659.310000000521541,3421912.399999999906868,10386337.440000001341105
20120404,3532101.780000000260770,3405209.250000000000000,3399908.599999999627471,10337220.629999998956919
20120405,3524214.130000000353903,3385658.910000000614673,3423040.799999999813735,10332914.839999999850988
20120409,3478465.760000000242144,3337933.080000000074506,3392574.000000000000000,10208973.839999999850988
20120410,3469000.580000000074506,3320682.780000000260770,3381290.000000000000000,10170974.359999999403954
20120411,3462690.460000000428408,3344833.200000000186265,3373955.399999999906868,10181480.060000000521541
20120412,3457957.870000000577420,3398309.130000000353903,3393138.199999999720603,10249406.200000001117587
20120413,3446915.160000000614673,3341958.149999999906868,3372262.800000000279397,10161137.110000001266599
20120416,3467423.050000000279397,3401759.189999999944121,3417963.000000000000000,10287146.240000000223517
20120417,3519481.540000000037253,3449485.020000000484288,3490744.799999999813735,10459712.359999999403954
20120418,3541566.960000000428408,3419584.500000000000000,3501464.600000000093132,10462617.060000000521541
20120419,3524214.130000000353903,3547811.730000000447035,3483974.399999999906868,10556001.260000001639128
20120420,3558919.790000000037253,3608187.780000000260770,3523468.399999999906868,10690576.970000000670552
20120423,3530524.250000000000000,3617387.939999999944121,3359286.199999999720603,10507199.389999998733401
20120424,3569962.500000000000000,3643838.399999999906868,3259422.800000000279397,10473224.700000001117587
20120425,3609400.750000000000000,3667413.810000000521541,3236290.600000000093132,10513106.160000000149012
20120426,3637796.290000000037253,3724339.799999999813735,3325998.399999999906868,10688135.490000000223517
20120427,3640951.350000000093132,3680639.040000000502914,3330512.000000000000000,10652103.390000000596046
