代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11383911.740000000223517
真實報酬,1383911.740000000223517

夏普值報酬,0.129691174000000
夏普值風險,0.044862198066957
夏普值,2.890878726147925

預期報酬,12298.707586910217287
風險,106627.700399782275781
趨勢值,0.115342519259051
找到最佳解世代,1936
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](1),DD[7](3),JNJ[12](5),MCD[15](10),MRK[17](4),
Stock#,CAT[3](1),DD[7](3),JNJ[12](5),MCD[15](10),MRK[17](4),
張數,22024,31630,21836,20612,39960,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,0.560000000055879,35.100000000093132,40.760000000009313,17.639999999897555,2.000000000000000,
20140102,1979297.440000000176951,1975961.199999999953434,1987771.840000000083819,1987220.559999999823049,1977622.400000000139698,9907873.439999999478459
20140103,1978196.239999999990687,1967104.800000000046566,2005677.359999999869615,1989900.120000000111759,1987212.799999999813735,9928091.320000000298023
20140106,1952207.920000000158325,1963625.500000000000000,2016158.639999999897555,1975677.839999999850988,1987612.400000000139698,9895282.299999998882413
20140107,1958594.880000000121072,1941800.800000000046566,2058957.200000000186265,1986602.199999999720603,2002397.600000000093132,9948352.679999999701977
20140108,1963219.920000000158325,1944014.900000000139698,2056118.520000000018626,1966608.559999999823049,1989610.399999999906868,9919572.299999998882413
20140109,1975773.599999999860302,1919027.200000000186265,2068565.040000000037253,1967639.159999999683350,1978821.200000000186265,9909826.199999999254942
20140110,1993392.800000000279397,1923771.700000000186265,2068783.399999999906868,1974647.239999999757856,1993206.800000000046566,9953801.940000001341105
20140113,1979737.920000000158325,1887080.899999999906868,2063542.760000000009313,1954653.599999999860302,2122677.199999999720603,10007692.379999998956919
20140114,1994494.000000000000000,1921241.300000000046566,2068346.679999999934807,1962692.279999999795109,2117882.000000000000000,10064656.259999999776483
20140115,2035238.399999999906868,1939270.400000000139698,2070093.560000000055879,1967639.159999999683350,2098701.200000000186265,10110942.719999998807907
20140116,2026428.800000000279397,1940851.900000000139698,2066599.800000000046566,1980006.359999999869615,2097902.000000000000000,10111788.859999999403954
20140117,2013875.120000000111759,1940219.300000000279397,2075770.920000000158325,1956714.800000000046566,2075924.000000000000000,10062504.140000000596046
20140121,1995374.959999999962747,2068953.399999999906868,2053279.840000000083819,1959806.599999999860302,2071128.800000000046566,10148543.599999999627471
20140122,1974231.920000000158325,2057566.600000000093132,2059612.279999999795109,1955684.199999999720603,2051948.000000000000000,10099043.000000000000000
20140123,1948684.080000000074506,2014549.800000000046566,2025111.399999999906868,1964753.479999999748543,2061938.000000000000000,10015036.759999997913837
