代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13009433.500000000000000
真實報酬,3009433.500000000000000

夏普值報酬,0.292243350000000
夏普值風險,0.082099319876607
夏普值,3.559631802543964

預期報酬,23073.036232368667697
風險,406955.035527884145267
趨勢值,0.056696770448950
找到最佳解世代,2286
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
NKE[19](1),
Stock#,NKE[19](1),
張數,196695,
分配資金,10000000.000000000000000,
剩餘資金,26.199999999254942,
20150601,10007867.799999998882413,10007867.799999998882413
20150602,10043272.900000000372529,10043272.900000000372529
20150603,10082611.899999998509884,10082611.899999998509884
20150604,10027537.299999998882413,10027537.299999998882413
20150605,10035405.099999999627471,10035405.099999999627471
20150608,9976396.599999999627471,9976396.599999999627471
20150609,9968528.799999998882413,9968528.799999998882413
20150610,10163256.849999999627471,10163256.849999999627471
20150611,10216364.499999998137355,10216364.499999998137355
20150612,10206529.750000000000000,10206529.750000000000000
20150615,10165223.799999998882413,10165223.799999998882413
20150616,10283240.799999998882413,10283240.799999998882413
20150617,10302910.299999998882413,10302910.299999998882413
20150618,10424861.199999999254942,10424861.199999999254942
20150619,10477968.849999999627471,10477968.849999999627471
20150622,10503539.199999999254942,10503539.199999999254942
20150623,10542878.199999999254942,10542878.199999999254942
20150624,10446497.649999998509884,10446497.649999998509884
20150625,10348150.149999998509884,10348150.149999998509884
20150626,10790713.899999998509884,10790713.899999998509884
20150629,10590085.000000000000000,10590085.000000000000000
20150630,10623523.149999998509884,10623523.149999998509884
20150701,10763176.599999999627471,10763176.599999999627471
20150702,10806449.499999998137355,10806449.499999998137355
20150706,10802515.599999999627471,10802515.599999999627471
20150707,10946102.949999999254942,10946102.949999999254942
20150708,10747441.000000000000000,10747441.000000000000000
20150709,10763176.599999999627471,10763176.599999999627471
20150710,10869391.899999998509884,10869391.899999998509884
20150713,11056252.149999998509884,11056252.149999998509884
20150714,11048384.349999999627471,11048384.349999999627471
20150715,11005111.449999999254942,11005111.449999999254942
20150716,11048384.349999999627471,11048384.349999999627471
20150717,11093624.199999999254942,11093624.199999999254942
20150720,11127062.349999999627471,11127062.349999999627471
20150721,11113293.699999999254942,11113293.699999999254942
20150722,11221475.949999999254942,11221475.949999999254942
20150723,11211641.199999999254942,11211641.199999999254942
20150724,11113293.699999999254942,11113293.699999999254942
20150727,10989375.849999999627471,10989375.849999999627471
20150728,11160500.500000000000000,11160500.500000000000000
20150729,11302120.899999998509884,11302120.899999998509884
20150730,11311955.649999998509884,11311955.649999998509884
20150731,11331625.149999998509884,11331625.149999998509884
20150803,11294253.099999999627471,11294253.099999999627471
20150804,11386699.750000000000000,11386699.750000000000000
20150805,11483080.299999998882413,11483080.299999998882413
20150806,11321790.400000000372529,11321790.400000000372529
20150807,11262781.899999998509884,11262781.899999998509884
20150810,11345393.799999998882413,11345393.799999998882413
20150811,11256881.049999998882413,11256881.049999998882413
20150812,11119194.549999998882413,11119194.549999998882413
20150813,11172302.199999999254942,11172302.199999999254942
20150814,11247046.299999998882413,11247046.299999998882413
20150817,11308021.750000000000000,11308021.750000000000000
20150818,11292286.149999998509884,11292286.149999998509884
20150819,11306054.799999998882413,11306054.799999998882413
20150820,11044450.449999999254942,11044450.449999999254942
20150821,10511406.999999998137355,10511406.999999998137355
20150824,10216364.499999998137355,10216364.499999998137355
20150825,10182926.349999999627471,10182926.349999999627471
20150826,10696300.299999998882413,10696300.299999998882413
20150827,11075921.650000000372529,11075921.650000000372529
20150828,11064119.949999999254942,11064119.949999999254942
20150831,10991342.799999998882413,10991342.799999998882413
20150901,10684498.599999999627471,10684498.599999999627471
20150902,10887094.449999999254942,10887094.449999999254942
20150903,10902830.049999998882413,10902830.049999998882413
20150904,10788746.949999999254942,10788746.949999999254942
20150908,10991342.799999998882413,10991342.799999998882413
20150909,10804482.549999998882413,10804482.549999998882413
20150910,10855623.249999998137355,10855623.249999998137355
20150911,10997243.649999998509884,10997243.649999998509884
20150914,11005111.449999999254942,11005111.449999999254942
20150915,11195905.599999999627471,11195905.599999999627471
20150916,11367030.250000000000000,11367030.250000000000000
20150917,11337526.000000000000000,11337526.000000000000000
20150918,11315889.549999998882413,11315889.549999998882413
20150921,11463410.799999998882413,11463410.799999998882413
20150922,11406369.250000000000000,11406369.250000000000000
20150923,11353261.599999999627471,11353261.599999999627471
20150924,11290319.199999999254942,11290319.199999999254942
20150925,12293463.699999999254942,12293463.699999999254942
20150928,12012189.849999999627471,12012189.849999999627471
20150929,11770255.000000000000000,11770255.000000000000000
20150930,12094801.750000000000000,12094801.750000000000000
20151001,12179380.599999999627471,12179380.599999999627471
20151002,12315100.149999998509884,12315100.149999998509884
20151005,12222653.500000000000000,12222653.500000000000000
20151006,12116438.199999999254942,12116438.199999999254942
20151007,12008255.949999999254942,12008255.949999999254942
20151008,12285595.899999998509884,12285595.899999998509884
20151009,12287562.849999999627471,12287562.849999999627471
20151012,12435084.099999999627471,12435084.099999999627471
20151013,12374108.649999998509884,12374108.649999998509884
20151014,12376075.599999999627471,12376075.599999999627471
20151015,12667184.200000001117587,12667184.200000001117587
20151016,12832407.999999998137355,12832407.999999998137355
20151019,13101880.149999998509884,13101880.149999998509884
20151020,13019268.249999998137355,13019268.249999998137355
20151021,13029102.999999998137355,13029102.999999998137355
20151022,13023202.149999998509884,13023202.149999998509884
20151023,12838308.849999997764826,12838308.849999997764826
20151026,12920920.749999998137355,12920920.749999998137355
20151027,12865846.149999998509884,12865846.149999998509884
20151028,12913052.950000001117587,12913052.950000001117587
20151029,12895350.400000000372529,12895350.400000000372529
20151030,12887482.599999997764826,12887482.599999997764826
20151102,12903218.199999997392297,12903218.199999997392297
20151103,12922887.699999999254942,12922887.699999999254942
20151104,12820606.300000000745058,12820606.300000000745058
20151105,12968127.550000000745058,12968127.550000000745058
20151106,12960259.750000000000000,12960259.750000000000000
20151109,12832407.999999998137355,12832407.999999998137355
20151110,12785201.199999999254942,12785201.199999999254942
20151111,12531464.649999998509884,12531464.649999998509884
20151112,12389844.250000000000000,12389844.250000000000000
20151113,11984652.549999998882413,11984652.549999998882413
20151116,12142008.549999998882413,12142008.549999998882413
20151117,12055462.750000000000000,12055462.750000000000000
20151118,12370174.750000000000000,12370174.750000000000000
20151119,12370174.750000000000000,12370174.750000000000000
20151120,13046805.549999998882413,13046805.549999998882413
20151123,13027136.050000000745058,13027136.050000000745058
20151124,13033036.900000000372529,13033036.900000000372529
20151125,13192359.849999997764826,13192359.849999997764826
20151127,13212029.349999999627471,13212029.349999999627471
20151130,13009433.500000000000000,13009433.500000000000000
