代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11454812.390000000596046
真實報酬,1454812.390000000596046

夏普值報酬,0.136781239000000
夏普值風險,0.043048799946505
夏普值,3.177353124128282

預期報酬,13190.440290692471535
風險,76852.497852508589858
趨勢值,0.171633202033419
找到最佳解世代,3535
找到最佳解實驗#,1
找到最佳解次數,36

stock[index](rank)
投資組合檔數,5
DIS[6](20),KO[14](11),MCD[15](6),MMM[16](5),V[25](3),
Stock#,DIS[6](20),KO[14](11),MCD[15](6),MMM[16](5),V[25](3),
張數,19190,48239,16431,11200,25634,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,18.199999999953434,11.060000000055879,18.679999999934807,16.000000000000000,35.320000000065193,
20170103,2035693.399999999906868,2016401.260000000009313,1965494.899999999906868,1994176.000000000232831,2037938.320000000065193,10049703.880000000819564
20170104,2061791.799999999813735,2009165.409999999916181,1963194.560000000055879,1997200.000000000000000,2054600.420000000158325,10085952.189999999478459
20170105,2060640.399999999906868,2013989.310000000055879,1966809.379999999888241,1990368.000000000000000,2078696.380000000121072,10110503.470000000670552
20170106,2091344.400000000139698,2013506.920000000158325,1984226.239999999990687,1996192.000000000000000,2107406.459999999962747,10192676.019999999552965
20170109,2079446.599999999860302,1993246.540000000037253,1978804.010000000009313,1985440.000000000000000,2095614.820000000065193,10132551.969999998807907
20170110,2079830.399999999906868,1979739.620000000111759,1975846.429999999934807,1977712.000000000232831,2084335.860000000102445,10097464.310000000521541
20170111,2100171.799999999813735,1980222.010000000009313,1986197.959999999962747,1992383.999999999767169,2096896.520000000018626,10155872.289999999105930
20170112,2063518.899999999906868,1975398.110000000102445,2006243.779999999795109,1987344.000000000000000,2085873.900000000139698,10118378.689999999478459
20170113,2073689.600000000093132,1972021.380000000121072,1996385.179999999934807,1986783.999999999767169,2080747.100000000093132,10109627.259999999776483
20170117,2071962.500000000000000,1988422.639999999897555,2016923.929999999934807,1985328.000000000000000,2083054.160000000149012,10145691.230000000447035
20170118,2075608.599999999860302,1991799.370000000111759,2016266.689999999944121,1999104.000000000000000,2091513.380000000121072,10174292.040000000968575
20170119,2058721.399999999906868,1984563.520000000018626,2007558.260000000009313,2001232.000000000000000,2095102.140000000130385,10147177.320000000298023
20170120,2066013.599999999860302,1993246.540000000037253,2008872.739999999990687,1999104.000000000000000,2097921.879999999888241,10165158.759999999776483
20170123,2055651.000000000000000,1998552.830000000074506,1994413.459999999962747,1999328.000000000000000,2105868.419999999925494,10153813.710000000894070
20170124,2070619.199999999953434,2021225.159999999916181,1988991.229999999981374,1970880.000000000000000,2133553.140000000596046,10185268.730000000447035
20170125,2073305.800000000046566,2031837.739999999990687,2001150.169999999925494,1979392.000000000000000,2150727.919999999925494,10236413.629999998956919
