代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10990462.179999999701977
真實報酬,990462.179999999701977

夏普值報酬,0.090346218000000
夏普值風險,0.032441352704979
夏普值,2.784909088767267

預期報酬,57581.261512195138494
風險,74436.399120990987285
趨勢值,0.773563232399259
找到最佳解世代,1941
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MRK[17](3),VZ[26](17),WMT[28](2),
Stock#,JNJ[12](1),MRK[17](3),VZ[26](17),WMT[28](2),
張數,42337,80827,90383,50322,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,0.149999999906868,20.890000000130385,6.220000000204891,3.040000000037253,
20091102,2518628.279999999795109,2526672.910000000149012,2485538.720000000204891,2530193.200000000186265,10061033.109999999403954
20091103,2494919.560000000055879,2478984.980000000447035,2456616.160000000149012,2511070.839999999850988,9941591.540000000968575
20091104,2519898.390000000130385,2638214.170000000391155,2459327.650000000372529,2535225.400000000372529,10152665.610000001266599
20091105,2539373.409999999683350,2643872.060000000055879,2476500.419999999925494,2580515.200000000186265,10240261.089999999850988
20091106,2552921.250000000000000,2634172.820000000298023,2498192.340000000316650,2579005.540000000037253,10264291.949999999254942
20091109,2571972.899999999906868,2702067.500000000000000,2549710.650000000372529,2616747.040000000037253,10440498.089999999850988
20091110,2592294.659999999683350,2716616.359999999869615,2561460.440000000409782,2632346.860000000335276,10502718.320000000298023
20091111,2577053.339999999850988,2685093.830000000074506,2565075.760000000242144,2665559.379999999888241,10492782.309999998658895
20091112,2588907.699999999720603,2665695.350000000093132,2548806.820000000298023,2679146.320000000298023,10482556.190000001341105
20091113,2600762.060000000055879,2675394.590000000316650,2546095.330000000540167,2677133.440000000409782,10499385.420000001788139
20091116,2632938.179999999701977,2732781.760000000242144,2563268.100000000093132,2675120.560000000055879,10604108.599999999627471
20091117,2632091.439999999944121,2771578.720000000204891,2590383.000000000000000,2700281.560000000055879,10694334.720000000670552
20091118,2638441.989999999757856,2840281.670000000391155,2591286.830000000540167,2724939.339999999850988,10794949.830000000074506
20091119,2643099.060000000055879,2855638.799999999813735,2578633.210000000428408,2744564.919999999925494,10821935.990000000223517
20091120,2638018.620000000111759,2946973.310000000055879,2571402.570000000298023,2731481.200000000186265,10887875.699999999254942
20091123,2654106.679999999701977,2943740.230000000447035,2647324.290000000037253,2751610.000000000000000,10996781.199999999254942
20091124,2674851.810000000055879,2927574.830000000074506,2693419.620000000111759,2760164.740000000223517,11056011.000000000000000
20091125,2679932.250000000000000,2955864.280000000260770,2706977.070000000298023,2765700.160000000149012,11108473.760000001639128
20091127,2662574.080000000074506,2933232.720000000204891,2672631.530000000260770,2749093.900000000372529,11017532.230000000447035
20091130,2660457.229999999981374,2926766.560000000055879,2658170.250000000000000,2745068.139999999664724,10990462.179999999701977
